exercice;loi;typeBudget;ministere;mission;programme;action;sous-action;categorie;titre;ae;cp
2023.0;PLF;CAS;7.0;YC;731.0;731-01;;73.0;7.0;10331000000.0;10331000000.0
2023.0;PLF;CAS;43.0;YK;793.0;793-09;;64.0;6.0;500000.0;500000.0
2023.0;PLF;BG;2.0;CB;175.0;175-03;;64.0;6.0;12419959.0;12419959.0
2023.0;PLF;BG;9.0;SB;176.0;;176-03-01;21.0;2.0;12391050.0;12391050.0
2023.0;PLF;BG;6.0;EC;140.0;140-07;;21.0;2.0;61633546.0;61633546.0
2023.0;PLF;BG;36.0;TB;155.0;155-14;;23.0;2.0;722916.0;722916.0
2023.0;PLF;BG;9.0;SB;176.0;;176-06-08;22.0;2.0;907434572.0;907434572.0
2023.0;PLF;BG;70.0;DA;146.0;;146-10-88;51.0;5.0;4822849.0;1696676.0
2023.0;PLF;BG;23.0;VA;147.0;147-02;;32.0;3.0;38926490.0;38926490.0
2023.0;PLF;BG;70.0;DA;212.0;;212-58-02;21.0;2.0;56299095.0;56299095.0
2023.0;PLF;BG;35.0;SA;204.0;204-19;;21.0;2.0;1000000.0;1000000.0
2023.0;PLF;BG;12.0;CA;165.0;165-06;;52.0;5.0;4238280.0;5676080.0
2023.0;PLF;BG;6.0;EC;214.0;214-02;;23.0;2.0;1957880.0;1957880.0
2023.0;PLF;BG;42.0;SF;219.0;219-03;;63.0;6.0;100000.0;100000.0
2023.0;PLF;CAS;7.0;YD;741.0;741-01;;31.0;3.0;200000.0;200000.0
2023.0;PLF;BG;7.0;PR;362.0;362-07;;51.0;5.0;0.0;7000000.0
2023.0;PLF;BG;23.0;VA;177.0;177-14;;31.0;3.0;2859000.0;2859000.0
2023.0;PLF;BG;1.0;AA;185.0;185-02;;64.0;6.0;33455558.0;33455558.0
2023.0;PLF;BG;50.0;TR;349.0;349-02;;52.0;5.0;2000000.0;2000000.0
2023.0;PLF;BG;7.0;PR;362.0;362-02;;64.0;6.0;0.0;223702384.0
2023.0;PLF;BG;70.0;DA;146.0;;146-08-43;31.0;3.0;112650677.0;27955519.0
2023.0;PLF;BG;9.0;AB;354.0;354-03;;21.0;2.0;86134093.0;86134093.0
2023.0;PLF;BG;2.0;CB;175.0;175-01;;53.0;5.0;50413884.0;68213884.0
2023.0;PLF;BG;35.0;SA;204.0;204-15;;31.0;3.0;260000.0;260000.0
2023.0;PLF;BG;50.0;TR;148.0;148-01;;21.0;2.0;275790.0;275790.0
2023.0;PLF;BG;2.0;CB;175.0;175-09;;53.0;5.0;1600000.0;1600000.0
2023.0;PLF;BG;3.0;RA;142.0;142-01;;32.0;3.0;45640498.0;45640498.0
2023.0;PLF;BG;12.0;CA;165.0;165-07;;21.0;2.0;30941819.0;30941819.0
2023.0;PLF;BG;70.0;DA;146.0;;146-09-68;31.0;3.0;0.0;18188129.0
2023.0;PLF;BG;70.0;DA;212.0;;212-59-01;21.0;2.0;249692740.0;249692740.0
2023.0;PLF;BG;9.0;AB;216.0;216-08;;21.0;2.0;26489993.0;26489993.0
2023.0;PLF;BG;70.0;DA;178.0;;178-05-83;31.0;3.0;183707491.0;181591005.0
2023.0;PLF;BG;70.0;DA;146.0;;146-08-49;31.0;3.0;0.0;26641784.0
2023.0;PLF;BG;12.0;AV;421.0;421-07;;64.0;6.0;0.0;20000000.0
2023.0;PLF;BG;36.0;TB;155.0;155-12;;31.0;3.0;7232784.0;6837862.0
2023.0;PLF;BG;9.0;SB;161.0;161-13;;32.0;3.0;5280000.0;5280000.0
2023.0;PLF;BG;7.0;GA;156.0;156-06;;21.0;2.0;42392327.0;42392327.0
2023.0;PLF;BG;7.0;GA;302.0;302-05;;61.0;6.0;6028883.0;6035807.0
2023.0;PLF;BG;9.0;SB;176.0;;176-02-01;23.0;2.0;475447.0;475447.0
2023.0;PLF;BG;7.0;DB;343.0;343-02;;63.0;6.0;8290972.0;3233772.0
2023.0;PLF;BG;10.0;JA;182.0;182-04;;21.0;2.0;20114929.0;20114929.0
