Catégorie;Sous catégorie;Sous sous catégorie;Numéro;Libellé législatif;Information complémentaire
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110265;Réduction d'impôt en faveur de l'investissement locatif intermédiaire rénové (Dispositif Denormandie);
Impôt sur le revenu;Calcul de l'impôt;Dispositions diverses;110302;"Réduction, dans la limite d’un certain montant, pour les contribuables des départements d’outre-mer de la cotisation résultant du barème (30 % en Guadeloupe, Martinique et Réunion ; 40 % en Guyane et à Mayotte) et de la retenue à la source sur les traitements, salaires, pensions et rentes viagères, servis à des personnes domiciliées fiscalement hors de France lorsque ces revenus proviennent de ces départements (8 % et 14,4 % au lieu de 12 % et 20 %)";
Impôt sur le revenu;Calcul de l'impôt;Dispositions diverses;110307;Imposition des salaires ou des bénéfices des écrivains, des artistes et des sportifs selon une moyenne triennale ou quinquennale;
Impôt sur le revenu;Calcul de l'impôt;Dispositions diverses;110308;Décharge de paiement d'impôt sur le revenu en cas de décès du fait d'actes de terrorisme, de la participation à une opération extérieure ou de sécurité intérieure ou dans des circonstances ayant entraîné une citation à l'ordre de la Nation;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120101;Exonération du salaire différé de l'héritier d'un exploitant agricole ayant cessé de participer directement et gratuitement à l'exploitation avant le 1er juillet 2014;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120104;Exonération du traitement attaché à la légion d'honneur et à la médaille militaire;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120108;Exonération des sommes versées au titre de la participation, de l'intéressement et de l'abondement, volontaire ou par défaut, aux plans d'épargne salariale;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120109;Exonération du salaire des apprentis et des gratifications versées aux stagiaires versées à compter du 12 juillet 2014;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120111;Exonération de la participation des employeurs au financement des titres-restaurant;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120112;Exonération de la contribution patronale et de la participation financière du comité d'entreprise et des organismes à caractère social au financement des chèques vacances;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120113;Exonération partielle de la prise en charge par l'employeur, une collectivité territoriale ou Pôle emploi, des frais de transport entre le domicile et le lieu de travail;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120116;Exonération des gratifications allouées à l'occasion de la remise de la médaille d'honneur du travail;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120117;Exonération totale pour les prestations et rentes viagères servies aux victimes d'accidents du travail et de maladies professionnelles et à hauteur de 50 % pour les indemnités temporaires;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120121;Exonération des primes et indemnités versées par l'Etat aux agents publics et aux salariés dans le cadre de la délocalisation;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120123;Exonération des vacations horaires et des avantages retraite servis aux sapeurs-pompiers volontaires;
