Type de recettes;Année;Libellé Mission;Code Section;Libellé Section;Code Ligne de recette;Libellé ligne de recette;Montant Recettes PLF 2025;Prévisions  Recettes 2026;Prévisions Recettes 2027
Recettes CAS;2025.0;Contrôle de la circulation et du stationnement routiers;YE-7;Circulation et stationnement routiers;YE-7-04;Amendes forfaitaires de la police de la circulation et amendes forfaitaires majorées issues des infractions constatées par la voie du système de contrôle-sanction automatisé et des infractions aux règles de la police de la circulation;1357855724.0;1357855724.0;1357855724.0
Recettes CAS;2025.0;Financement des aides aux collectivités pour l'électrification rurale;YK-1;Financement des aides aux collectivités pour l'électrification rurale;YK-1-01;Fraction du produit de l’accise sur l’électricité affectée au financement des aides aux collectivités pour l’électrification rurale;377000000.0;377000000.0;377000000.0
Recettes CAS;2025.0;Pensions;YD-2;Ouvriers des établissements industriels de l'État;YD-2-73;Compensations inter-régimes généralisée et spécifique;108000000.0;108000000.0;110000000.0
Recettes CAS;2025.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-45;Personnels militaires : retenues pour pensions : agents détachés hors l'État sur un emploi ne conduisant pas à pension (hors France Télécom et hors La Poste);860743.0;875548.0;883088.0
Recettes CCF;2025.0;Prêts et avances à des particuliers ou à des organismes privés;ZF-2;Prêts pour le développement économique et social;ZF-2-06;Prêts pour le développement économique et social;305408754.0;84549827.0;72764846.0
Recettes CCF;2025.0;Prêts et avances à divers services de l'État ou organismes gérant des services publics;ZB-1;Prêts et avances à divers services de l'État ou organismes gérant des services publics;ZB-1-06;Remboursement des prêts octroyés aux exploitants d'aéroports touchés par la crise de covid-19 au titre des dépenses de sûreté-sécurité;78095450.0;98672688.0;98672688.0
Recettes CAS;2025.0;Pensions;YD-3;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;YD-3-91;Financement des allocations de reconnaissance des anciens supplétifs : participation du budget général;52789530.0;52289570.0;50290000.0
Recettes CAS;2025.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-53;Personnels militaires : contributions des employeurs : agents propres des établissements publics et agents détachés en établissement public sur un emploi conduisant à pension;18596648.0;18596648.0;18596648.0
Recettes CAS;2025.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-49;Personnels militaires : retenues pour pensions : rachat des années d'études;1500000.0;1500000.0;1500000.0
Recettes CAS;2025.0;Pensions;YD-3;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;YD-3-83;Financement du traitement de membres de la Légion d'honneur : participation du budget général;160000.0;160000.0;160000.0
Recettes CCF;2025.0;Prêts et avances à divers services de l'État ou organismes gérant des services publics;ZB-1;Prêts et avances à divers services de l'État ou organismes gérant des services publics;ZB-1-03;Remboursement des avances octroyées à des organismes distincts de l'État et gérant des services publics;472708881.0;231005587.0;267899268.0
Recettes CAS;2025.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-03;Personnels civils : retenues pour pensions : agents propres des établissements publics et agents détachés en établissement public sur un emploi conduisant à pension;892311492.0;903152508.0;913527390.0
Recettes CAS;2025.0;Pensions;YD-3;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;YD-3-92;Financement des pensions des anciens agents du chemin de fer franco-éthiopien : participation du budget général;27206.0;21146.0;16961.0
Recettes CAS;2025.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-48;Personnels militaires : retenues pour pensions : validation des services auxiliaires : part agent : retenues rétroactives, versements du régime général, des autres régimes de base et de l'IRCANTEC;6109.0;3833.0;2405.0
Recettes CAS;2025.0;Participations financières de l'État;YC-1;Participations financières de l'État;YC-1-01;Produit des cessions, par l'État, de titres, parts ou droits de sociétés détenus directement;728000000.0;728000000.0;728000000.0
Recettes CCF;2025.0;Prêts et avances à divers services de l'État ou organismes gérant des services publics;ZB-1;Prêts et avances à divers services de l'État ou organismes gérant des services publics;ZB-1-01;Remboursement des avances octroyées au titre du préfinancement des aides communautaires de la politique agricole commune;10000000000.0;10000000000.0;10000000000.0
