PHASE;Type de Budget;Code Ministère;Ministère;Code Mission;Mission;Code Programme;Programme;T2 AE=CP  PLF 2019;ETPT PLF 2019
PLF 2019;Comptes de concours financiers;MIN21;Économie et finances;ZF;Prêts et avances à des particuliers ou à des organismes privés;868;Prêts et avances pour le développement du commerce avec l'Iran;0;
PLF 2019;Budget général;MIN23;Transition écologique et solidaire;TA;Écologie, développement et mobilité durables;203;Infrastructures et services de transports;;
PLF 2019;Budget général;MIN23;Transition écologique et solidaire;TA;Écologie, développement et mobilité durables;205;Affaires maritimes;;
PLF 2019;Budget général;MIN23;Transition écologique et solidaire;TA;Écologie, développement et mobilité durables;113;Paysages, eau et biodiversité;;
PLF 2019;Budget général;MIN23;Transition écologique et solidaire;TA;Écologie, développement et mobilité durables;159;Expertise, information géographique et météorologie;;
PLF 2019;Budget général;MIN23;Transition écologique et solidaire;TA;Écologie, développement et mobilité durables;181;Prévention des risques;46 446 540;437
PLF 2019;Budget général;MIN23;Transition écologique et solidaire;TA;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;;
PLF 2019;Budget général;MIN23;Transition écologique et solidaire;TA;Écologie, développement et mobilité durables;345;Service public de l'énergie;;
PLF 2019;Budget général;MIN23;Transition écologique et solidaire;TA;Écologie, développement et mobilité durables;217;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;2 766 032 479;39 413
PLF 2019;Budget général;MIN23;Transition écologique et solidaire;RA;Recherche et enseignement supérieur;190;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;;
PLF 2019;Budget général;MIN23;Transition écologique et solidaire;RB;Régimes sociaux et de retraite;198;Régimes sociaux et de retraite des transports terrestres;;
PLF 2019;Budget général;MIN23;Transition écologique et solidaire;RB;Régimes sociaux et de retraite;197;Régimes de retraite et de sécurité sociale des marins;;
PLF 2019;Budgets annexes;MIN23;Transition écologique et solidaire;XC;Contrôle et exploitation aériens;613;Soutien aux prestations de l'aviation civile;1 212 396 147;10 686
PLF 2019;Budgets annexes;MIN23;Transition écologique et solidaire;XC;Contrôle et exploitation aériens;612;Navigation aérienne;;
PLF 2019;Budgets annexes;MIN23;Transition écologique et solidaire;XC;Contrôle et exploitation aériens;614;Transports aériens, surveillance et certification;;
PLF 2019;Comptes d'affectation spéciale;MIN23;Transition écologique et solidaire;YL;Aides à l'acquisition de véhicules propres;791;Contribution au financement de l'attribution d'aides à l'acquisition de véhicules propres;;
PLF 2019;Comptes d'affectation spéciale;MIN23;Transition écologique et solidaire;YL;Aides à l'acquisition de véhicules propres;792;Contribution au financement de l'attribution d'aides au retrait de véhicules polluants;;
PLF 2019;Comptes d'affectation spéciale;MIN23;Transition écologique et solidaire;YK;Financement des aides aux collectivités pour l'électrification rurale;793;Électrification rurale;;
PLF 2019;Comptes d'affectation spéciale;MIN23;Transition écologique et solidaire;YK;Financement des aides aux collectivités pour l'électrification rurale;794;Opérations de maîtrise de la demande d'électricité, de production d'électricité par des énergies renouvelables ou de production de proximité dans les zones non interconnectées;;
PLF 2019;Comptes d'affectation spéciale;MIN23;Transition écologique et solidaire;YI;Services nationaux de transport conventionnés de voyageurs;785;Exploitation des services nationaux de transport conventionnés;;
PLF 2019;Comptes d'affectation spéciale;MIN23;Transition écologique et solidaire;YI;Services nationaux de transport conventionnés de voyageurs;786;Matériel roulant des services nationaux de transport conventionnés;;
PLF 2019;Comptes d'affectation spéciale;MIN23;Transition écologique et solidaire;YN;Transition énergétique;764;Soutien à la transition énergétique;;
PLF 2019;Comptes d'affectation spéciale;MIN23;Transition écologique et solidaire;YN;Transition énergétique;765;Engagements financiers liés à la transition énergétique;;
PLF 2019;Comptes de concours financiers;MIN23;Transition écologique et solidaire;ZF;Prêts et avances à des particuliers ou à des organismes privés;869;Prêts à la société concessionnaire de la liaison express entre Paris et l'aéroport Paris-Charles de Gaulle;;
PLF 2019;Budget général;MIN36;Travail;TB;Travail et emploi;102;Accès et retour à l'emploi;;
PLF 2019;Budget général;MIN36;Travail;TB;Travail et emploi;103;Accompagnement des mutations économiques et développement de l'emploi;;
PLF 2019;Budget général;MIN36;Travail;TB;Travail et emploi;111;Amélioration de la qualité de l'emploi et des relations du travail;;
PLF 2019;Budget général;MIN36;Travail;TB;Travail et emploi;155;Conception, gestion et évaluation des politiques de l'emploi et du travail;614 456 970;9 012
PLF 2019;Comptes d'affectation spéciale;MIN36;Travail;YJ;Financement national du développement et de la modernisation de l'apprentissage;787;Répartition régionale de la ressource consacrée au développement de l'apprentissage;;
PLF 2019;Comptes d'affectation spéciale;MIN36;Travail;YJ;Financement national du développement et de la modernisation de l'apprentissage;790;Correction financière des disparités régionales de taxe d'apprentissage et incitations au développement de l'apprentissage;;
PLF 2019;Budget général;MIN38;Enseignement supérieur, recherche et innovation;RA;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;526 808 533;7 960
PLF 2019;Budget général;MIN38;Enseignement supérieur, recherche et innovation;RA;Recherche et enseignement supérieur;231;Vie étudiante;;
PLF 2019;Budget général;MIN38;Enseignement supérieur, recherche et innovation;RA;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;;
PLF 2019;Budget général;MIN38;Enseignement supérieur, recherche et innovation;RA;Recherche et enseignement supérieur;193;Recherche spatiale;;
PLF 2019;Budget général;MIN44;Outre-mer;OA;Outre-mer;138;Emploi outre-mer;159 681 065;5 548
