Nomenclature;Année;Type de ligne;Type de budget;Périmètre financier Chorus;Ministère;Programme;Code (programme, action ou sous-action);Libellé Chorus abrégé;Libellé complet;Mission;Type de dépenses;Code article d'éxécution;Section CAS/CCF;Compte CAS/CCF;Id Histo Tango;Code section Chorus
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN09 Intérieur et outre-mer;P138;0138-02-25;Aides à la qualification;Aides à la qualification professionnelle et à l'adaptation à l'emploi -RSMA Nouvelle-Calédonie;MOA Outre-mer;Mixte;44.0;;;1NEX1396;
Dépenses_BG;2023.0;Sous action apparaissant au PAP/RAP;BG;BG00;MIN09 Intérieur et outre-mer;P176;0176-04-04;Autres actions relatives;Autres actions relatives à la police des étrangers et à la sureté des transports internationaux - Hors administration centrale et cabinets;MSB Sécurités;Personnel;42.0;;;1SI1923;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P135;0135-10;Relance Écologie;Crédits Relance Écologie;MVA Cohésion des territoires;Hors Personnel;;;;1F4RQQFMMEN;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN10 Justice;P182;0182-01-22;AEMO Jeunes Majeurs - SAH;Action éducative en milieu ouvert jeunes majeurs - Secteur associatif habilité;MJA Justice;Hors Personnel;30.0;;;1NEX8815;
Dépenses_BG;2023.0;Programme;BG;BG00;MIN36 Travail, plein emploi et insertion;P155;155.0;ConcepGestEvalPolTravail;Conception, gestion et évaluation des politiques de l'emploi et du travail;MTB Travail et emploi;Mixte;;;;1PGM345;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN70 Armées;P212;0212-54;Plan moyens/Cond opér/RH;"Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme ""Préparation et emploi des forces""";MDA Défense;Personnel;;;;1ACT4717;
Dépenses_BG;2023.0;Programme;BG;BG00;MIN35 Santé et prévention;P183;183.0;Protection maladie;Protection maladie;MSA Santé;Hors Personnel;;;;1PGM328;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN09 Intérieur et outre-mer;P216;0216-03-05;Maintien en condition opé;Numérique : maintien en condition opérationnelle;MAB Administration générale et territoriale de l'État;Hors Personnel;;;;1NEX2586;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN10 Justice;P101;0101-04;MFER;Médiation et espaces de rencontre;MJA Justice;Hors Personnel;;;;1ACT1832;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P119;0119-01-05;Dotation politique de la;Dotation politique de la ville;MRC Relations avec les collectivités territoriales;Hors Personnel;14.0;;;1NEX7276;
