Nomenclature;Année;Type de ligne;Type de budget;Périmètre financier Chorus;Ministère;Programme;Code (programme, action ou sous-action);Libellé Chorus abrégé;Libellé complet;Mission;Type de dépenses;Code article d'éxécution;Section CAS/CCF;Compte CAS/CCF;Id Histo Tango;Code section Chorus
Dépenses_BG;2023.0;Sous action apparaissant au PAP/RAP;BG;BG00;MIN70 Armées;P212;0212-66-04;Pil-Sout-com/PR;Pilotage, soutien et communication - Présidence de la République;MDA Défense;Personnel;68.0;;;1SSA1092;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN01 Europe et affaires étrangères;P185;0185-02;Coop. cult. et Français;Coopération culturelle et promotion du français;MAA Action extérieure de l'État;Hors Personnel;;;;1ACT576;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN02 Culture;P131;0131-02;Sout créa° prod & diff AV;Soutien à la création, à la production et à la diffusion des arts visuels;MCB Culture;Hors Personnel;;;;1ACT693;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN03 Agriculture et souveraineté alimentaire;P206;0206-04-47;Inspection aux frontières;Inspection vétérinaire et phytosanitaire aux frontières;MAC Agriculture, alimentation, forêt et affaires rurales;Hors Personnel;47.0;;;1NEX10343;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN12 Services du Premier ministre;P162;0162-02-25;Plan lutte algues vertes;Mettre en oeuvre le plan de lutte contre les algues vertes;MVA Cohésion des territoires;Hors Personnel;25.0;;;1NEX10066;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P193;0193-05;Maîtrise tech orbitales;Maîtrise des technologies orbitales et de l'innovation technologique;MRA Recherche et enseignement supérieur;Hors Personnel;;;;1ACT964;
Dépenses_BG;2023.0;Programme;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P159;159.0;Exp.Géo.Météo;Expertise, information géographique et météorologie;MTA Écologie, développement et mobilité durables;Hors Personnel;;;;1PGM281;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN43 Transition énergétique;P174;0174-04-02;interventions hors ANGDM;Intervention après-mines (hors ANGDM);MTA Écologie, développement et mobilité durables;Hors Personnel;41.0;;;1NEX3274;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN56 Solidarités, autonomie et personnes handicapées;P304;0304-13-04;Incl Sle, acc D & BE;Inclusion sociale, accès aux droits et bien essentiels;MSE Solidarité, insertion et égalité des chances;Hors Personnel;;;;1MIO4XIIK5M;
Dépenses_CAS;2023.0;Programme;CAS;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P743;743.0;PensMilit&invaVictGuerre;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;MYD Pensions;Hors Personnel;;3 Pensions militaires d'invalidité et des victimes de guerre et autres pensions;780.0;1PGM354;780-S03
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN01 Europe et affaires étrangères;P105;0105-05-01;Form.élites sécu déf;Formation des élites et cadres de sécurité et de défense;MAA Action extérieure de l'État;Hors Personnel;70.0;;;1NEX900;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN03 Agriculture et souveraineté alimentaire;P143;0143-01-02;Personnel permanent - Per;Personnel permanent - Personnel du ministère chargé de l'équipement au titre de des lycées maritimes;MEC Enseignement scolaire;Personnel;11.0;;;1NEX2857;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN03 Agriculture et souveraineté alimentaire;P143;0143-01-05;Personnel permanent - Per;Personnel permanent - Personnel de surveillance des établissements - Assistants d'éducation;MEC Enseignement scolaire;Hors Personnel;14.0;;;1NEX2859;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN06 Éducation nationale et  jeunesse;P140;0140-06-01;Pilotage et encadrement p;Pilotage et encadrement pédagogique : personnel;MEC Enseignement scolaire;Personnel;35.0;;;1NEX1462;
Dépenses_BG;2023.0;Programme;BG;BG00;MIN10 Justice;P107;107.0;Adm.pénitentiaire;Administration pénitentiaire;MJA Justice;Mixte;;;;1PGM267;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P203;0203-01;routes - développement;Routes - Développement;MTA Écologie, développement et mobilité durables;Hors Personnel;11.0;;;1ACT1086;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P305;0305-04-01;Dévpt ESS&ISS;Développement de l'ESS et soutien à l'IIS;MDB Économie;Hors Personnel;;;;1NEX11125;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN50 Transformation et fonction publiques;P352;0352-01;Fonds pour l'accélération;Fonds pour l'accélération du financement des start-up d'État;MTR Transformation et fonction publiques;Mixte;10.0;;;1ACTP190014;
Dépenses_BG;2023.0;Programme;BG;BG00;MIN70 Armées;P191;191.0;Rech.duale(civ&mil);Recherche duale (civile et militaire);MRA Recherche et enseignement supérieur;Hors Personnel;;;;1PGM298;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN03 Agriculture et souveraineté alimentaire;P215;0215-04-12;Mise en oeuvre de la form;Mise en oeuvre de la formation par l'INFOMA;MAC Agriculture, alimentation, forêt et affaires rurales;Hors Personnel;65.0;;;1NEX258;
Dépenses_CCF;2023.0;Programme;CCF;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P843;843.0;Radio France;Radio France;MZD Avances à l'audiovisuel public;Hors Personnel;;1 Avances aux organismes de l'audiovisuel public;870.0;1PGM504;870-S01
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN09 Intérieur et outre-mer;P161;0161-14-01;Fonct. cour. serv. cent.;Fonctionnement courant des services centraux;MSB Sécurités;Hors Personnel;;;;1NEX10118;
Dépenses_BG;2023.0;Programme;BG;BG00;MIN70 Armées;P169;169.0;Reco&RépaCombattants;Reconnaissance et réparation en faveur du monde combattant, mémoire et liens avec la Nation;MMB Anciens combattants, mémoire et liens avec la Nation;Hors Personnel;;;;1PGM275;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN12 Services du Premier ministre;P162;0162-09-92;Dévpt. économique global;Economie globale portée par l'innovation qui irrigue tout le territoire;MVA Cohésion des territoires;Hors Personnel;92.0;;;1NEX11169;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P177;0177-12-04;Plate-forme de veille soc;Veille sociale - Maraudes/Equipes mobiles;MVA Cohésion des territoires;Hors Personnel;;;;1NEX9000;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN38 Enseignement supérieur et recherche;P150;0150-14-03;Construct 1er équip HCPER;Construction et 1er équipement (hors CPER);MRA Recherche et enseignement supérieur;Hors Personnel;77.0;;;1NEX69;
Dépenses_BG;2023.0;Programme;BG;BG00;MIN43 Transition énergétique;P174;174.0;ÉnergieClimatAprès-mines;Énergie, climat et après-mines;MTA Écologie, développement et mobilité durables;Hors Personnel;;;;1PGM234;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN02 Culture;P131;0131-01;Soutien créa prod diff SV;Soutien à la création, à la production et à la diffusion du spectacle vivant;MCB Culture;Hors Personnel;;;;1ACT694;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P198;0198-03-01;Charge retraite SNCF;Charge de retraite de la SNCF;MRB Régimes sociaux et de retraite;Hors Personnel;20.0;;;1NEX7336;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN12 Services du Premier ministre;P205;0205-03;Flotte de commerce;Innovation et flotte de commerce;MTA Écologie, développement et mobilité durables;Hors Personnel;;;;1ACT1101;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P177;0177-14-06;Autres actions de conduit;Autres actions de conduite et d'animation de la politique de de l'hébergement et de l'inclusion social;MVA Cohésion des territoires;Hors Personnel;75.0;;;1NEX9018;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN02 Culture;P361;0361-03-01;Politique linguistique;Politique linguistique;MCB Culture;Hors Personnel;90.0;;;1SI1933;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN06 Éducation nationale et  jeunesse;P230;0230-07;Scolarisation 3 ans;Scolarisation à 3 ans;MEC Enseignement scolaire;Hors Personnel;;;;17JTVXMYPF5;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN09 Intérieur et outre-mer;P216;0216-01-11;Gestion des ressources hu;Gestion des ressources humaines;MAB Administration générale et territoriale de l'État;Mixte;42.0;;;1NEX9875;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN09 Intérieur et outre-mer;P303;0303-02-03;HU et accompgt social;HU (Hébergement d'urgence) pour demandeurs d'asile;MIA Immigration, asile et intégration;Hors Personnel;;;;1NEX5552;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN38 Enseignement supérieur et recherche;P231;0231-02-01;Aides indirectes;Aides indirectes;MRA Recherche et enseignement supérieur;Hors Personnel;20.0;;;1NEX7847;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN56 Solidarités, autonomie et personnes handicapées;P304;0304-13-03;Ingénierie, outils de la;Ingénierie, outils de la gouvernance - Evaluation et communication;MSE Solidarité, insertion et égalité des chances;Hors Personnel;52.0;;;1NEX9864;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN56 Solidarités, autonomie et personnes handicapées;P304;0304-16-02;Mandataires individuels;Mandataires individuels;MSE Solidarité, insertion et égalité des chances;Hors Personnel;74.0;;;1NEX10346;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN03 Agriculture et souveraineté alimentaire;P149;0149-24-03;Animation et développemen;Animation et développement rural;MAC Agriculture, alimentation, forêt et affaires rurales;Hors Personnel;;;;1NEX10713;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN36 Travail, plein emploi et insertion;P155;0155-15;Personnels mettant en oeu;Personnels mettant en oeuvre les politiques d'accompagnement des mutations économiques et développement de l'emploi;MTB Travail et emploi;Personnel;51.0;;;1ACT4848;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN03 Agriculture et souveraineté alimentaire;P149;0149-21-04;Actions internationales;Actions internationales;MAC Agriculture, alimentation, forêt et affaires rurales;Hors Personnel;14.0;;;1NEX10694;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN12 Services du Premier ministre;P205;0205-02-08;Protect sanit-soc marins;Protection sanitaire et sociale du marin;MTA Écologie, développement et mobilité durables;Hors Personnel;27.0;;;1NEX2801;
Dépenses_BG;2023.0;Programme;BG;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P200;200.0;R&D ImpÉtat(CrEvals);Remboursements et dégrèvements d'impôts d'État (crédits évaluatifs);MRD Remboursements et dégrèvements;Hors Personnel;;;;2QDOV5MCV1X;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P112;0112-11-05;CPER 2021-2027;CPER 2021-2027;MVA Cohésion des territoires;Hors Personnel;;;;1EP3WO4CK9N;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P217;0217-22-02;OPA transférés MAD des CT;Ouvriers des parcs et ateliers transférés mis à disposition des collectivités territoriales;MTA Écologie, développement et mobilité durables;Personnel;94.0;;;1NEX8342;
Dépenses_CCF;2023.0;Action apparaissant au PAP/RAP;CCF;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P854;0854-01;Soutien financier aux Éta;Soutien financier aux États membres de l'Union européenne dont la monnaie est l'euro;MZE Prêts à des États étrangers;Hors Personnel;10.0;4 Prêts aux États membres de la zone euro;860.0;1ACT3272;860-S04
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN02 Culture;P180;0180-05;Soutien aux médias de pro;Soutien aux médias de proximité;MMA Médias, livre et industries culturelles;Hors Personnel;;;;1ACT5093;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P217;0217-18-04;Pers Dév entr emploi P134;"Personnels relevant du programme ""Développement des entreprises et de l'emploi""";MTA Écologie, développement et mobilité durables;Personnel;86.0;;;1NEX7055;
Dépenses_CAS;2023.0;Action apparaissant au PAP/RAP;CAS;BG00;MIN43 Transition énergétique;P794;0794-08;Appel à projets innovants;Appel à projets innovants;MYK Financement des aides aux collectivités pour l'électrification rurale;Hors Personnel;;1 Financement des aides aux collectivités pour l'électrification rurale;751.0;18BBHB3URPE;751-S01
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN12 Services du Premier ministre;P162;0162-08-81;Strat amél qual  vie pop;Elaborer localement une stratégie d'amélioration de la qualité de vie des populations dans un contexte de pollution;MVA Cohésion des territoires;Hors Personnel;81.0;;;1NEX10075;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P203;0203-41-01;Infra. ferroviaires;Infrastructures ferroviaires;MTA Écologie, développement et mobilité durables;Hors Personnel;13.0;;;1NEX10987;
Dépenses_BG;2023.0;Sous action apparaissant au PAP/RAP;BG;BG00;MIN43 Transition énergétique;P190;0190-13-04;CI recherche transport;Recherche en matière de transport (PREDIT);MRA Recherche et enseignement supérieur;Hors Personnel;18.0;;;1SSA813;
Dépenses_BG;2023.0;Sous action apparaissant au PAP/RAP;BG;BG00;MIN70 Armées;P146;0146-07-68;RSA-Autres opérations;Renseigner, surveiller, acquérir - Autres opérations;MDA Défense;Hors Personnel;;;;SWM612V0P0;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN56 Solidarités, autonomie et personnes handicapées;P304;0304-14-02;Aide alimentaire - crédit;Aide alimentaire - crédits déconcentrés;MSE Solidarité, insertion et égalité des chances;Hors Personnel;61.0;;;1NEX9866;
Dépenses_CCF;2023.0;Programme;CCF;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P821;821.0;AvancesAgenceServPaiement;Avances à l'Agence de services et de paiement, au titre du préfinancement des aides communautaires de la politique agricole commune;MZB Prêts et avances à divers services de l'État ou organismes gérant des services publics;Hors Personnel;;1 Prêts et avances à divers services de l'État ou organismes gérant des services publics;890.0;1PGM362;890-S01
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P119;0119-08;Concours ex. masques;Concours exceptionnels pour l'achat de masques;MRC Relations avec les collectivités territoriales;Hors Personnel;;;;154VNKNLJDA;
Dépenses_BG;2023.0;Programme;BG;BG00;MIN03 Agriculture et souveraineté alimentaire;P215;215.0;Pilot.Agriculture;Conduite et pilotage des politiques de l'agriculture;MAC Agriculture, alimentation, forêt et affaires rurales;Mixte;;;;1PGM225;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN42 Sports et jeux olympiques et paralympiques;P219;0219-01;sport plus grand nombre;Promotion du sport pour le plus grand nombre;MSF Sport, jeunesse et vie associative;Mixte;10.0;;;1ACT1075;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN56 Solidarités, autonomie et personnes handicapées;P304;0304-17-09;Strat protect° enfance;Stratégie de prévention et protection de l'enfance;MSE Solidarité, insertion et égalité des chances;Hors Personnel;;;;10P3R54XY8W;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN70 Armées;P212;0212-63;Restructurations/RH;Restructurations - RH;MDA Défense;Personnel;;;;1ACT4726;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN09 Intérieur et outre-mer;P207;0207-03-02;Formations;Formations;MSB Sécurités;Hors Personnel;31.0;;;1NEX2834;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN06 Éducation nationale et  jeunesse;P214;0214-01-03;Pilotage et mise en oeuvr;Pilotage et mise en oeuvre des politiques éducatives de l'enseignement supérieur;MEC Enseignement scolaire;Personnel;12.0;;;1NEX4166;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN09 Intérieur et outre-mer;P138;0138-02-24;Aides à la qualification;Aides à la qualification professionnelle et à l'adaptation à l'emploi - BSMA Mayotte;MOA Outre-mer;Mixte;43.0;;;1NEX1395;
Dépenses_BG;2023.0;Action n'apparaissant PAS au PAP/RAP - T2 uniquement;BG;BG00;MIN12 Services du Premier ministre;P165;0165-99;Dépenses de personnels du;Dépenses de personnels du programme à reventiler;MCA Conseil et contrôle de l'État;Personnel;99.0;;;1NEX82;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P203;0203-43-01;Infra. portuaires;Infrastructures portuaires;MTA Écologie, développement et mobilité durables;Hors Personnel;30.0;;;1NEX10995;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN01 Europe et affaires étrangères;P105;0105-04-02;CI en euros;Contributions en euros aux organisations internationales;MAA Action extérieure de l'État;Hors Personnel;61.0;;;1NEX895;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN12 Services du Premier ministre;P129;0129-01-01;Cabinet PM & min. ratt.;Cabinet du Premier ministre et des ministres rattachés;MDC Direction de l'action du Gouvernement;Mixte;10.0;;;1NEX13;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN36 Travail, plein emploi et insertion;P111;0111-03-01;Parit et formation synd;Paritarisme et formation syndicale;MTB Travail et emploi;Hors Personnel;30.0;;;1NEX3399;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN38 Enseignement supérieur et recherche;P172;0172-16;Recherches scientifiques;Recherches scientifiques et technologiques en sciences et techniques de l'information;MRA Recherche et enseignement supérieur;Hors Personnel;41.0;;;1ACT4775;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN09 Intérieur et outre-mer;P138;0138-02-18;Aides à la qualification;Aides à la qualification professionnelle et à l'adaptation à l'emploi - Commandement du SMA;MOA Outre-mer;Mixte;37.0;;;1NEX1389;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN09 Intérieur et outre-mer;P176;0176-01;Ordre public et protectio;Ordre public et protection de la souveraineté;MSB Sécurités;Personnel;;;;1ACT1020;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN09 Intérieur et outre-mer;P216;0216-05-11;Immobilier administration;Immobilier administration centrale et déconcentrée;MAB Administration générale et territoriale de l'État;Hors Personnel;52.0;;;1NEX9874;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P119;0119-02-02;compensation EMS;Concours financier alloué à l'eurométropole de Strasbourg;MRC Relations avec les collectivités territoriales;Hors Personnel;;;;1ES0V4CMKP3;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN03 Agriculture et souveraineté alimentaire;P149;0149-27-09;Autres moyens dédiés à la;Autres moyens dédiés à la mise en oeuvre des politiques publiques et gestion des interventions;MAC Agriculture, alimentation, forêt et affaires rurales;Hors Personnel;89.0;;;1NEX10748;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN06 Éducation nationale et  jeunesse;P139;0139-09;Fonctionnement des établi;Fonctionnement des établissements;MEC Enseignement scolaire;Hors Personnel;;;;1ACT804;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P119;0119-01-11;Sout. invest cts ruralité;Soutien à l'investissement des communes et groupement de communes - Contrats de ruralité;MRC Relations avec les collectivités territoriales;Hors Personnel;19.0;;;1SAX6;
Dépenses_BG;2023.0;Sous action apparaissant au PAP/RAP;BG;BG00;MIN70 Armées;P146;0146-06-24;DisCrédTech-SNLE 3G;Assurer la crédibilité technique de la dissuasion – SNLE 3G;MDA Défense;Hors Personnel;30.0;;;1SSA1069;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN06 Éducation nationale et  jeunesse;P141;0141-13-01;Personnels concourant à l;"Personnels concourant à l'action ""personnels en situations diverses""";MEC Enseignement scolaire;Personnel;70.0;;;1NEX1736;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN06 Éducation nationale et  jeunesse;P230;0230-01;Vie scolaire et éducation;Vie scolaire et éducation à la responsabilité;MEC Enseignement scolaire;Mixte;10.0;;;1ACT761;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P363;0363-06;Comamndes militaires;Commandes militaires;MPR Plan de relance;Hors Personnel;;;;19Z38TYE2DZ;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P364;0364-06;Coopération sanitaire;Coopération sanitaire;MPR Plan de relance;Hors Personnel;;;;19Z3JBJY2DZ;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN09 Intérieur et outre-mer;P123;0123-06-06;Programmes prioritaires c;Programmes prioritaires ciblés -  Dotation de 1er numérotage;MOA Outre-mer;Hors Personnel;72.0;;;1NEX5341;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN10 Justice;P310;0310-03-02;Eval.Contl.étud.rech.HT2;Etudes, statistiques et recherche (hors personnel);MJA Justice;Hors Personnel;31.0;;;1NEX7000;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN12 Services du Premier ministre;P129;0129-16;DINUM;Coordination de la politique numérique;MDC Direction de l'action du Gouvernement;Mixte;84.0;;;1ACT4927;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN12 Services du Premier ministre;P308;0308-03;ARCOM;Autorité de régulation de la communication audiovisuelle et numérique;MDC Direction de l'action du Gouvernement;Hors Personnel;;;;1ACT2794;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN03 Agriculture et souveraineté alimentaire;P149;0149-26-10;Etudes et recherche;Etudes et recherche;MAC Agriculture, alimentation, forêt et affaires rurales;Hors Personnel;70.0;;;1NEX10737;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P203;0203-43-04;Ports pénibilité;Dispositifs de prise en compte de la pénibilité des métiers portuaires;MTA Écologie, développement et mobilité durables;Hors Personnel;33.0;;;1NEX10998;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P217;0217-27;Régulation énergie (CRE);Commission de régulation de l'énergie (CRE);MTA Écologie, développement et mobilité durables;Mixte;73.0;;;1ACT5211;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN03 Agriculture et souveraineté alimentaire;P215;0215-01-06;Personnel : moyens d'ajus;Personnel : moyens d'ajustement;MAC Agriculture, alimentation, forêt et affaires rurales;Personnel;11.0;;;1NEX4696;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN01 Europe et affaires étrangères;P105;0105-01-16;Sécur. communautés franç.;Sécurité des communautés françaises;MAA Action extérieure de l'État;Hors Personnel;28.0;;;1NEX6922;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN09 Intérieur et outre-mer;P123;0123-01-05;Logement social - Aide ex;Logement social - Aide exceptionnelle de l'Etat prévue par l'article 3 de la Loi du 30/12/1996;MOA Outre-mer;Hors Personnel;14.0;;;1NEX2093;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN38 Enseignement supérieur et recherche;P172;0172-01-36;Soutien à l'innovation;Soutien à l'innovation;MRA Recherche et enseignement supérieur;Hors Personnel;16.0;;;1NEX10319;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN06 Éducation nationale et  jeunesse;P141;0141-12;Pilotage, administration;Pilotage, administration et encadrement pédagogique;MEC Enseignement scolaire;Mixte;;;;1ACT776;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P198;0198-04-01;Charge retraite RATP;Charges de retraite de la RATP;MRB Régimes sociaux et de retraite;Hors Personnel;22.0;;;1NEX2953;
Dépenses_BG;2023.0;Programme;BG;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P364;364.0;Cohésion;Cohésion;MPR Plan de relance;Hors Personnel;;;;19V0XLM51J4;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P135;0135-01-04;PLS Convention délégation;Parc locatif social - Conventions de délégation de compétence (article 61 de la loi du 13 août 2004);MVA Cohésion des territoires;Hors Personnel;10.0;;;1NEX8179;
Dépenses_CCF;2023.0;Programme;CCF;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P844;844.0;ContrFinancActionAudioext;France Médias Monde;MZD Avances à l'audiovisuel public;Hors Personnel;;1 Avances aux organismes de l'audiovisuel public;870.0;1PGM505;870-S01
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P380;0380-02-01;Prévtion inondations;Prévention des inondations;MTA Écologie, développement et mobilité durables;Hors Personnel;;;;249AKGOCFGZ;
Dépenses_BG;2023.0;Programme;BG;BG00;MIN43 Transition énergétique;P190;190.0;Rech.Éne.&Dév.MobDurables;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;MRA Recherche et enseignement supérieur;Hors Personnel;;;;1PGM299;
Dépenses_BG;2023.0;Sous action apparaissant au PAP/RAP;BG;BG00;MIN43 Transition énergétique;P190;0190-13-07;CI changement global;Changement global (GMES, adaptation au changement climatique);MRA Recherche et enseignement supérieur;Hors Personnel;76.0;;;1SSA797;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN56 Solidarités, autonomie et personnes handicapées;P304;0304-19-03;Contractualisat° régions;Contractualisation avec les régions;MSE Solidarité, insertion et égalité des chances;Hors Personnel;;;;114QAEPXZL5;
