Extraction du;Année;Budget;Code Ministère; Ministère;Code Programme; Programme;Code Catégorie d'emploi;Code Catégorie d'emploi;ETPT PLF 2023;ETPT Amendements  2023;ETPT LFI  2023;Code Mission;Mission
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;176.0;Police nationale;1165.0;Ouvriers d'Etat;65.08;0.0;65.08;SB;Sécurités
20221230_16_43_50;2023.0;BG;10.0;Justice;166.0;Justice judiciaire;1039.0;B administratifs et techniques;1262.92;60.0;1322.92;JA;Justice
20221230_16_43_50;2023.0;BG;12.0;Services du Premier ministre;129.0;Coordination du travail gouvernemental;1137.0;Catégorie C;505.5;20.0;525.5;DC;Direction de l'action du Gouvernement
20221230_16_43_50;2023.0;BG;1.0;Europe et affaires étrangères;105.0;Action de la France en Europe et dans le monde;1102.0;Titulaires et CDI dans le réseau;1535.0;0.0;1535.0;AA;Action extérieure de l'État
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;176.0;Police nationale;1162.0;Personnels techniques;4585.35;0.0;4585.35;SB;Sécurités
20221230_16_43_50;2023.0;BG;1.0;Europe et affaires étrangères;209.0;Solidarité à l'égard des pays en développement;1105.0;Agents de droit local;201.82;0.0;201.82;AD;Aide publique au développement
20221230_16_43_50;2023.0;BG;7.0;Économie, finances et souveraineté industrielle et numérique;220.0;Statistiques et études économiques;1025.0;Catégorie A;1259.0;0.0;1259.0;DB;Économie
20221230_16_43_50;2023.0;BG;6.0;Éducation nationale et  jeunesse;163.0;Jeunesse et vie associative;1114.0;Personnels de la jeunesse et des sports;754.0;0.0;754.0;SF;Sport, jeunesse et vie associative
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;138.0;Emploi outre-mer;1182.0;Volontaires du SMA;4733.0;0.0;4733.0;OA;Outre-mer
20221230_16_43_50;2023.0;BG;12.0;Services du Premier ministre;164.0;Cour des comptes et autres juridictions financières;1134.0;Catégorie A +;844.47;-3.0;841.47;CA;Conseil et contrôle de l'État
20221230_16_43_50;2023.0;BG;7.0;Économie, finances et souveraineté industrielle et numérique;156.0;Gestion fiscale et financière de l'État et du secteur public local;1024.0;Catégorie A+;1777.0;2.0;1779.0;GA;Gestion des finances publiques
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;176.0;Police nationale;1167.0;Corps d'encadrement et d'application (police nationale);112975.22;0.0;112975.22;SB;Sécurités
20221230_16_43_50;2023.0;BG;3.0;Agriculture et souveraineté alimentaire;142.0;Enseignement supérieur et recherche agricoles;1014.0;A - Administratifs et Techniques;779.0;0.0;779.0;RA;Recherche et enseignement supérieur
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;161.0;Sécurité civile;1176.0;Personnels administratifs cat C;40.76;0.0;40.76;SB;Sécurités
20221230_16_43_50;2023.0;BG;7.0;Économie, finances et souveraineté industrielle et numérique;134.0;Développement des entreprises et régulations;1027.0;Catégorie C;132.81;0.0;132.81;DB;Économie
20221230_16_43_50;2023.0;BG;12.0;Services du Premier ministre;129.0;Coordination du travail gouvernemental;1134.0;Catégorie A +;211.5;37.0;248.5;DC;Direction de l'action du Gouvernement
20221230_16_43_50;2023.0;BG;7.0;Économie, finances et souveraineté industrielle et numérique;302.0;Facilitation et sécurisation des échanges;1027.0;Catégorie C;5020.26;-24.0;4996.26;GA;Gestion des finances publiques
20221230_16_43_50;2023.0;BG;6.0;Éducation nationale et  jeunesse;139.0;Enseignement privé du premier et du second degrés;1108.0;Enseignants stagiaires;2360.0;0.0;2360.0;EC;Enseignement scolaire
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;216.0;Conduite et pilotage des politiques de l'intérieur;1180.0;Sous-officiers du corps de soutien technique et administratif de la gendarmerie nationale;96.0;0.0;96.0;AB;Administration générale et territoriale de l'État
20221230_16_43_50;2023.0;BG;23.0;Transition écologique et cohésion des territoires;147.0;Politique de la ville;1053.0;Catégorie B;66.0;0.0;66.0;VA;Cohésion des territoires
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;216.0;Conduite et pilotage des politiques de l'intérieur;1160.0;Hauts fonctionnaires;452.25;0.0;452.25;AB;Administration générale et territoriale de l'État
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;176.0;Police nationale;1168.0;Personnels scientifique (police nationale);3259.45;0.0;3259.45;SB;Sécurités
20221230_16_43_50;2023.0;BG;6.0;Éducation nationale et  jeunesse;141.0;Enseignement scolaire public du second degré;1107.0;Enseignants du 2nd degré;373192.34;0.0;373192.34;EC;Enseignement scolaire
20221230_16_43_50;2023.0;BG;6.0;Éducation nationale et  jeunesse;141.0;Enseignement scolaire public du second degré;1112.0;Personnels administratif, technique et de service;31021.5;0.0;31021.5;EC;Enseignement scolaire
20221230_16_43_50;2023.0;BG;10.0;Justice;107.0;Administration pénitentiaire;1042.0;A métiers du social, de l'insertion et de l'éducatif;4838.46;0.0;4838.46;JA;Justice
20221230_16_43_50;2023.0;BG;7.0;Économie, finances et souveraineté industrielle et numérique;305.0;Stratégies économiques;1025.0;Catégorie A;412.0;5.0;417.0;DB;Économie
20221230_16_43_50;2023.0;BG;38.0;Enseignement supérieur et recherche;150.0;Formations supérieures et recherche universitaire;1324.0;C - BIATSS, bibliothèques et musées;906.0;0.0;906.0;RA;Recherche et enseignement supérieur
20221230_16_43_50;2023.0;BG;10.0;Justice;182.0;Protection judiciaire de la jeunesse;1041.0;C administratifs et techniques;1077.67;0.0;1077.67;JA;Justice
20221230_16_43_50;2023.0;BG;6.0;Éducation nationale et  jeunesse;139.0;Enseignement privé du premier et du second degrés;1106.0;Enseignants du 1er degré;43904.0;0.0;43904.0;EC;Enseignement scolaire
20221230_16_43_50;2023.0;BG;70.0;Armées;212.0;Soutien de la politique de la défense;1093.0;Militaires du rang;78897.3;0.0;78897.3;DA;Défense
20221230_16_43_50;2023.0;BG;7.0;Économie, finances et souveraineté industrielle et numérique;302.0;Facilitation et sécurisation des échanges;1025.0;Catégorie A;3937.28;-20.0;3917.28;GA;Gestion des finances publiques
20221230_16_43_50;2023.0;BG;12.0;Services du Premier ministre;129.0;Coordination du travail gouvernemental;1136.0;Catégorie B;337.5;26.0;363.5;DC;Direction de l'action du Gouvernement
20221230_16_43_50;2023.0;BG;6.0;Éducation nationale et  jeunesse;140.0;Enseignement scolaire public du premier degré;1117.0;Personnels éducatifs et médicaux sociaux;3952.5;0.0;3952.5;EC;Enseignement scolaire
20221230_16_43_50;2023.0;BG;3.0;Agriculture et souveraineté alimentaire;206.0;Sécurité et qualité sanitaires de l'alimentation;1014.0;A - Administratifs et Techniques;1241.0;0.0;1241.0;AC;Agriculture, alimentation, forêt et affaires rurales
20221230_16_43_50;2023.0;BG;23.0;Transition écologique et cohésion des territoires;217.0;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;1053.0;Catégorie B;13522.0;-37.0;13485.0;TA;Écologie, développement et mobilité durables
20221230_16_43_50;2023.0;BG;1.0;Europe et affaires étrangères;185.0;Diplomatie culturelle et d'influence;1101.0;Titulaires et CDI en administration centrale;79.11;0.0;79.11;AA;Action extérieure de l'État
20221230_16_43_50;2023.0;BG;50.0;Transformation et fonction publiques;368.0;Conduite et pilotage de la transformation et de la fonction publiques;1124.0;Catégorie A+;84.0;0.0;84.0;TR;Transformation et fonction publiques
20221230_16_43_50;2023.0;BG;10.0;Justice;107.0;Administration pénitentiaire;1036.0;Magistrats de l'ordre judiciaire;15.0;0.0;15.0;JA;Justice
20221230_16_43_50;2023.0;BG;7.0;Économie, finances et souveraineté industrielle et numérique;156.0;Gestion fiscale et financière de l'État et du secteur public local;1026.0;Catégorie B;38667.0;0.0;38667.0;GA;Gestion des finances publiques
20221230_16_43_50;2023.0;BG;7.0;Économie, finances et souveraineté industrielle et numérique;305.0;Stratégies économiques;1027.0;Catégorie C;249.0;12.0;261.0;DB;Économie
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;152.0;Gendarmerie nationale;1180.0;Sous-officiers du corps de soutien technique et administratif de la gendarmerie nationale;4928.73;0.0;4928.73;SB;Sécurités
20221230_16_43_50;2023.0;BG;10.0;Justice;182.0;Protection judiciaire de la jeunesse;1037.0;Personnels d'encadrement;2464.28;0.0;2464.28;JA;Justice
20221230_16_43_50;2023.0;BG;3.0;Agriculture et souveraineté alimentaire;142.0;Enseignement supérieur et recherche agricoles;1015.0;B et C - Administratifs et Techniques;960.0;0.0;960.0;RA;Recherche et enseignement supérieur
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;161.0;Sécurité civile;1166.0;Hauts fonctionnaires, corps de conception et de direction et corps de commandement (police nationale);80.55;0.0;80.55;SB;Sécurités
20221230_16_43_50;2023.0;BG;12.0;Services du Premier ministre;126.0;Conseil économique, social et environnemental;1135.0;Catégorie A;21.0;0.0;21.0;CA;Conseil et contrôle de l'État
20221230_16_43_50;2023.0;BG;3.0;Agriculture et souveraineté alimentaire;206.0;Sécurité et qualité sanitaires de l'alimentation;1013.0;Enseignants;3.0;0.0;3.0;AC;Agriculture, alimentation, forêt et affaires rurales
20221230_16_43_50;2023.0;BG;10.0;Justice;166.0;Justice judiciaire;1043.0;B métiers du greffe et du commandement;10993.43;0.0;10993.43;JA;Justice
20221230_16_43_50;2023.0;BG;10.0;Justice;182.0;Protection judiciaire de la jeunesse;1042.0;A métiers du social, de l'insertion et de l'éducatif;5470.11;0.0;5470.11;JA;Justice
20221230_16_43_50;2023.0;BG;12.0;Services du Premier ministre;165.0;Conseil d'État et autres juridictions administratives;1130.0;Membres du Conseil d'Etat;235.01;0.0;235.01;CA;Conseil et contrôle de l'État
20221230_16_43_50;2023.0;BG;6.0;Éducation nationale et  jeunesse;230.0;Vie de l'élève;1115.0;Accompagnants des élèves en situation de handicap;47127.33;0.0;47127.33;EC;Enseignement scolaire
20221230_16_43_50;2023.0;BG;1.0;Europe et affaires étrangères;185.0;Diplomatie culturelle et d'influence;1102.0;Titulaires et CDI dans le réseau;70.27;0.0;70.27;AA;Action extérieure de l'État
20221230_16_43_50;2023.0;BG;23.0;Transition écologique et cohésion des territoires;147.0;Politique de la ville;1052.0;Catégorie A;225.0;0.0;225.0;VA;Cohésion des territoires
20221230_16_43_50;2023.0;BG;10.0;Justice;107.0;Administration pénitentiaire;1043.0;B métiers du greffe et du commandement;2535.74;0.0;2535.74;JA;Justice
20221230_16_43_50;2023.0;BG;6.0;Éducation nationale et  jeunesse;140.0;Enseignement scolaire public du premier degré;1108.0;Enseignants stagiaires;9900.0;0.0;9900.0;EC;Enseignement scolaire
20221230_16_43_50;2023.0;BG;23.0;Transition écologique et cohésion des territoires;181.0;Prévention des risques;1054.0;Catégorie C;30.0;0.0;30.0;TA;Écologie, développement et mobilité durables
20221230_16_43_50;2023.0;BG;7.0;Économie, finances et souveraineté industrielle et numérique;220.0;Statistiques et études économiques;1024.0;Catégorie A+;357.0;0.0;357.0;DB;Économie
20221230_16_43_50;2023.0;BG;6.0;Éducation nationale et  jeunesse;140.0;Enseignement scolaire public du premier degré;1107.0;Enseignants du 2nd degré;237.0;0.0;237.0;EC;Enseignement scolaire
20221230_16_43_50;2023.0;BG;12.0;Services du Premier ministre;165.0;Conseil d'État et autres juridictions administratives;1135.0;Catégorie A;1064.96;0.0;1064.96;CA;Conseil et contrôle de l'État
20221230_16_43_50;2023.0;BA;12.0;Services du Premier ministre;624.0;Pilotage et ressources humaines;1208.0;Catégorie C;48.55;-1.0;47.55;XJ;Publications officielles et information administrative
20221230_16_43_50;2023.0;BG;7.0;Économie, finances et souveraineté industrielle et numérique;305.0;Stratégies économiques;1024.0;Catégorie A+;498.0;8.0;506.0;DB;Économie
20221230_16_43_50;2023.0;BG;6.0;Éducation nationale et  jeunesse;214.0;Soutien de la politique de l'éducation nationale;1106.0;Enseignants du 1er degré;8.0;0.0;8.0;EC;Enseignement scolaire
20221230_16_43_50;2023.0;BG;12.0;Services du Premier ministre;164.0;Cour des comptes et autres juridictions financières;1136.0;Catégorie B;260.0;-3.0;257.0;CA;Conseil et contrôle de l'État
20221230_16_43_50;2023.0;BG;1.0;Europe et affaires étrangères;151.0;Français à l'étranger et affaires consulaires;1105.0;Agents de droit local;1593.0;0.0;1593.0;AA;Action extérieure de l'État
20221230_16_43_50;2023.0;BG;12.0;Services du Premier ministre;158.0;Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale;1136.0;Catégorie B;5.0;0.0;5.0;MB;Anciens combattants, mémoire et liens avec la Nation
20221230_16_43_50;2023.0;BA;12.0;Services du Premier ministre;624.0;Pilotage et ressources humaines;1209.0;Contractuels;360.08;-19.0;341.08;XJ;Publications officielles et information administrative
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;216.0;Conduite et pilotage des politiques de l'intérieur;1175.0;Personnels administratifs cat B;1338.92;0.0;1338.92;AB;Administration générale et territoriale de l'État
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;152.0;Gendarmerie nationale;1172.0;Volontaires (gendarmes);10545.28;0.0;10545.28;SB;Sécurités
20221230_16_43_50;2023.0;BG;1.0;Europe et affaires étrangères;105.0;Action de la France en Europe et dans le monde;1101.0;Titulaires et CDI en administration centrale;2267.67;1.0;2268.67;AA;Action extérieure de l'État
20221230_16_43_50;2023.0;BG;6.0;Éducation nationale et  jeunesse;141.0;Enseignement scolaire public du second degré;1117.0;Personnels éducatifs et médicaux sociaux;10190.0;0.0;10190.0;EC;Enseignement scolaire
20221230_16_43_50;2023.0;BG;7.0;Économie, finances et souveraineté industrielle et numérique;302.0;Facilitation et sécurisation des échanges;1024.0;Catégorie A+;323.15;-2.0;321.15;GA;Gestion des finances publiques
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;161.0;Sécurité civile;1164.0;Militaires (hors gendarmes);1418.25;0.0;1418.25;SB;Sécurités
20221230_16_43_50;2023.0;BG;2.0;Culture;224.0;Soutien aux politiques du ministère de la culture;1005.0;Filière administrative;3763.58;1.0;3764.58;CB;Culture
20221230_16_43_50;2023.0;BG;38.0;Enseignement supérieur et recherche;150.0;Formations supérieures et recherche universitaire;1320.0;Enseignants-chercheurs titulaires;1516.0;0.0;1516.0;RA;Recherche et enseignement supérieur
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;138.0;Emploi outre-mer;1165.0;Ouvriers d'Etat;7.0;0.0;7.0;OA;Outre-mer
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;354.0;Administration territoriale de l'État;1160.0;Hauts fonctionnaires;1349.0;0.0;1349.0;AB;Administration générale et territoriale de l'État
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;161.0;Sécurité civile;1174.0;Personnels administratifs cat A;49.17;0.0;49.17;SB;Sécurités
20221230_16_43_50;2023.0;BG;7.0;Économie, finances et souveraineté industrielle et numérique;218.0;Conduite et pilotage des politiques économiques et financières;1026.0;Catégorie B;1384.0;16.0;1400.0;GA;Gestion des finances publiques
20221230_16_43_50;2023.0;BG;10.0;Justice;182.0;Protection judiciaire de la jeunesse;1036.0;Magistrats de l'ordre judiciaire;6.92;0.0;6.92;JA;Justice
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;232.0;Vie politique;1160.0;Hauts fonctionnaires;2.0;0.0;2.0;AB;Administration générale et territoriale de l'État
20221230_16_43_50;2023.0;BG;3.0;Agriculture et souveraineté alimentaire;215.0;Conduite et pilotage des politiques de l'agriculture;1013.0;Enseignants;100.0;0.0;100.0;AC;Agriculture, alimentation, forêt et affaires rurales
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;232.0;Vie politique;1174.0;Personnels administratifs cat A;36.0;0.0;36.0;AB;Administration générale et territoriale de l'État
20221230_16_43_50;2023.0;BG;12.0;Services du Premier ministre;126.0;Conseil économique, social et environnemental;1137.0;Catégorie C;66.0;0.0;66.0;CA;Conseil et contrôle de l'État
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;152.0;Gendarmerie nationale;1175.0;Personnels administratifs cat B;705.13;0.0;705.13;SB;Sécurités
20221230_16_43_50;2023.0;BG;6.0;Éducation nationale et  jeunesse;214.0;Soutien de la politique de l'éducation nationale;1111.0;Personnels d'encadrement;2009.0;0.0;2009.0;EC;Enseignement scolaire
20221230_16_43_50;2023.0;BG;1.0;Europe et affaires étrangères;105.0;Action de la France en Europe et dans le monde;1105.0;Agents de droit local;3095.2;0.0;3095.2;AA;Action extérieure de l'État
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;216.0;Conduite et pilotage des politiques de l'intérieur;1162.0;Personnels techniques;2364.24;0.0;2364.24;AB;Administration générale et territoriale de l'État
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;216.0;Conduite et pilotage des politiques de l'intérieur;1163.0;Personnels des cultes;1185.22;0.0;1185.22;AB;Administration générale et territoriale de l'État
20221230_16_43_50;2023.0;BG;12.0;Services du Premier ministre;164.0;Cour des comptes et autres juridictions financières;1137.0;Catégorie C;187.67;-3.0;184.67;CA;Conseil et contrôle de l'État
20221230_16_43_50;2023.0;BG;7.0;Économie, finances et souveraineté industrielle et numérique;218.0;Conduite et pilotage des politiques économiques et financières;1025.0;Catégorie A;2280.0;1.0;2281.0;GA;Gestion des finances publiques
20221230_16_43_50;2023.0;BG;2.0;Culture;224.0;Soutien aux politiques du ministère de la culture;1007.0;Filière d'accueil, de surveillance et magasinage;982.0;0.0;982.0;CB;Culture
20221230_16_43_50;2023.0;BG;6.0;Éducation nationale et  jeunesse;214.0;Soutien de la politique de l'éducation nationale;1117.0;Personnels éducatifs et médicaux sociaux;884.0;0.0;884.0;EC;Enseignement scolaire
20221230_16_43_50;2023.0;BA;12.0;Services du Premier ministre;624.0;Pilotage et ressources humaines;1206.0;Catégorie A;89.78;0.0;89.78;XJ;Publications officielles et information administrative
20221230_16_43_50;2023.0;BG;12.0;Services du Premier ministre;129.0;Coordination du travail gouvernemental;1135.0;Catégorie A;469.0;7.0;476.0;DC;Direction de l'action du Gouvernement
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;216.0;Conduite et pilotage des politiques de l'intérieur;1165.0;Ouvriers d'Etat;248.98;0.0;248.98;AB;Administration générale et territoriale de l'État
20221230_16_43_50;2023.0;BG;12.0;Services du Premier ministre;158.0;Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale;1135.0;Catégorie A;6.0;0.0;6.0;MB;Anciens combattants, mémoire et liens avec la Nation
20221230_16_43_50;2023.0;BA;23.0;Transition écologique et cohésion des territoires;613.0;Soutien aux prestations de l'aviation civile;1200.0;Administratifs et cadres;2756.0;0.0;2756.0;XC;Contrôle et exploitation aériens
20221230_16_43_50;2023.0;BG;38.0;Enseignement supérieur et recherche;150.0;Formations supérieures et recherche universitaire;1323.0;B - Autres personnels BIATSS, bibliothèques et musées;898.0;0.0;898.0;RA;Recherche et enseignement supérieur
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;354.0;Administration territoriale de l'État;1162.0;Personnels techniques;4584.0;0.0;4584.0;AB;Administration générale et territoriale de l'État
20221230_16_43_50;2023.0;BG;12.0;Services du Premier ministre;308.0;Protection des droits et libertés;1134.0;Catégorie A +;60.0;0.0;60.0;DC;Direction de l'action du Gouvernement
20221230_16_43_50;2023.0;BG;12.0;Services du Premier ministre;308.0;Protection des droits et libertés;1136.0;Catégorie B;42.0;0.0;42.0;DC;Direction de l'action du Gouvernement
20221230_16_43_50;2023.0;BG;7.0;Économie, finances et souveraineté industrielle et numérique;305.0;Stratégies économiques;1026.0;Catégorie B;119.0;0.0;119.0;DB;Économie
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;216.0;Conduite et pilotage des politiques de l'intérieur;1166.0;Hauts fonctionnaires, corps de conception et de direction et corps de commandement (police nationale);33.83;0.0;33.83;AB;Administration générale et territoriale de l'État
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;152.0;Gendarmerie nationale;1176.0;Personnels administratifs cat C;1819.65;0.0;1819.65;SB;Sécurités
