Nature juridique du bénéficiaire;;;;Rattachement d'un operateur;;Bénéficiaire de la taxe;;Taxe affectée;;;;;;;;;;;Référence juridique;
Secteur;Catégorie d'opérateur ou répartition nature juridique;Catégorie d'opérateur ou nature juridique;Numéro SIREN;Mission;Programme;Code;Libellé;Code;Libellé;Exécution 2018;Plafond 2018;Reversement BG 2018;Exécution 2019;Plafond 2019;Reversement BG 2019;Exécution 2020;Plafond 2020;Reversement BG 2020;Début du plafonnement;Référence juridique
Secteur local;Régions;Région;;;;156;Régions;214;Taxe sur les certificats d'immatriculation des véhicules (cartes grises);2 326 229 810;;;2 326 229 810;;;2 326 229 810;;;;Art. 1599 quindecies du CGI
Secteur local;Régions;Région;232000018;;;127;Collectivité territoriale de Corse et Conservatoire de l'espace littoral, de 2007 à 2011;169;Droit de consommation sur les tabacs dans les DOM;108 783 202;;;108 783 202;;;108 783 202;;;;Art. 268 du Code des douanes et art. 575 E bis du CGI
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public local à caractère industriel ou commercial;493349773;;;71;Etablissement public foncier local de l'Ain;20;Taxes spéciales d'équipement;5 223 751;;;5 000 000;;;5 000 000;;;;Art. 1607 bis,1607 Ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F du CGI et art. L321-1 et L324-1 du Code de l'urbanisme
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;130012024;Agriculture, alimentation, forêt et affaires rurales;206 Sécurité et qualité sanitaires de l'alimentation;1;ANSéS - Agence nationale de sécurité sanitaire, de l'alimentation, de l'environnement et du travail;47;Taxe additionnelle à l'imposition forfaitaire des entreprises de réseaux des Stations Radio (TA-IFER Stations Radio);3 600 000;2 000 000;1 600 000;Inexistant en 2019;;;Inexistant en 2020;;;;a) du III du A de l'art. 158 de la LFI 2011
Secteur local;Intercommunalité;Autre établissement public local de coopération non spécialisé ou entente;;;;95;Autorités organisatrices des transports urbains;94;Versement transport dû par les entreprises de plus de 9 salariés implantées en province;0;;;0;;;0;;;;Art L2333-64 du Code général des collectivités territoriales
Secteur local;Communes;Commune et commune nouvelle;;;;141;Communes ou EPCI (établissements publics de coopération intercommunale) à fiscalité propre et Départements - part intercommunale;178;Redevances communale et départementale des mines;1 000 000;;;1 000 000;;;1 000 000;;;;Art. 1519 et 1587 du CGI
Secteur local;Régions;Région;;;;177;Régions de la Guadeloupe, de la Martinique, de la Guyane et de la Réunion;238;Taxe spéciale de consommation sur les carburants;556 647 994;;;556 647 994;;;556 647 994;;;;Art. 266 quater du Code des douanes
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public national à caractère industriel ou commercial doté d'un comptable public;383330115;;;69;Etablissement public foncier Nord-Pas-de-Calais;20;Taxes spéciales d'équipement;68 000 000;74 725 000;0;70 990 000;70 990 000;0;51 990 000;51 990 000;0;LFR-I 2014 et de la LFI 2015;Art. 1607 bis,1607 Ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F du CGI et art. L321-1 et L324-1 du Code de l'urbanisme
Autres bénéficiaires;Autres personnes morales de droit privé;Centre technique industriel ou comité professionnel du développement économique;;;;34;CTI de l'Industrie : CT des indus. mécaniques (CETIM), CT de l'industrie du décolletage (CTDEC), CTI de la construction métallique (CTICM), CT des indus. aérauliques et thermiques (CETIAT), et Institut de Soudure;44;Taxe pour le développement des industries de la mécanique et de la construction métallique, des matériels et consommables de soudage et produits du décolletage, de construction métallique et des matériels aérauliques et thermiques;75 174 990;70 050 000;5 124 990;72 570 000;65 713 000;6 857 000;68 088 000;65 713 000;2 375 000;LFI 2012;Art. 71 E de la LFR 2003
Organismes d'administration centrale ;Etablissements publics nationaux (non opérateurs);Établissement public national à caractère administratif;130001795;;;152;FIPHFP - Etablissement public administratif chargé de la gestion du fonds pour l'insertion des personnes handicapées dans la fonction publique;210;Contribution des employeurs publics au fonds pour l'insertion des personnes handicapées dans la fonction publique (FIPHFP);112 949 634;;;107 584 815;;;97 600 000;;;;Loi n°2005-102 du 11 février 2005 pour l'égalité des droits et des chances, la participation et la citoyenneté des personnes handicapées
