Une dépense fiscale dont la fin du fait générateur est antérieure à l'année du projet de loi de finances est sur une ligne grisée,;empty;empty;empty;empty;empty;empty;empty;empty;empty;empty;$@Entete
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux, bénéfices agricoles et bénéfices non commerciaux) et à l'impôt sur les sociétés;Dispositions diverses;210332.0;Faculté temporaire de déduction fiscale de l’amortissement du fonds commercial;Finalité : Clarifier et adapter temporairement le traitement fiscal de l’amortissement comptable des fonds commerciaux, dans le cadre du plan en faveur des travailleurs indépendants, et en vue de soutenir la reprise de l’activité économique dans le contexte de sortie de crise liée à l’épidémie de Covid-19;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux, bénéfices agricoles et bénéfices non commerciaux) et à l'impôt sur les sociétés;Dispositions diverses;210324.0;Crédit d'impôt en faveur de la compétitivité et de l'emploi;Finalité : Améliorer la compétitivité des entreprises;;;;;;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110210.0;Réduction d’impôt au titre des investissements locatifs et de la souscription au capital de certaines sociétés réalisés jusqu’au 31/12/2017 et au titre des travaux de réhabilitation de logements réalisés jusqu’au 31/12/2029, dans les départements d'outre-mer, à Saint-Pierre-et-Miquelon, en Nouvelle-Calédonie, en Polynésie française, dans les îles Wallis et Futuna et les Terres australes et antarctiques françaises;Finalité : Aider certains espaces géographiques (Outre-mer);;;;;;
Impôts locaux;Taxe foncière sur les propriétés non bâties;Exonérations compensées par l'Etat;60108.0;Exonération partielle des terres agricoles situées dans les départements d'outre-mer;Finalité : Aider certains espaces géographiques (Outre-mer);;;;;;
Impôt sur le revenu;Bénéfices non commerciaux;Dispositions diverses;160406.0;Abattement de 50 % sur le bénéfice imposable des jeunes artistes de la création plastique;Finalité : Aider le secteur artistique (jeunes artistes plastiques);;;;;;
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession de biens meubles : Exonérations;150405.0;Exonération de la taxe forfaitaire pour les cessions et exportations de métaux précieux, bijoux, objets d'art, de collection et d'antiquité réalisées par des non-résidents;Finalité : Renforcer l'attractivité du marché de l'art en France;;;;;;
Impôt sur le revenu;Revenus fonciers;Déductions;130211.0;Déduction sur les revenus des logements loués à usage d'habitation principale dans les zones de revitalisation rurale : Dispositif ROBIEN ZRR jusqu'en 2009 et SCELLIER ZRR à compter de 2009;Finalité : Augmenter l'offre de logements loués dans certaines zones;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux, bénéfices agricoles et bénéfices non commerciaux) et à l'impôt sur les sociétés;Dispositions diverses;210327.0;"Exonération des aides reçues par les lauréats du concours ""French Tech Tremplin""";Finalité : Favoriser les créations d'entreprises;;;;;;
Droits d'enregistrement et de timbre;Partages et opérations assimilées;;550104.0;Exonération du droit de partage de 2,5 % pour les actes de partage de succession et les licitations de biens héréditaires survenus entre le 1er janvier 2017 et le 31 décembre 2027 à hauteur de la valeur des immeubles situés en Corse;Finalité : Aider certains espaces géographiques (Corse);;;;;;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110218.0;Réduction d'impôt au titre de la souscription de parts de fonds communs de placement dans l'innovation (FCPI);Finalité : Orienter l'épargne vers le capital-risque;;;;;;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120131.0;Exonération temporaire des suppléments de rémunération versés aux salariés et mandataires sociaux au titre de l'exercice d'une activité professionnelle en France (primes d'impatriation), de la fraction de leur rémunération correspondant à l'activité exercée à l'étranger et de la rémunération des salariés et dirigeants de la Chambre de commerce internationale;Finalité : Renforcer l'attractivité du territoire;;;;;;
Droits d'enregistrement et de timbre;Mutations à titre onéreux - Taxe de publicité foncière;Mutations de biens meubles;530215.0;Exonération des acquisitions de droits sociaux de sociétés en difficulté ou entre sociétés d’un même groupe;Finalité : Soutenir les entreprises en favorisant les reprises d’entreprises en difficulté et les restructurations au sein d’un même groupe;;;;;;
Taxe sur la valeur ajoutée;Assiette et taux;Taux réduit;730213.0;Taux de 10 % pour les travaux d’amélioration, de transformation, d’aménagement et d’entretien, autres que les travaux de rénovation énergétiques soumis au taux de 5,5 % en application de l’article 278-0 bis A, portant sur les logements achevés depuis plus de deux ans;Finalité : Aider à l'amélioration du logement;;;;;;
Droits d'enregistrement et de timbre;Mutations à titre gratuit;Déductions de l'actif;520402.0;Déduction de l'actif successoral des frais de reconstitution de titres de propriété d'immeubles ou de droits immobiliers pour lesquels le droit de propriété du défunt n'a pas été constaté avant son décès, sous condition de reconstitution des titres de propriété;Finalité : Favoriser la transmission de biens nécessitant la reconstitution du titre de propriété;;;;;;
Impôt sur le revenu;Plus-values des particuliers;Gains de cessions de valeurs mobilières : Exonérations;150712.0;Exonération temporaire à hauteur de 50 % des gains nets de cession de valeurs mobilières et de droits sociaux détenus à l'étranger par des personnes physiques impatriées;Finalité : Favoriser la capitalisation des entreprises françaises;;;;;;
Autres droits;Taxe sur la masse en ordre de marche sur les véhicules de tourisme;Exonérations;940104.0;Exonération pour les véhicules exclusivement affectés aux missions de protection des services d’incendie et de secours et des associations agréées de protection civile;Finalité : Diminuer les coûts d’acquisition des véhicules affectés aux services de secours;;;;;;
Impôt sur les sociétés;Exonérations;Exonérations de produits;300203.0;Exonération des sociétés de capital-risque (SCR);Finalité : Orienter l'épargne vers le capital-risque;;;;;;
Droits d'enregistrement et de timbre;Mutations à titre gratuit;Exonérations;520110.0;Exonération partielle, sous certaines conditions, de droits de mutation à titre gratuit lors de la transmission d'entreprises exploitées sous la forme individuelle ou détenues sous forme sociale;Finalité : Favoriser les reprises d'entreprises;;;;;;
Impôt sur le revenu;Revenus de capitaux mobiliers;Dispositions diverses;140308.0;Prélèvement libératoire à taux réduit sur les produits de placement à revenus fixes abandonnés dans le cadre d'un mécanisme d'épargne solidaire;Finalité : Orienter l'épargne vers les pays en développement;;;;;;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110222.0;Crédit d'impôt pour la transition énergétique;Finalité : Diminuer la consommation énergétique des logements;;;;;;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110241.0;Réduction d'impôt au titre des cotisations versées aux associations syndicales autorisées ayant pour objet la réalisation de travaux de prévention en vue de la défense des forêts contre les incendies sur des terrains inclus dans les bois classés;Finalité : Aider le secteur sylvicole;;;;;;
Impôt sur les sociétés;Modalités particulières d'imposition;;320122.0;Déduction pour les groupements d'employeurs des sommes inscrites à un compte d'affectation spéciale et destinées à couvrir leur responsabilité solidaire pour le paiement des dettes salariales;Finalité : Aider le secteur agricole;;;;;;
Autres droits;Composantes de la taxe générale sur les activités polluantes;Déductions d'assiette;990101.0;"Déductibilité de la composante ""émissions dans l'air"" des contributions ou dons de toute nature versés aux associations agréées de surveillance de la qualité de l’air";;;;;;;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120124.0;Exonération totale ou partielle des sommes versées aux salariés détachés à l'étranger;Finalité : Aider les expatriés (salariés);;;;;;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110228.0;Réduction d'impôt au titre de la souscription de parts de fonds d'investissement de proximité (FIP);Finalité : Orienter l'épargne vers le capital des PME d’un territoire donné;;;;;;
Accise sur les énergies;Produits énergétiques autres que les gaz naturels et les charbons;Tarifs réduits;800227.0;Tarif réduit pour les gazoles utilisés pour réaliser des travaux statiques ou de terrassement pour les besoins de l'activité de manutention portuaire dans les ports maritimes et certains ports fluviaux exposés à la concurrence internationale (niveau d'intensité énergétique de l'entreprise au moins égal à 3 % en valeur de production ou 0,5 % en valeur ajoutée);Finalité : Aider le secteur du transport maritime;;;;;;
Autres impôts directs;Retenues à la source;;430101.0;Exonération des retenues à la source prévues aux c et b du I de l'article 182 B du CGI et à l'article 119 bis du CGI à raison des bénéfices réalisés en France et des revenus de source française perçus par des organismes chargés de l'organisation en France d'une compétition sportive internationale et de leurs filiales, directement liés à l'organisation de la compétition sportive internationale;Finalité : Soutenir le secteur sportif;;;;;;
Droits d'enregistrement et de timbre;Mutations à titre gratuit;Exonérations;520105.0;Exonération des monuments historiques classés ou inscrits et des parts de SCI familiales détenant des biens de cette nature;Finalité : Aider les propriétaires à protéger le patrimoine culturel privé;;;;;;
Impôt sur les sociétés;Exonérations;Exonérations de produits;300209.0;Exonération des droits d'adhésion perçus par les sociétés d'assurance mutuelles;Finalité : Aider le secteur des mutuelles;;;;;;
Droits d'enregistrement et de timbre;Mutations à titre gratuit;Exonérations;520116.0;Exonération de droits de mutation des successions des sapeurs-pompiers décédés en opération de secours et des personnes décédées dans l’exercice de missions de sécurité civile;Finalité : Aider les sapeurs-pompiers;;;;;;
Impôt sur les sociétés;Modalités particulières d'imposition;;320147.0;Créance à l’impôt sur les sociétés en faveur des investisseurs institutionnels qui détiennent des logements locatifs intermédiaires;Finalité : Favoriser la production de logements locatifs intermédiaires dans les zones tendues par les investisseurs institutionnels;;;;;;
Taxe sur la valeur ajoutée;Régimes particuliers;;740103.0;Franchise en base pour les auteurs et les interprètes des oeuvres de l'esprit dont le chiffre d'affaires n'excède pas la limite fixée au III de l'article 293 B du CGI;Finalité : Aider le secteur artistique;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux) et à l'impôt sur les sociétés;Provisions;230410.0;Provision pour charges exceptionnelles ou pour risques afférents aux opérations d'assurance crédit des entreprises d'assurance et de réassurance (dont provisions pour égalisation et provisions des captives de réassurance);Finalité : Aider le secteur des assurances;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux) et à l'impôt sur les sociétés;Régimes spéciaux d'imposition;230604.0;Exonération totale ou partielle des bénéfices réalisés par les jeunes entreprises innovantes et les jeunes entreprises universitaires (existantes au 1er janvier 2004 ou créées entre le 1er janvier 2004 et le 31 décembre 2025);Finalité : Augmenter les dépenses de recherche (jeunes entreprises);;;;;;
Accise sur les énergies;Produits énergétiques autres que les gaz naturels et les charbons;Tarifs réduits;800210.0;Tarifs réduits pour les produits énergétiques (hors gaz naturels et charbons) utilisés dans les installations grandes consommatrices d’énergie et soumises au régime des quotas d’émission de gaz à effet de serre du dispositif ETS (niveau d'intensité énergétique au moins égal à 3 % en valeur de production ou 0,5 % en valeur ajoutée);Finalité : Aider certains secteurs industriels;;;;;;
Impôt sur les sociétés;Modalités particulières d'imposition;;320141.0;Imposition au taux réduit de 19 % des plus-values de cession de locaux professionnels ou de terrains à bâtir, situés dans les zones les plus tendues, au profit d’une personne morale, sous réserve que le cessionnaire s’engage à transformer ces immeubles en locaux d’habitation ou à y construire de tels locaux dans un délai de 4 ans, une prolongation de ce délai, n’excédant pas une année et renouvelable une fois, peut être accordée sur demande de l’acquéreur;Finalité : Développement et amélioration de l'offre de logement;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux, bénéfices agricoles et bénéfices non commerciaux) et à l'impôt sur les sociétés;Dispositions diverses;210328.0;Crédit d’impôt au titre des dépenses engagées par les PME pour la rénovation énergétique de leurs bâtiments à usage tertiaire;;;;;;;
Droits d'enregistrement et de timbre;Dispositions communes aux droits d'enregistrement et de timbre;;500102.0;Réduction de 50 % des tarifs des droits d'enregistrement et de timbre en Guyane;Finalité : Aider certains espaces géographiques (Outre-mer);;;;;;
Taxe sur la valeur ajoutée;Exonérations;Autres exonérations;720206.0;Exonération des produits de leur pêche vendus par les marins-pêcheurs et armateurs à la pêche en mer;Finalité : Aider le secteur piscicole;;;;;;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110269.0;Réduction d’impôt sur le revenu en faveur des logements donnés en location dans le cadre d’une convention ANAH (dispositif Loc’Avantages);Finalité : Accroître l’offre de logements locatifs à loyers abordables;;;;;;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110250.0;Réduction d'impôt sur le revenu au titre des investissements locatifs réalisés dans le secteur de la location meublée non professionnelle (dispositif Censi-Bouvard);Finalité : Augmenter l'offre de logements locatifs;;;;;;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110251.0;Réduction d'impôt sur le revenu en faveur de l'investissement locatif du 1er janvier 2009 au 31 décembre 2012 et, sous conditions, jusqu'au 31 mars 2013 dans les zones présentant un déséquilibre entre l'offre et la demande de logements (sous conditions de loyer) : Dispositif SCELLIER;Finalité : Augmenter l'offre de logements locatifs;;;;;;
Accise sur les énergies;Produits énergétiques autres que les gaz naturels et les charbons;Tarifs réduits;800211.0;Tarif réduit pour les produits énergétiques (hors gaz naturels et charbons) utilisés dans les installations grandes consommatrices d’énergie exerçant une activité considérée comme fortement exposée à la concurrence internationale (niveau d'intensité énergétique au moins égal à 3 % en valeur de production ou 0,5 % en valeur ajoutée);Finalité : Aider certains secteurs industriels;;;;;;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Régimes spéciaux d'imposition;120507.0;Etalement sur quatre ans de l'imposition du montant des droits transférés d'un compte épargne-temps vers un plan d'épargne pour la retraite collectif (PERCO) ou d'un plan d'épargne entreprise investi en titres de l'entreprise ou assimilés et de la fraction imposable des indemnités de départ volontaire en retraite ou de mise à la retraite;Finalité : Augmenter l'épargne des salariés dans le capital de leur entreprise ou pour la retraite;;;;;;
Accise sur les énergies;Produits énergétiques autres que les gaz naturels et les charbons;Tarifs réduits;800222.0;Tarif réduit (remboursement) pour les gazoles utilisés comme carburant des véhicules de transport public collectif de voyageurs;Finalité : Aider les entreprises de transport public;;;;;;
Impôt sur le revenu;Revenus fonciers;Exonérations;130101.0;Exonération d’impôt sur le revenu au titre des revenus fonciers pour les associés personnes physiques des SCI d’accession progressive à la propriété;Finalité : Augmenter l'offre de logements locatifs;;;;;;
Autres droits;Malus CO2 sur les véhicules de tourisme;;970106.0;Plafonnement à 50 % du prix des véhicules;Finalité : Diminuer le prix d’acquisition des véhicules les plus onéreux;;;;;;
Taxe sur la valeur ajoutée;Exonérations;Exonérations à caractère social;720107.0;Exonération des services rendus aux personnes physiques par les associations agréées en application de l'article L. 7232-1 du code du travail;Finalité : Développer les emplois de service à la personne;;;;;;
Accise sur les énergies;Produits énergétiques autres que les gaz naturels et les charbons;Tarifs réduits;800214.0;Tarif particulier pour le carburant ED95, carburant diesel comportant entre 90 % et 95 % d’éthanol;;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux) et à l'impôt sur les sociétés;Déductions;230102.0;Déduction exceptionnelle en faveur de l’investissement des PME dans la robotique et la digitalisation industrielles;Finalité : Améliorer la compétitivité des entreprises;;;;;;
Droits d'enregistrement et de timbre;Mutations à titre gratuit;Exonérations;520108.0;Exonération de droits de mutation pour les successions des victimes d'opérations militaires ou d'actes de terrorisme;Finalité : Aider la famille des victimes d'opérations militaires ou d'actes de terrorisme;;;;;;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Abattements;120401.0;Abattement de 10 % sur le montant des pensions (y compris les pensions alimentaires) et des retraites;Finalité : Aider les personnes retraitées;;;;;;
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;90114.0;Exonération en faveur des établissements exerçant une activité commerciale dans une zone de revitalisation des commerces en milieu rural (ZoRCoMiR);Finalité : Aider certains espaces géographiques (espaces ruraux);;;;;;
Impôt sur les sociétés;Exonérations;Exonérations géographiques;300303.0;Exonération, sur agrément, des bénéfices réinvestis dans l'entreprise pour les sociétés de recherche et d'exploitation minière dans les départements d'outre-mer;Finalité : Aider certains espaces géographiques (Outre-mer);;;;;;
Impôts locaux;Cotisation sur la valeur ajoutée des entreprises;Exonérations compensées par l'Etat;40111.0;Exonération en faveur des établissements créés dans un bassin urbain à dynamiser (BUD) pouvant bénéficier de l’exonération de CFE;Finalité : Aider certains espaces géographiques (urbains);;;;;;
Impôts locaux;Taxe foncière sur les propriétés non bâties;Exonérations compensées par l'Etat;60103.0;Exonération en faveur des terrains plantés en bois;Finalité : Aider le secteur sylvicole;;;;;;
Accise sur les énergies;Charbons;Tarifs réduits;840202.0;Tarif réduit pour les charbons consommés dans les installations grandes consommatrices d'énergie exerçant une activité considérée comme fortement exposée à la concurrence internationale;;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux, bénéfices agricoles et bénéfices non commerciaux) et à l'impôt sur les sociétés;Dispositions diverses;210333.0;Crédit d'impôt au titre des investissements dans l'industrie verte (C3IV);;;;;;;
Droits d'enregistrement et de timbre;Mutations à titre onéreux - Taxe de publicité foncière;Mutations de biens meubles;530207.0;Application du droit d’enregistrement de 0,1 % pour les actes constatant les cessions d’actions de sociétés d’économie mixte exerçant une activité de construction ou de gestion de logements sociaux, d’organismes d’HLM ou de certaines sociétés foncières solidaires;Finalité : Aider le secteur immobilier social;;;;;;
Accise sur les énergies;Électricité;Tarifs réduits;820209.0;Tarif réduit pour l'électricité fournie aux aéronefs lors de leur stationnement dans les aérodromes ouverts à la circulation aérienne publique;Finalité : Soutenir l’électrification du secteur du transport aérien;;;;;;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110261.0;Réductions d'impôt sur le revenu en faveur de l'investissement locatif intermédiaire (dispositifs Duflot et Pinel);Finalité : Augmenter l'offre de logements locatifs;;;;;;
Autres droits;Taxe sur la masse en ordre de marche sur les véhicules de tourisme;Dispositions diverses;940203.0;Minoration du montant de la taxe de manière à ce que, cumulé avec le malus CO2, il n’excède pas le montant maximal dudit malus;Finalité : Éviter d’entraver la production de certains véhicules lourds;;;;;;
Impôt sur les sociétés;Exonérations;Exonérations de produits;300201.0;Exonération des revenus patrimoniaux des établissements publics scientifiques, d'enseignement et d'assistance pour leurs revenus fonciers agricoles et mobiliers;Finalité : Augmenter les dépenses de recherche;;;;;;
Impôt sur le revenu;Revenus fonciers;Déductions;130217.0;"Déduction des intérêts d'emprunt supportés par les nus-propriétaires de logements dont l'usufruit est détenu temporairement par un bailleur social (opérations ""d'usufruit locatif social"")";Finalité : Augmenter l'offre de logements locatifs;;;;;;
Taxe sur la valeur ajoutée;Assiette et taux;Taux particuliers;730305.0;Taux de 2,10 % applicable aux publications de presse;Finalité : Aider le secteur de la presse;;;;;;
Droits d'enregistrement et de timbre;Mutations à titre onéreux - Taxe de publicité foncière;Mutations d'immeubles;530101.0;Application d’un droit fixe de 125 € pour les transferts de biens de toute nature opérés entre organismes HLM, sociétés de crédit immobilier ou leurs unions, sociétés d’économie mixte exerçant une activité de construction ou de gestion dans le secteur du logement social au sens de l’article L. 411-1 du code de la construction et de l’habitation et organismes bénéficiant de l’agrément maîtrise d’ouvrage (article L. 365-2 du code de la construction et de l’habitation);Finalité : Aider le secteur immobilier social;;;;;;
Autres droits;Taxe sur la masse en ordre de marche sur les véhicules de tourisme;Exonérations;940101.0;Exonération pour les véhicules accessibles en fauteuil roulant et pour les véhicules acquis par les personnes titulaires d'une carte d'invalidité;Finalité : Diminuer les coûts d’acquisition des véhicules pour les personnes à mobilité réduite ou titulaires d’une carte d’invalidité;;;;;;
Taxe sur la valeur ajoutée;Assiette et taux;Taux réduit;730221.0;Taux de 10% pour la restauration commerciale (consommation sur place et vente à emporter en vue d'une consommation immédiate);Finalité : Favoriser l'emploi dans le secteur de la restauration;;;;;;
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;90108.0;Abattement sur la base nette imposable des établissements situés dans les départements d'outre-mer;Finalité : Aider certains espaces géographiques (Outre-mer);;;;;;
Impôt sur les sociétés;Modalités particulières d'imposition;;320118.0;Réduction d'impôt sur les sociétés pour les entreprises ayant effectué des versements en faveur de l'achat de Trésors Nationaux et autres biens culturels spécifiques;Finalité : Aider l'acquisition d'oeuvres par les institutions culturelles;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux) et à l'impôt sur les sociétés;Déductions;230104.0;Déduction exceptionnelle en faveur des simulateurs d'apprentissage de la conduite;;;;;;;
Impôt sur les sociétés;Modalités particulières d'imposition;;320128.0;Crédit d'impôt pour la production phonographique;Finalité : Aider le secteur artistique (industrie musicale);;;;;;
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession d'immeubles : Exonérations;150117.0;Exonération des plus-values de cession réalisées par des titulaires de pensions de vieillesse ou de la carte « mobilité inclusion » portant la mention « invalidité », sous conditions de revenus et de patrimoine;Finalité : Aider les personnes modestes âgées ou invalides;;;;;;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110248.0;Réduction d'impôt sur le revenu au titre des travaux de conservation ou de restauration d'objets mobiliers classés monuments historiques;Finalité : Aider les propriétaires à protéger le patrimoine culturel privé;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux) et à l'impôt sur les sociétés;Déductions;230103.0;Déduction exceptionnelle en faveur des navires, bateaux ou équipements répondant à des enjeux écologiques;Finalité : Aider le secteur du transport maritime;;;;;;
