Une dépense fiscale dont la fin du fait générateur est antérieure à l'année du projet de loi de finances est sur une ligne grisée,;empty;empty;empty;empty;empty;empty;empty;empty;empty;empty;$@Entete
Autres droits;Taxe annuelle sur les véhicules lourds de transport de marchandises;Exonérations;930103.0;Exonération pour les véhicules utilisés pour les besoins des jeux et manèges forains, des cirques, des centres équestres et des activités agricoles ou forestières;Finalité : Diminuer le coût d’utilisation des véhicules de transport de marchandises pour certaines professions;;;;;;
Autres droits;Taxe sur la masse en ordre de marche sur les véhicules de tourisme;Dispositions diverses;940201.0;Réduction de la masse en ordre de marche, prise en compte dans le tarif de la taxe, à hauteur de 200 kg par enfant à charge ou accueilli au titre de l’aide sociale, lorsque le nombre d’enfants au sein du foyer fiscal est d’au moins trois;Finalité : Diminuer le coût d’acquisition des véhicules pour les familles;;;;;;
Taxe sur la valeur ajoutée;Régimes ultramarins;;710102.0;Exonération de certains produits et matières premières ainsi que des produits pétroliers en Guadeloupe, en Martinique et à La Réunion;Finalité : Aider certains espaces géographiques (Outre-mer);;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux et bénéfices agricoles) et à l'impôt sur les sociétés;Déductions;200402.0;Déduction exceptionnelle en faveur des acquisitions de véhicules de 3,5 tonnes et plus fonctionnant exclusivement au gaz naturel, ou au biométhane, ou au carburant ED95, ou au B100, ou au dual fuel de type 1 A;Finalité : Aider les entreprises grandes consommatrices d'énergie;;;;;;
Droits d'enregistrement et de timbre;Taxe d'archéologie préventive;Exonérations;590101.0;Exonérations de taxe d’archéologie préventive;;;;;;;
Droits d'enregistrement et de timbre;Partages et opérations assimilées;;550102.0;Exonération du droit de 2,50% sur les actes de partage des copropriétés;Finalité : Favoriser la réorganisation des copropriétés;;;;;;
Accise sur les énergies;Produits énergétiques autres que les gaz naturels et les charbons;Tarifs réduits;800220.0;Tarif réduit (remboursement) pour les carburants utilisés par les taxis;Finalité : Aider le secteur des taxis;;;;;;
Impôts locaux;Taxe foncière sur les propriétés non bâties;Dégrèvements à la charge de l'Etat;60201.0;Pertes de récoltes ou de bétail;Finalité : Aider le secteur agricole;;;;;;
Droits d'enregistrement et de timbre;Mutations à titre gratuit;Exonérations;520121.0;Exonération au bénéfice du donataire des dons ouvrant droit, pour le donateur, à la réduction d'impôt sur la fortune immobilière;Finalité : Aider les organismes d'intérêt général;;;;;;
Taxe sur la valeur ajoutée;Assiette et taux;Taux réduit;730205.0;Taux de 10% pour la fourniture de logements dans les hôtels;Finalité : Aider le secteur hôtelier;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux) et à l'impôt sur les sociétés;Amortissements;230303.0;Majoration de la base de calcul des amortissements des immobilisations acquises au moyen de primes de développement régional, de développement artisanal ou d'aménagement du territoire;Finalité : Aider les bénéficiaires de subventions de développement;;;;;;
Impôt sur les sociétés;Modalités particulières d'imposition;;320121.0;Crédit d'impôt pour dépenses de production d'oeuvres cinématographiques;Finalité : Aider le secteur audiovisuel (production);;;;;;
Taxe sur la valeur ajoutée;Régimes ultramarins;;710109.0;Exclusion de la base d'imposition des marges commerciales sur la distribution de tabac en Guadeloupe, en Martinique et à La Réunion;Finalité : Aider certains espaces géographiques (Outre-mer);;;;;;
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession d'immeubles : Exonérations;150114.0;Exonération de la première cession d'un logement en France par des personnes physiques non résidentes de France, ressortissantes d'un Etat membre de l'Espace économique européen (EEE), dans la limite de 150 000 € de plus-value nette imposable;Finalité : Favoriser l'acquisition de logements;;;;;;
Impôt sur le revenu;Bénéfices agricoles;Abattements;170201.0;Abattement sur les bénéfices réalisés par les jeunes agriculteurs;Finalité : Aider le secteur agricole;;;;;;
Taxe sur la valeur ajoutée;Assiette et taux;Taux réduit;730208.0;Taux de 10% pour les prestations de soins dispensées par les établissements thermaux autorisés;Finalité : Aider le secteur thermal;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux et bénéfices agricoles) et à l'impôt sur les sociétés;Dispositions diverses;200310.0;Crédit d'impôt en faveur de l'innovation;Finalité : Augmenter les dépenses de recherche et d'innovation;;;;;;
Droits d'enregistrement et de timbre;Droits dus par les sociétés;Dispositions diverses;570202.0;Gratuité de l’enregistrement applicable à certaines opérations concernant les sociétés transparentes et les sociétés civiles immobilières régies par l'article L. 443-6-2 et suivants du Code de la construction et de l'habitation;Finalité : Aider le secteur immobilier;;;;;;
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140105.0;Exonération des intérêts des livrets d'épargne populaire;Finalité : Favoriser l'épargne des contribuables modestes;;;;;;
