Mission;Code Mission;Type Mission;Programme;Libellé Programme;Action;Libellé Action;SousAction;Libellé SousAction;Catégorie;Code Titre;Code Ministère;Libellé Ministère;AE T2 PLF 2023;AE Hors T2 PLF 2023;CP T2 PLF 2023;CP Hors T2 PLF 2023;AE T2 Amendements 2023;AE Hors T2 Amendements 2023;CP T2 Amendements 2023;CP Hors T2 Amendements 2023;AE T2 LFI 2023;AE Hors T2 LFI 2023;AE (T2 + Hors T2) LFI  2023;CP T2 LFI 2023;CP Hors T2 LFI 2023;CP (T2 + Hors T2) LFI  2023;check LFI positive pour le croisement action/sous-action catégorie de cette ligne;"check
 AE = CP en T2"
Direction de l'action du Gouvernement;DC;BG;308.0;Protection des droits et libertés;05;Contrôleur général des lieux de privation de liberté;;;21.0;4.0;12.0;Services du Premier ministre;3048840.0;0.0;3048840.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Sécurités;SB;BG;161.0;Sécurité civile;13;Soutien aux acteurs de la sécurité civile;;;64.0;4.0;9.0;Intérieur et outre-mer;0.0;11850000.0;0.0;5275109.0;0.0;150000000.0;0.0;37500000.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Action extérieure de l'État;AA;BG;105.0;Action de la France en Europe et dans le monde;05;Coopération de sécurité et de défense;;;31.0;4.0;1.0;Europe et affaires étrangères;0.0;4091832.0;0.0;4091832.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Outre-mer;OA;BG;123.0;Conditions de vie outre-mer;08;Fonds exceptionnel d'investissement;;;63.0;4.0;9.0;Intérieur et outre-mer;0.0;110000000.0;0.0;66056396.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;146.0;Équipement des forces;09;Engagement et combat;79;Opérer en milieu hostile - Plateformes;31.0;4.0;70.0;Armées;0.0;53454399.0;0.0;27686205.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Sécurités;SB;BG;176.0;Police nationale;06;Commandement, ressources humaines et logistique;01;Formation;31.0;4.0;9.0;Intérieur et outre-mer;0.0;43299666.0;0.0;43299666.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Écologie, développement et mobilité durables;TA;BG;205.0;Affaires maritimes, pêche et aquaculture;02;Emplois et formations maritimes;;;64.0;4.0;12.0;Services du Premier ministre;0.0;955208.0;0.0;955208.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;212.0;Soutien de la politique de la défense;61;Action sociale, chômage et pensions;01;Actions sociales et autres politiques des ressources humaines;22.0;4.0;70.0;Armées;30470022.0;0.0;30470022.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Développement agricole et rural;YF;CAS;775.0;Développement et transfert en agriculture;01;Développement et transfert;;;64.0;4.0;3.0;Agriculture et souveraineté alimentaire;0.0;60405600.0;0.0;60405600.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Écologie, développement et mobilité durables;TA;BG;205.0;Affaires maritimes, pêche et aquaculture;03;Innovation et flotte de commerce;;;64.0;4.0;12.0;Services du Premier ministre;0.0;20800000.0;0.0;20800000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
