Mission;Code Mission;Type Mission;Programme;Libellé Programme;Action;Libellé Action;SousAction;Libellé SousAction;Catégorie;Code Titre;Code Ministère;Libellé Ministère;AE T2 PLF 2023;AE Hors T2 PLF 2023;CP T2 PLF 2023;CP Hors T2 PLF 2023;AE T2 Amendements 2023;AE Hors T2 Amendements 2023;CP T2 Amendements 2023;CP Hors T2 Amendements 2023;AE T2 LFI 2023;AE Hors T2 LFI 2023;AE (T2 + Hors T2) LFI  2023;CP T2 LFI 2023;CP Hors T2 LFI 2023;CP (T2 + Hors T2) LFI  2023;check LFI positive pour le croisement action/sous-action catégorie de cette ligne;"check
 AE = CP en T2"
Conseil et contrôle de l'État;CA;BG;165.0;Conseil d'État et autres juridictions administratives;05;Fonction études, expertise et services rendus aux administrations de l'État et des collectivités;;;23.0;4.0;12.0;Services du Premier ministre;70187.0;0.0;70187.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;178.0;Préparation et emploi des forces;03;Préparation des forces navales;05;Ressources humaines des forces navales;31.0;4.0;70.0;Armées;0.0;59982023.0;0.0;58396144.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Publications officielles et information administrative;XJ;BA;623.0;Édition et diffusion;01;Accès au droit et diffusion légale;;;51.0;4.0;12.0;Services du Premier ministre;0.0;2100000.0;0.0;1850000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Culture;CB;BG;175.0;Patrimoines;02;Architecture et sites patrimoniaux;;;31.0;4.0;2.0;Culture;0.0;366172.0;0.0;366172.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Gestion des finances publiques;GA;BG;218.0;Conduite et pilotage des politiques économiques et financières;08;Accompagnement du changement de l'action publique;;;21.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;2221957.0;0.0;2221957.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Administration générale et territoriale de l'État;AB;BG;354.0;Administration territoriale de l'État;03;Contrôle de légalité et conseil aux collectivités territoriales;;;23.0;4.0;9.0;Intérieur et outre-mer;1047455.0;0.0;1047455.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Écologie, développement et mobilité durables;TA;BG;205.0;Affaires maritimes, pêche et aquaculture;02;Emplois et formations maritimes;;;63.0;4.0;12.0;Services du Premier ministre;0.0;5031250.0;0.0;5031250.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;212.0;Soutien de la politique de la défense;63;Restructurations - RH;01;Restructurations Personnels civils;22.0;4.0;70.0;Armées;73250.0;0.0;73250.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Justice;JA;BG;166.0;Justice judiciaire;02;Conduite de la politique pénale et jugement des affaires pénales;;;23.0;4.0;10.0;Justice;3621783.0;0.0;3621783.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Direction de l'action du Gouvernement;DC;BG;129.0;Coordination du travail gouvernemental;02;Coordination de la sécurité et de la défense;;;62.0;4.0;12.0;Services du Premier ministre;0.0;30000.0;0.0;30000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Outre-mer;OA;BG;138.0;Emploi outre-mer;02;Aide à l'insertion et à la qualification professionnelle;;;22.0;4.0;9.0;Intérieur et outre-mer;70356840.0;0.0;70356840.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Recherche et enseignement supérieur;RA;BG;142.0;Enseignement supérieur et recherche agricoles;01;Enseignement supérieur;;;53.0;4.0;3.0;Agriculture et souveraineté alimentaire;0.0;20464041.0;0.0;18371827.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Sécurités;SB;BG;161.0;Sécurité civile;14;Fonctionnement, soutien et logistique;;;64.0;4.0;9.0;Intérieur et outre-mer;0.0;200000.0;0.0;200000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Culture;CB;BG;361.0;Transmission des savoirs et démocratisation de la culture;02;Soutien à la démocratisation et à l'éducation artistique et culturelle;;;32.0;4.0;2.0;Culture;0.0;4000000.0;0.0;4000000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;212.0;Soutien de la politique de la défense;51;"Prospective de défense - Personnel travaillant  pour le programme ""Environnement et prospective de la politique de défense""";01;DGRIS / Administration  centrale;21.0;4.0;70.0;Armées;15655121.0;0.0;15655121.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;212.0;Soutien de la politique de la défense;57;"Préparation des forces aériennes- Personnel travaillant pour le programme ""Préparation et emploi des forces""";01;Ressources humaines des forces aériennes;22.0;4.0;70.0;Armées;1279882823.0;0.0;1279882823.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Culture;CB;BG;361.0;Transmission des savoirs et démocratisation de la culture;02;Soutien à la démocratisation et à l'éducation artistique et culturelle;;;63.0;4.0;2.0;Culture;0.0;54516012.0;0.0;52516012.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Solidarité, insertion et égalité des chances;SE;BG;124.0;Conduite et soutien des politiques sanitaires et sociales;18;Personnels mettant en oeuvre les politiques sociales et de la santé;;;22.0;4.0;56.0;Solidarités, autonomie et personnes handicapées;89531961.0;0.0;89531961.0;0.0;1416700.0;0.0;1416700.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Sécurités;SB;BG;152.0;Gendarmerie nationale;04;Commandement, ressources humaines et logistique;02;Commandement, ressources humaines et logistique - administration centrale et cabinet;23.0;4.0;9.0;Intérieur et outre-mer;252536.0;0.0;252536.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;178.0;Préparation et emploi des forces;03;Préparation des forces navales;07;Maintien en condition opérationnelle du matériel des forces navales;31.0;4.0;70.0;Armées;0.0;1553823374.0;0.0;2122445829.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Justice;JA;BG;182.0;Protection judiciaire de la jeunesse;03;Soutien;;;22.0;4.0;10.0;Justice;38287171.0;0.0;38287171.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;212.0;Soutien de la politique de la défense;50;"Recherche et exploitation du renseignement intéressant la sécurité de la France - Personnel travaillant  pour le programme ""Environnement et prospective de la politique de défense""";02;Renseignement de sécurité et de défense;22.0;4.0;70.0;Armées;61287709.0;0.0;61287709.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Culture;CB;BG;131.0;Création;01;Soutien à la création, à la production et à la diffusion du spectacle vivant;;;64.0;4.0;2.0;Culture;0.0;314329772.0;0.0;319225119.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Recherche et enseignement supérieur;RA;BG;150.0;Formations supérieures et recherche universitaire;01;Formation initiale et continue du baccalauréat à la licence;;;23.0;4.0;38.0;Enseignement supérieur et recherche;498712.0;0.0;498712.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;146.0;Équipement des forces;08;Projection - mobilité - soutien;44;Assurer la mobilité - VLTP;51.0;4.0;70.0;Armées;0.0;0.0;0.0;18680146.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;146.0;Équipement des forces;09;Engagement et combat;73;Opérer en milieu hostile - Frégates multi-missions (FREMM);31.0;4.0;70.0;Armées;0.0;0.0;0.0;21883850.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;146.0;Équipement des forces;10;Protection et sauvegarde;79;Assurer la sûreté des approches, la sécurité de l'Etat, de la nation et des citoyens - Autres opérations;31.0;4.0;70.0;Armées;0.0;18168535.0;0.0;8460133.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;178.0;Préparation et emploi des forces;03;Préparation des forces navales;01;Commandement et activités des forces navales;31.0;4.0;70.0;Armées;0.0;417447125.0;0.0;304549255.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;178.0;Préparation et emploi des forces;07;Surcoûts liés aux opérations intérieures;;;31.0;4.0;70.0;Armées;0.0;30000000.0;0.0;30000000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Avances aux collectivités territoriales;ZC;CCF;833.0;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;01;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;;;71.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;118206667516.0;0.0;118206667516.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Culture;CB;BG;131.0;Création;01;Soutien à la création, à la production et à la diffusion du spectacle vivant;;;53.0;4.0;2.0;Culture;0.0;15966000.0;0.0;15966000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Engagements financiers de l'État;EB;BG;145.0;Épargne;01;Épargne logement;;;61.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;57560034.0;0.0;57560034.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Solidarité, insertion et égalité des chances;SE;BG;124.0;Conduite et soutien des politiques sanitaires et sociales;12;Affaires immobilières;;;51.0;4.0;56.0;Solidarités, autonomie et personnes handicapées;0.0;13364583.0;0.0;34510417.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Justice;JA;BG;166.0;Justice judiciaire;01;Traitement et jugement des contentieux civils;;;23.0;4.0;10.0;Justice;4748789.0;0.0;4748789.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Administration générale et territoriale de l'État;AB;BG;354.0;Administration territoriale de l'État;03;Contrôle de légalité et conseil aux collectivités territoriales;;;21.0;4.0;9.0;Intérieur et outre-mer;86134093.0;0.0;86134093.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Contrôle de la circulation et du stationnement routiers;YE;CAS;754.0;Contribution à l'équipement des collectivités territoriales pour l'amélioration des transports en commun, de la sécurité et de la circulation routières;01;Contribution à l'équipement des collectivités territoriales pour l'amélioration des transports en commun, de la sécurité et de la circulation routières;;;63.0;4.0;23.0;Transition écologique et cohésion des territoires;0.0;656441463.0;0.0;656441463.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Conseil et contrôle de l'État;CA;BG;126.0;Conseil économique, social et environnemental;05;Fonctions supports à l'institution;;;22.0;4.0;12.0;Services du Premier ministre;1954048.0;0.0;1954048.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Sécurités;SB;BG;152.0;Gendarmerie nationale;04;Commandement, ressources humaines et logistique;01;Commandement, ressources humaines et logistique;51.0;4.0;9.0;Intérieur et outre-mer;0.0;250878685.0;0.0;260707734.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;178.0;Préparation et emploi des forces;03;Préparation des forces navales;05;Ressources humaines des forces navales;51.0;4.0;70.0;Armées;0.0;7181650.0;0.0;6748281.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;146.0;Équipement des forces;07;Commandement et maîtrise de l'information;42;Espace - Renseigner, surveiller, acquérir et reconnaître - ROEM;31.0;4.0;70.0;Armées;0.0;2726000.0;0.0;11572448.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Culture;CB;BG;224.0;Soutien aux politiques du ministère de la culture;06;Action culturelle internationale;;;64.0;4.0;2.0;Culture;0.0;8074895.0;0.0;8074895.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Culture;CB;BG;175.0;Patrimoines;08;Acquisition et enrichissement des collections publiques;;;32.0;4.0;2.0;Culture;0.0;50000.0;0.0;50000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Justice;JA;BG;101.0;Accès au droit et à la justice;02;Développement de l'accès au droit et du réseau judiciaire de proximité;;;31.0;4.0;10.0;Justice;0.0;200000.0;0.0;200000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Enseignement scolaire;EC;BG;141.0;Enseignement scolaire public du second degré;07;Aide à l'insertion professionnelle;;;23.0;4.0;6.0;Éducation nationale et  jeunesse;355849.0;0.0;355849.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Gestion des finances publiques;GA;BG;218.0;Conduite et pilotage des politiques économiques et financières;09;Action sociale ministérielle;;;71.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;336270.0;0.0;336270.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Transformation et fonction publiques;TR;BG;349.0;Transformation publique;04;Renouveau démocratique;;;31.0;4.0;50.0;Transformation et fonction publiques;0.0;100000.0;0.0;100000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Économie;DB;BG;134.0;Développement des entreprises et régulations;13;Régulation des communications électroniques, des postes et de la distribution de la presse (ARCEP);;;21.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;11933466.0;0.0;11933466.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Sécurités;SB;BG;176.0;Police nationale;06;Commandement, ressources humaines et logistique;05;Système d'information et de communication;31.0;4.0;9.0;Intérieur et outre-mer;0.0;84867247.0;0.0;95457574.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;212.0;Soutien de la politique de la défense;54;"Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme ""Préparation et emploi des forces""";02;Organismes interarmées à vocation opérationnelle;23.0;4.0;70.0;Armées;596204.0;0.0;596204.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Économie;DB;BG;134.0;Développement des entreprises et régulations;24;Régulation concurrentielle des marchés, protection économique et sécurité du consommateur;;;31.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;9714646.0;0.0;9761035.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Enseignement scolaire;EC;BG;140.0;Enseignement scolaire public du premier degré;05;Remplacement;;;22.0;4.0;6.0;Éducation nationale et  jeunesse;921851258.0;0.0;921851258.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Gestion des finances publiques;GA;BG;218.0;Conduite et pilotage des politiques économiques et financières;08;Accompagnement du changement de l'action publique;;;31.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;810000.0;0.0;810000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Sport, jeunesse et vie associative;SF;BG;219.0;Sport;04;Promotion des métiers du sport;;;21.0;4.0;42.0;Sports et jeux olympiques et paralympiques;13906212.0;0.0;13906212.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Plan de relance;PR;BG;362.0;Écologie;02;Biodiversité, lutte contre l'artificialisation;;;31.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;0.0;0.0;3619786.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Plan de relance;PR;BG;362.0;Écologie;07;Infrastructures et mobilité vertes;;;64.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;0.0;0.0;367290000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Culture;CB;BG;131.0;Création;06;Soutien à l'emploi et structurations des professions;;;62.0;4.0;2.0;Culture;0.0;56000000.0;0.0;56000000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Recherche et enseignement supérieur;RA;BG;191.0;Recherche duale (civile et militaire);03;Recherche duale dans le domaine aérospatial;;;53.0;4.0;70.0;Armées;0.0;89390795.0;0.0;89390795.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Sécurités;SB;BG;207.0;Sécurité et éducation routières;03;Éducation routière;;;51.0;4.0;9.0;Intérieur et outre-mer;0.0;3922635.0;0.0;3922635.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Sport, jeunesse et vie associative;SF;BG;219.0;Sport;01;Promotion du sport pour le plus grand nombre;;;63.0;4.0;42.0;Sports et jeux olympiques et paralympiques;0.0;909971.0;0.0;909971.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Gestion des finances publiques;GA;BG;302.0;Facilitation et sécurisation des échanges;05;Fiscalité douanière, énergétique et environnementale;;;61.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;6028883.0;0.0;6035807.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Participations financières de l'État;YC;CAS;732.0;Désendettement de l'État et d'établissements publics de l'État;01;Désendettement de l'État ou d'établissements publics de l'État;;;73.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;6586486312.0;0.0;6586486312.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Travail et emploi;TB;BG;155.0;Conception, gestion et évaluation des politiques de l'emploi et du travail;16;Personnels mettant en oeuvre les politiques d'amélioration de la qualité de l'emploi et des relations du travail;;;23.0;4.0;36.0;Travail, plein emploi et insertion;2139199.0;0.0;2139199.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Agriculture, alimentation, forêt et affaires rurales;AC;BG;206.0;Sécurité et qualité sanitaires de l'alimentation;08;Qualité de l'alimentation et offre alimentaire;;;62.0;4.0;3.0;Agriculture et souveraineté alimentaire;0.0;122300.0;0.0;122300.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Direction de l'action du Gouvernement;DC;BG;129.0;Coordination du travail gouvernemental;02;Coordination de la sécurité et de la défense;;;64.0;4.0;12.0;Services du Premier ministre;0.0;3949124.0;0.0;3970504.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Cohésion des territoires;VA;BG;147.0;Politique de la ville;01;Actions territorialisées et Dispositifs spécifiques de la politique de la ville;;;31.0;4.0;23.0;Transition écologique et cohésion des territoires;0.0;1406486.0;0.0;1406486.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Sécurités;SB;BG;207.0;Sécurité et éducation routières;03;Éducation routière;;;31.0;4.0;9.0;Intérieur et outre-mer;0.0;16846077.0;0.0;15951077.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;212.0;Soutien de la politique de la défense;55;"Préparation des forces terrestres - Personnel travaillant pour le programme ""Préparation et emploi des forces""";01;Ressources humaines des forces terrestres;23.0;4.0;70.0;Armées;29182620.0;0.0;29182620.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Administration générale et territoriale de l'État;AB;BG;232.0;Vie politique;03;Commission nationale des comptes de campagne et des financements politiques;;;51.0;4.0;9.0;Intérieur et outre-mer;0.0;390746.0;0.0;472711.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Solidarité, insertion et égalité des chances;SE;BG;124.0;Conduite et soutien des politiques sanitaires et sociales;21;Personnels mettant en œuvre les politiques de la ville, du logement et de l'hébergement;;;21.0;4.0;56.0;Solidarités, autonomie et personnes handicapées;34315816.0;0.0;34315816.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Sécurités;SB;BG;161.0;Sécurité civile;13;Soutien aux acteurs de la sécurité civile;;;63.0;4.0;9.0;Intérieur et outre-mer;0.0;105331919.0;0.0;105331919.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Écologie, développement et mobilité durables;TA;BG;217.0;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;16;Personnels œuvrant pour la politique de la prévention des risques;;;22.0;4.0;23.0;Transition écologique et cohésion des territoires;98245729.0;0.0;98245729.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Enseignement scolaire;EC;BG;143.0;Enseignement technique agricole;02;Mise en oeuvre des enseignements dans les établissements privés;;;23.0;4.0;3.0;Agriculture et souveraineté alimentaire;1439974.0;0.0;1439974.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Conseil et contrôle de l'État;CA;BG;164.0;Cour des comptes et autres juridictions financières;23;Contrôle des gestions publiques;;;21.0;4.0;12.0;Services du Premier ministre;44752298.0;0.0;44752298.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Économie;DB;BG;220.0;Statistiques et études économiques;06;Action régionale;;;23.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;242265.0;0.0;242265.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Justice;JA;BG;310.0;Conduite et pilotage de la politique de la justice;04;Gestion de l'administration centrale;;;51.0;4.0;10.0;Justice;0.0;57174379.0;0.0;14019217.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Plan de relance;PR;BG;362.0;Écologie;06;Mer;;;51.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;0.0;0.0;9834000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Écologie, développement et mobilité durables;TA;BG;205.0;Affaires maritimes, pêche et aquaculture;07;Pêche et aquaculture;;;62.0;4.0;12.0;Services du Premier ministre;0.0;26842431.0;0.0;28187428.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;212.0;Soutien de la politique de la défense;11;Pilotage, soutien et communication;;;32.0;4.0;70.0;Armées;0.0;75513842.0;0.0;75513842.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Écologie, développement et mobilité durables;TA;BG;181.0;Prévention des risques;11;Gestion de l'après-mine et travaux de mise en sécurité, indemnisations et expropriations sur les sites;;;51.0;4.0;23.0;Transition écologique et cohésion des territoires;0.0;866034.0;0.0;866034.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Recherche et enseignement supérieur;RA;BG;192.0;Recherche et enseignement supérieur en matière économique et industrielle;01;Organismes de formation supérieure et de recherche;;;61.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;7365460.0;0.0;7365460.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Avances aux collectivités territoriales;ZC;CCF;833.0;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;02;Avances aux départements sur le produit de la taxe intérieure de consommation sur les produits énergétiques;;;71.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;5102000000.0;0.0;5102000000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Prêts à des États étrangers;ZE;CCF;851.0;Prêts du Trésor à des États étrangers en vue de faciliter la vente de biens et de services concourant au développement du commerce extérieur de la France;01;Prêts à des États étrangers en vue de faciliter la vente de biens et de services concourant au développement du commerce extérieur de la France;;;71.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;1000000000.0;0.0;647512269.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Solidarité, insertion et égalité des chances;SE;BG;124.0;Conduite et soutien des politiques sanitaires et sociales;12;Affaires immobilières;;;31.0;4.0;56.0;Solidarités, autonomie et personnes handicapées;0.0;49211051.0;0.0;61243229.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Travail et emploi;TB;BG;155.0;Conception, gestion et évaluation des politiques de l'emploi et du travail;15;Personnels mettant en oeuvre les politiques d'accompagnement des mutations économiques et développement de l'emploi;;;21.0;4.0;36.0;Travail, plein emploi et insertion;58295708.0;0.0;58295708.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Enseignement scolaire;EC;BG;214.0;Soutien de la politique de l'éducation nationale;10;Transports scolaires;;;63.0;4.0;6.0;Éducation nationale et  jeunesse;0.0;3322845.0;0.0;3322845.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;144.0;Environnement et prospective de la politique de défense;07;Prospective de défense;04;Gestion des moyens et subventions;32.0;4.0;70.0;Armées;0.0;295863156.0;0.0;295863156.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Travail et emploi;TB;BG;111.0;Amélioration de la qualité de l'emploi et des relations du travail;06;Renforcement de la prévention en santé au travail;;;32.0;4.0;36.0;Travail, plein emploi et insertion;0.0;8230000.0;0.0;8230000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;144.0;Environnement et prospective de la politique de défense;07;Prospective de défense;03;Etudes amont;62.0;4.0;70.0;Armées;0.0;45000000.0;0.0;45000000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Culture;CB;BG;361.0;Transmission des savoirs et démocratisation de la culture;01;Soutien aux établissements d'enseignement supérieur et insertion professionnelle;;;61.0;4.0;2.0;Culture;0.0;41355462.0;0.0;41355462.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
