Année PLF;Type de Budget;Code Mission;Mission;Code Programme;Programme;Code Action;Action;Code Sous-Action;Sous-Action;Code Catégorie;Catégorie;AE PLF 2019;CP PLF 2019;Code Titre;Titre;Code Ministère PLF 2019;Ministère PLF 2019
2019;Comptes d'affectation spéciale;YC;Participations financières de l'État;731;Opérations en capital intéressant les participations financières de l'État;1;Augmentations de capital, dotations en fonds propres, avances d'actionnaire et prêts assimilés;;;73;Dépenses de participations financières;7 790 000 000;7 790 000 000;7;Dépenses d’opérations financières;21;Économie et finances
2019;Comptes d'affectation spéciale;YC;Participations financières de l'État;731;Opérations en capital intéressant les participations financières de l'État;3;Achats ou souscriptions de titres, parts ou droits de société;;;73;Dépenses de participations financières;0;0;7;Dépenses d’opérations financières;21;Économie et finances
2019;Comptes d'affectation spéciale;YC;Participations financières de l'État;731;Opérations en capital intéressant les participations financières de l'État;4;Autres investissements financiers de nature patrimoniale;;;73;Dépenses de participations financières;10 000 000;10 000 000;7;Dépenses d’opérations financières;21;Économie et finances
2019;Comptes d'affectation spéciale;YC;Participations financières de l'État;731;Opérations en capital intéressant les participations financières de l'État;5;Prestations de services : commissions bancaires, frais juridiques et frais liés aux opérations de gestion des participations financières de l'État;;;31;Dépenses de fonctionnement autres que celles de personnel;200 000 000;200 000 000;3;Dépenses de fonctionnement;21;Économie et finances
2019;Comptes d'affectation spéciale;YC;Participations financières de l'État;732;Désendettement de l'État et d'établissements publics de l'État;1;Désendettement de l'État ou d'établissements publics de l'État;;;73;Dépenses de participations financières;2 000 000 000;2 000 000 000;7;Dépenses d’opérations financières;21;Économie et finances
2019;Comptes d'affectation spéciale;YD;Pensions;741;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;1;Fonctionnaires civils relevant du code des pensions civiles et militaires de retraite;;;22;Cotisations et contributions sociales;526 000 000;526 000 000;2;Dépenses de personnel;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YD;Pensions;741;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;1;Fonctionnaires civils relevant du code des pensions civiles et militaires de retraite;;;23;Prestations sociales et allocations diverses;44 634 200 000;44 634 200 000;2;Dépenses de personnel;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YD;Pensions;741;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;1;Fonctionnaires civils relevant du code des pensions civiles et militaires de retraite;;;31;Dépenses de fonctionnement autres que celles de personnel;200 000;200 000;3;Dépenses de fonctionnement;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YD;Pensions;741;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;1;Fonctionnaires civils relevant du code des pensions civiles et militaires de retraite;;;61;Transferts aux ménages;300 000;300 000;6;Dépenses d’intervention;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YD;Pensions;741;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;1;Fonctionnaires civils relevant du code des pensions civiles et militaires de retraite;;;64;Transferts aux autres collectivités;1 900 000;1 900 000;6;Dépenses d’intervention;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YD;Pensions;741;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;2;Militaires relevant du code des pensions civiles et militaires de retraite;;;22;Cotisations et contributions sociales;374 000 000;374 000 000;2;Dépenses de personnel;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YD;Pensions;741;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;2;Militaires relevant du code des pensions civiles et militaires de retraite;;;23;Prestations sociales et allocations diverses;9 686 200 000;9 686 200 000;2;Dépenses de personnel;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YD;Pensions;741;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;2;Militaires relevant du code des pensions civiles et militaires de retraite;;;31;Dépenses de fonctionnement autres que celles de personnel;100 000;100 000;3;Dépenses de fonctionnement;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YD;Pensions;741;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;3;Allocations temporaires d'invalidité;;;23;Prestations sociales et allocations diverses;137 350 000;137 350 000;2;Dépenses de personnel;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YD;Pensions;741;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;3;Allocations temporaires d'invalidité;;;31;Dépenses de fonctionnement autres que celles de personnel;50 000;50 000;3;Dépenses de fonctionnement;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YD;Pensions;742;Ouvriers des établissements industriels de l'État;1;Prestations vieillesse et invalidité;;;23;Prestations sociales et allocations diverses;1 870 200 000;1 870 200 000;2;Dépenses de personnel;7;Action et comptes publics
