Type ligne ;Type Budget;code;Mission;Ministere;Libelle;Libelle abrege
PGM;CAS;795;YM;07;Versement de la France à la Grèce au titre de la restitution à cet État des revenus perçus sur les titres grecs;Versement France à Grèce
ACT;CAS;795-01;;;Versement de la France à la Grèce au titre de la restitution à cet État des revenus perçus par la Banque de France sur les titres grecs détenus en compte propre;Versement de la France à 
ACT;CAS;795-02;;;Versement de la France à la Grèce au titre de la restitution à cet État des revenus perçus par la Banque de France sur les titres grecs détenus au titre du portefeuille dit SMP;Versement de la France à 
PGM;CAS;796;YM;07;Rétrocessions de trop-perçus à la Banque de France;Rétroces.Trop-perçus BdF
ACT;CAS;796-01;;;Rétrocessions de trop-perçus à la Banque de France;Rétrocessions de trop-per
MSN;CAS;YC; ;;;ParticipFinancière
PGM;CAS;731;YC;07;Opérations en capital intéressant les participations financières de l'État;OpérCapitalPartFinÉtat
ACT;CAS;731-01;;;Augmentations de capital, dotations en fonds propres, avances d'actionnaire et prêts assimilés;Augmentations de capital,
ACT;CAS;731-03;;;Achats ou souscriptions de titres, parts ou droits de société;Achats ou souscriptions d
ACT;CAS;731-04;;;Autres investissements financiers de nature patrimoniale;Autres investissements fi
ACT;CAS;731-05;;;Prestations de services : commissions bancaires, frais juridiques et frais liés aux opérations de gestion des participations financières de l'État;Prestations de services :
ACT;CAS;731-06;;;Versements au profit du Mécanisme européen de stabilité;Versements au profit du M
PGM;CAS;732;YC;07;Désendettement de l'État et d'établissements publics de l'État;Désendettement de l'État
ACT;CAS;732-01;;;Désendettement de l'État ou d'établissements publics de l'État;Désendettement de l'État 
MSN;CAS;YD; ;;;Pensions
PGM;CAS;741;YD;07;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;PensCivilesMilit&ATI
ACT;CAS;741-01;;;Fonctionnaires civils relevant du code des pensions civiles et militaires de retraite;Pensions civiles
SSA;CAS;741-01-01;;;Pensions hors PTT, la Poste et France-Télécom;Pensions hors PTT, LP, FT
SSA;CAS;741-01-02;;;Pensions PTT avant le 1er janvier 1992;Pensions PTT
SSA;CAS;741-01-03;;;Pensions de la Poste;Pensions de la Poste
SSA;CAS;741-01-04;;;Pensions France-Télécom;Pensions France-Télécom
SSA;CAS;741-01-05;;;Pensions d'anciens fonctionnaires mahorais non intégrés dans la fonction publique d'Etat;Pensions stock Mahorais
SSA;CAS;741-01-06;;;Pensions uniques d'anciens fonctionnaires mahorais intégrés dans la fonction publique d'Etat;Pensions uniques Mahorais
ACT;CAS;741-02;;;Militaires relevant du code des pensions civiles et militaires de retraite;Pensions militaires
ACT;CAS;741-03;;;Allocations temporaires d'invalidité;ATI
SSA;CAS;741-03-01;;;Pensions hors PTT, la Poste et France-Télécom;ATI hors PTT, LP, FT
SSA;CAS;741-03-02;;;Pensions PTT avant le 1er janvier 1992;ATI PTT
SSA;CAS;741-03-03;;;Pensions de la Poste;ATI LP
SSA;CAS;741-03-04;;;Pensions France-Télécom;ATI FT 
PGM;CAS;742;YD;07;Ouvriers des établissements industriels de l'État;OuvriersEtabIndusÉtat
ACT;CAS;742-01;;;Prestations vieillesse et invalidité;Prestations vieillesse et
ACT;CAS;742-03;;;Autres dépenses spécifiques;Autres dépenses spécifiqu
ACT;CAS;742-04;;;Gestion du régime;Gestion du régime
ACT;CAS;742-05;;;Rentes accidents du travail des ouvriers civils des établissements militaires (RATOCEM);Rentes accidents du trava
PGM;CAS;743;YD;07;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;PensMilit&invaVictGuerre
ACT;CAS;743-01;;;Reconnaissance de la Nation;Reconnaissance de la Nati
SSA;CAS;743-01-01;;;Retraite du combattant;Retraite du combattant
SSA;CAS;743-01-02;;;Légion d'honneur;Légion d'honneur
SSA;CAS;743-01-03;;;Médaille militaire;Médaille militaire
ACT;CAS;743-02;;;Réparation;Réparation
SSA;CAS;743-02-01;;;Pensions militaires d'invalidité;PMI
