Type ligne ;Type Budget;code;Mission;Ministere;Libelle;Libelle abrege
SSA;BG;140-03-01;;;Besoins éducatifs particuliers : personnel;Besoins éducatifs particu
SSA;BG;140-03-02;;;Prévention et traitement des difficultés scolaires (hors CPER);Prévention et traitement 
SSA;BG;140-03-03;;;Intégration des primo arrivants (hors CPER);Intégration des primo arr
SSA;BG;140-03-04;;;Scolarisation des élèves malades ou handicapés (hors CPER);Scolarisation des élèves 
SSA;BG;140-03-05;;;Enseignement à l'extérieur de l'école (hors CPER);Enseignement à l'extérieu
ACT;BG;140-04;;;Formation des personnels enseignants;Formation des personnels 
ACT;BG;140-05;;;Remplacement;Remplacement
ACT;BG;140-06;;;Pilotage et encadrement pédagogique;Pilotage et encadrement p
SSA;BG;140-06-01;;;Pilotage et encadrement pédagogique : personnel;Pilotage et encadrement p
SSA;BG;140-06-02;;;Pilotage et encadrement pédagogiques : personnels de direction;Pilotage et encadrement p
SSA;BG;140-06-03;;;Pilotage et encadrement pédagogiques : personnels d'inspection;Pilotage et encadrement p
SSA;BG;140-06-04;;;Pilotage et encadrement pédagogiques : personnels enseignants affectés à l'encadrement pédagogique;Pilotage et encadrement p
ACT;BG;140-07;;;Personnels en situations diverses;Personnels en situations 
SSA;BG;140-07-01;;;Personnels en situations diverses : personnel;Personnels en situations 
SSA;BG;140-07-02;;;Personnels en réadaptation ou en réemploi;Personnels en réadaptatio
SSA;BG;140-07-03;;;Personnels en décharge syndicale;Personnels en décharge sy
SSA;BG;140-07-04;;;Partenariats divers;Partenariats divers
ACT;BG;140-99;;;Dépenses de personnel du programme à reventiler;Dépenses de personnel du 
PGM;BG;141;EC;06;Enseignement scolaire public du second degré;ens. sco. pub. 2nd dg
ACT;BG;141-01;;;Enseignement en collège;Enseignement en collège
ACT;BG;141-02;;;Enseignement général et technologique en lycée;Enseignement général et t
ACT;BG;141-03;;;Enseignement professionnel sous statut scolaire;Enseignement professionne
ACT;BG;141-04;;;Apprentissage;Apprentissage
ACT;BG;141-05;;;Enseignement post-baccalauréat en lycée;Enseignement post-baccala
ACT;BG;141-06;;;Besoins éducatifs particuliers;Besoins éducatifs particu
SSA;BG;141-06-01;;;"Dépenses de personnel concourant à l'action ""besoins éducatifs particuliers""";Dépenses de personnel con
SSA;BG;141-06-02;;;Prévention et traitement des difficultés scolaires;Prévention et traitement 
SSA;BG;141-06-03;;;Intégration des primo arrivants;Intégration des primo arr
SSA;BG;141-06-04;;;Scolarisation des élèves malades ou handicapés;Scolarisation des élèves 
SSA;BG;141-06-05;;;Enseignement à l'extérieur de l'EPLE;Enseignement à l'extérieu
ACT;BG;141-07;;;Aide à l'insertion professionnelle;Aide à l'insertion profes
ACT;BG;141-08;;;Information et orientation;Information et orientatio
ACT;BG;141-09;;;Formation continue des adultes et validation des acquis de l'expérience;Formation continue des ad
SSA;BG;141-09-01;;;"Dépenses de personnel concourant à l'action ""formation continue des adultes en VAE""";Dépenses de personnel con
SSA;BG;141-09-02;;;Formation continue;Formation continue
SSA;BG;141-09-03;;;Validation des acquis de l'expérience (VAE);Validation des acquis de 
ACT;BG;141-10;;;Formation des personnels enseignants et d'orientation;Formation des personnels 
ACT;BG;141-11;;;Remplacement;Remplacement
ACT;BG;141-12;;;Pilotage, administration et encadrement pédagogique;Pilotage, administration 
SSA;BG;141-12-01;;;"Dépenses de personnel concourant à l'action ""pilotage, administration et encadrement pédagogique""";Dépenses de personnel con
SSA;BG;141-12-02;;;Pilotage, administration et encadrement pédagogique : personnel de direction;Pilotage, administration 
SSA;BG;141-12-03;;;Pilotage, administration et encadrement pédagogique : personnel d'inspection;Pilotage, administration 
SSA;BG;141-12-04;;;Pilotage, administration et encadrement pédagogique : personnels enseignants affectés à l'encadrement pédagogique;Pilotage, administration 
SSA;BG;141-12-05;;;Pilotage, administration et encadrement pédagogique : personnels administratifs des EPLE;Pilotage, administration 
ACT;BG;141-13;;;Personnels en situations diverses;Personnels en situations 
SSA;BG;141-13-01;;;"Personnels concourant à l'action ""personnels en situations diverses""";Personnels concourant à l
SSA;BG;141-13-02;;;Personnels en réadaptation ou en réemploi;Personnels en réadaptatio
SSA;BG;141-13-03;;;Personnels en décharges syndicales;Personnels en décharges s
SSA;BG;141-13-04;;;Partenariats divers;Partenariats divers
ACT;BG;141-99;;;Dépenses de personnel du programme à reventiler;Dépenses de personnel du 
PGM;BG;143;EC;03;Enseignement technique agricole;Ens.Techn&agrico.
ACT;BG;143-01;;;Mise en oeuvre de l'enseignement dans les établissements publics;Mise en oeuvre de l'ensei
SSA;BG;143-01-01;;;Personnel permanent - Personnel mis à disposition par le ministère chargé de l'agriculture;Personnel permanent - Per
SSA;BG;143-01-02;;;Personnel permanent - Personnel du ministère chargé de l'équipement au titre de des lycées maritimes;Personnel permanent - Per
SSA;BG;143-01-03;;;Personnel permanent - Charges de pensions des personnels gagés des établissements publics (CFA, CFPPA);Personnel permanent - Cha
SSA;BG;143-01-04;;;Personnel permanent - Personnels titulaires et stagiaires de l'enseignement agricole public;Personnel permanent - Per
SSA;BG;143-01-05;;;Personnel permanent - Personnel de surveillance des établissements - Assistants d'éducation;Personnel permanent - Per
SSA;BG;143-01-08;;;Moyens d'appui et de modernisation du système d'enseignement public - Actions pédagogiques et modernisation de l'appareil de formation (soutien aux opérateurs nationaux);Moyens d'appui et de mode
SSA;BG;143-01-09;;;Moyens d'appui et de modernisation du système d'enseignement public - Lycées agricoles des collectivités d'outre-mer (CPER);Moyens d'appui et de mode
SSA;BG;143-01-10;;;Moyens d'appui et de modernisation du système d'enseignement public - Lycées agricoles des collectivités d'outre-mer (hors CPER);Moyens d'appui et de mode
SSA;BG;143-01-11;;;Moyens d'ajustement (structurels et conjoncturels) - Personnel enseignant;Moyens d'ajustement (stru
SSA;BG;143-01-12;;;Moyens d'ajustement (structurels et conjoncturels) - Personnel non enseignant;Moyens d'ajustement (stru
SSA;BG;143-01-13;;;Réparation des accidents du travail des élèves et étudiants;Réparation des accidents 
SSA;BG;143-01-15;;;Personnel TOS inclus dans le périmètre de décentralisation;Personnel TOS inclus dans
SSA;BG;143-01-16;;;Visite médicale des élèves en stage;Visite médicale des élève
SSA;BG;143-01-17;;;Mise en oeuvre du service partagé des personnels;Mise en oeuvre du service
SSA;BG;143-01-18;;;Personnel - Autres moyens d'ajustement;Personnel - Autres moyens
ACT;BG;143-02;;;Mise en oeuvre des enseignements dans les établissements privés;Mise en oeuvre des enseig
SSA;BG;143-02-01;;;Enseignement agricole privé à temps plein - Personnel - Actions locales;Enseignement agricole pri
SSA;BG;143-02-03;;;Etablissements privés du rythme approprié;Etablissements privés du 
SSA;BG;143-02-04;;;Aides à l'enseignement privé - financement des organisations fédératives, des organismes de formation des personnels et des actions pédagogiques;Aides à l'enseignement pr
SSA;BG;143-02-05;;;Enseignement agricole privé à temps plein - Personnel - Actions nationales;Enseignement agricole pri
SSA;BG;143-02-06;;;Etablissements privés du temps plein;Etablissements privés du 
SSA;BG;143-02-07;;;Enseignement agricole privé à temps plein - hors personnel - subvention forfaitaire;Enseignement agricole pri
ACT;BG;143-03;;;Aide sociale aux élèves (enseignement public et privé);Aide sociale aux élèves (
SSA;BG;143-03-01;;;Bourses et fonds sociaux;Bourses et fonds sociaux
SSA;BG;143-03-02;;;Inclusion scolaire des élèves en situation de handicap;Inclusion scolaire des él
ACT;BG;143-04;;;Évolution des compétences et dynamique territoriale;Évolution des compétences
SSA;BG;143-04-01;;;Apprentissage et formation professionnelle continue- Action nationales;Apprentissage et formatio
SSA;BG;143-04-02;;;Apprentissage et formation professionnelle continue - Actions locales (CPER);Apprentissage et formatio
SSA;BG;143-04-03;;;Apprentissage et formation professionnelle continue - Actions locales (hors CPER);Apprentissage et formatio
SSA;BG;143-04-05;;;Insertion, adaptation pédagogiques, animation et développement rural - Actions nationales - autres actions;Insertion, adaptation péd
SSA;BG;143-04-07;;;Insertion, adaptation pédagogiques, animation et développement rural - Actions locales (hors CPER);Insertion, adaptation péd
SSA;BG;143-04-08;;;Aides à la mobilité internationale (CPER);Aides à la mobilité inter
SSA;BG;143-04-09;;;Aides à la mobilité internationale (hors CPER;Aides à la mobilité inter
SSA;BG;143-04-10;;;Coopération et échanges internationaux - Fonctionnement des réseaux de la coopération et des échanges internationaux;Coopération et échanges i
ACT;BG;143-05;;;Moyens communs à l'enseignement technique agricole, public et privé;Moyens communs à l'enseig
SSA;BG;143-05-01;;;Inspection de l'enseignement agricole;Inspection de l'enseignem
SSA;BG;143-05-02;;;Suivi de l'insertion professionnelle;Suivi de l’insertion prof
SSA;BG;143-05-03;;;Création, rénovation et délivrance des diplômes et titres de l'enseignement agricole - Hors personnel - Actions locales;Création, rénovation et d
SSA;BG;143-05-05;;;Création, rénovation et délivrance des diplômes et titres de l'enseignement agricole - Hors personnel - Actions nationales;Création, rénovation et d
ACT;BG;143-99;;;"Dépenses de personnel du programme ""enseignement technique agricole"" à reventiler";Dépenses de personnel du 
PGM;BG;214;EC;06;Soutien de la politique de l'éducation nationale;SoutienPolitiqueEduc
ACT;BG;214-01;;;Pilotage et mise en oeuvre des politiques éducatives;Pilotage et mise en oeuvr
SSA;BG;214-01-01;;;"Dépenses de personnel concourant à l'action ""pilotage et mise en oeuvre des politiques éducatives""";Dépenses de personnel con
SSA;BG;214-01-02;;;Pilotage et mise en oeuvre des politiques éducatives de l'enseignement scolaire;Pilotage et mise en oeuvr
SSA;BG;214-01-03;;;Pilotage et mise en oeuvre des politiques éducatives de l'enseignement supérieur;Pilotage et mise en oeuvr
ACT;BG;214-02;;;Évaluation et contrôle;Évaluation et contrôle
ACT;BG;214-03;;;Communication;Communication
ACT;BG;214-04;;;Expertise juridique;Expertise juridique
ACT;BG;214-05;;;Action internationale;Action internationale
SSA;BG;214-05-01;;;"Personnel concourant à l'action ""action internationale""";Personnel concourant à l'
SSA;BG;214-05-02;;;Actions financées par l'Etat;Actions financées par l'E
SSA;BG;214-05-03;;;Centre international d'études pédagogiques (CIEP);Centre international d'ét
ACT;BG;214-06;;;Politique des ressources humaines;Politique des ressources 
SSA;BG;214-06-01;;;"Personnel concourant à l'action ""politiques des ressources humaines""";Personnel concourant à l'
SSA;BG;214-06-02;;;Pilotage et gestion des personnels;Pilotage et gestion des p
SSA;BG;214-06-03;;;Recrutement des personnels enseignants;Recrutement des personnel
SSA;BG;214-06-04;;;Recrutement des personnels non enseignants;Recrutement des personnel
SSA;BG;214-06-05;;;Action sociale;Action sociale
SSA;BG;214-06-06;;;Formation des personnels non enseignants;Formation des personnels 
ACT;BG;214-07;;;Établissements d'appui de la politique éducative;Établissements d'appui de
ACT;BG;214-08;;;Logistique, système d'information, immobilier;Logistique, système d'inf
SSA;BG;214-08-01;;;"Personnel concourant à l'action ""logistique, système d'information et immobilier""";Personnel concourant à l'
SSA;BG;214-08-02;;;Logistique et système d'information (hors personnel);Logistique et système d'i
SSA;BG;214-08-03;;;Immobilier (services administratifs);Immobilier (services admi
SSA;BG;214-08-04;;;Immobilier (établissements scolaires);Immobilier (établissement
ACT;BG;214-09;;;Certification;Certification
SSA;BG;214-09-01;;;Personnel;Personnel
SSA;BG;214-09-02;;;Diplôme national du brevet;Diplôme national du breve
SSA;BG;214-09-03;;;Diplômes d'enseignement général et technologique;Diplômes d'enseignement g
SSA;BG;214-09-04;;;Diplômes professionnels;Diplômes professionnels
SSA;BG;214-09-05;;;Examens postbaccalauréat;Examens postbaccalauréat
SSA;BG;214-09-06;;;Dépenses transversales des examens des élèves;Dépenses transversales de
ACT;BG;214-10;;;Transports scolaires;Transports scolaires
ACT;BG;214-11;;;Pilotage et mise œuvre des politiques du sport, de la jeunesse, de l'éducation populaire et de la vie associative;Sport/Jeunesse/EP/VA
ACT;BG;214-99;;;Dépenses de personnel du programme à reventiler;Dépenses de personnel du 
PGM;BG;230;EC;06;Vie de l'élève;Vie de l'élève
ACT;BG;230-01;;;Vie scolaire et éducation à la responsabilité;Vie scolaire et éducation
ACT;BG;230-02;;;Santé scolaire;Santé scolaire
ACT;BG;230-03;;;Inclusion scolaire des élèves en situation de handicap;Inclusion scolaire des él
ACT;BG;230-04;;;Action sociale;Action sociale
SSA;BG;230-04-01;;;"Dépenses de personnel concourant à l'action ""action sociale""";Dépenses de personnel con
SSA;BG;230-04-02;;;Bourses et fonds sociaux;Bourses et fonds sociaux
SSA;BG;230-04-06;;;Services d'action sociale;Services d'action sociale
ACT;BG;230-05;;;Politique de l'internat et établissements à la charge de l'Etat;Politique de l'internat e
ACT;BG;230-06;;;Actions éducatives complémentaires aux enseignements;Actions éducatives complé
ACT;BG;230-07;;;Scolarisation à 3 ans;Scolarisation 3 ans
ACT;BG;230-99;;;Dépenses de personnel concourant au programme;Dépenses de personnel con
MSN;BG;GA; ;;;Gest.financ.publ.
PGM;BG;156;GA;07;Gestion fiscale et financière de l'État et du secteur public local;GestFiscaleFinÉtatSectPub
ACT;BG;156-01;;;Fiscalité des grandes entreprises;Fisc. grande entreprise
ACT;BG;156-02;;;Fiscalité des PME;Fiscalité des PME
SSA;BG;156-02-01;;;Fiscalité des PME (hors remises sur les ventes de timbres);Fisc. PME (hors remises)
SSA;BG;156-02-02;;;Remises sur les ventes de timbres;Remises ventes timbres
ACT;BG;156-03;;;Fiscalité des particuliers et fiscalité directe locale;Fisc. Particuliers & FDL
ACT;BG;156-05;;;Gestion financière de l'État hors fiscalité;Gest. fin Etat hors fisc.
ACT;BG;156-06;;;Gestion des pensions;Gestion des pensions
ACT;BG;156-07;;;Gestion financière du secteur public local hors fiscalité;Gest. fin SPL hors fisc.
ACT;BG;156-08;;;Gestion des fonds déposés;Gestion des fonds déposés
ACT;BG;156-09;;;Soutien;Soutien
ACT;BG;156-10;;;Élaboration de la législation fiscale;Elab Legis fisc
ACT;BG;156-99;;;Dépenses de personnel de la direction générale des finances publiques - à reventiler;Dépenses de personnel de 
PGM;BG;218;GA;07;Conduite et pilotage des politiques économiques et financières;Pilot.ÉcoFina
ACT;BG;218-02;;;Expertise, audit, évaluation et contrôle;Expertise et contrôle
ACT;BG;218-05;;;Prestations d'appui et support;Prestations support
ACT;BG;218-07;;;Pilotage des finances publiques et projets interministériels;Pilotage des finances pub
ACT;BG;218-08;;;Accompagnement du changement de l'action publique;Accompagnement du changem
ACT;BG;218-09;;;Action sociale ministérielle;Action soc. ministé.
SSA;BG;218-09-01;;;Action sociale;Action sociale
SSA;BG;218-09-02;;;Hygiène et sécurité;Hygiène et sécurité
ACT;BG;218-99;;;Personnel du programme à reventiler;Personnel du programme à 
PGM;BG;302;GA;07;Facilitation et sécurisation des échanges;Facil&sécurisEchanges
ACT;BG;302-01;;;Surveillance douanière des flux de personnes et de marchandises et lutte contre la grande fraude douanière.;Surveillance douanière de
ACT;BG;302-03;;;Préservation de la sécurité et de la sûreté de l'espace national et européen;Préservation de la sécuri
ACT;BG;302-04;;;Promotion des échanges internationaux et qualité du dédouanement;Promotion des échanges in
ACT;BG;302-05;;;Fiscalité douanière, énergétique et environnementale;Fiscalité douanière, éner
ACT;BG;302-06;;;Soutien des services opérationnels;Soutien des services opér
ACT;BG;302-08;;;Soutien au réseau des débitants de tabac;débitants tabac soutien
ACT;BG;302-98;;;Personnel du programme à reventiler;Personnel du programme à 
MSN;BG;IA; ;;;ImmigrAsileIntégr
PGM;BG;104;IA;09;Intégration et accès à la nationalité française;Intégr&accNationalFranç
ACT;BG;104-11;;;Accueil des étrangers primo arrivants;accueil étrangers
SSA;BG;104-11-02;;;Accueil des étrangers primo-arrivants - Dépenses sur crédits nationaux;accueil primo-arrivants
SSA;BG;104-11-04;;;Accueil des étrangers primo-arrivants - Dépenses à la charge du fonds européen pour l'intégration (FEI);FEI-Accueil primo-arriv
SSA;BG;104-11-05;;;Accueil des étrangers primo-arrivants - Dépenses à la charge du Fonds européen asile, migration et intégration;FAM-Accueil primo-arriv
ACT;BG;104-12;;;Actions d'intégration des primo-arrivants;intégration étrangers
SSA;BG;104-12-02;;;Actions d'accompagnement des primo-arrivants - Dépenses sur crédits nationaux;intégration immigré AC/SD
SSA;BG;104-12-08;;;Actions d'accompagnement des primo-arrivants. Dépenses à la charge du Fonds européen pour l'intégration (FEI);FEI intégration immigrés
SSA;BG;104-12-14;;;Actions d'accompagnement des étrangers. Dépenses à la charge du Fonds européen asile, migration et intégration (FAMI);FAMI Intégration
ACT;BG;104-14;;;Accès à la nationalité française;nationalité française
ACT;BG;104-15;;;Accompagnement des réfugiés;intégration réfugiés
SSA;BG;104-15-01;;;Centres provisoires d'hébergement des réfugiés;CPH
SSA;BG;104-15-04;;;Aide et accompagnement des réfugiés. Dépenses à la charge du Fonds Européen pour les réfugiés (FER);FER intégration réfugiés
SSA;BG;104-15-12;;;Aide et accompagnement des réfugiés - Dépenses sur crédits nationaux;intégration réfugiés
SSA;BG;104-15-13;;;Aide et accompagnement des réfugiés - dépenses à la charge du Fonds européen asile, migration et intégration (FAMI);FAM intégration réfugiés
ACT;BG;104-16;;;Accompagnement du plan de traitement des foyers de  travailleurs migrants;Accompagnement du plan de
SSA;BG;104-16-01;;;Foyers de travailleurs migrants - Dépenses sur crédits nationaux;FTM
PGM;BG;303;IA;09;Immigration et asile;Immigration et asile
ACT;BG;303-01;;;Circulation des étrangers et politique des visas;circulation visas
ACT;BG;303-02;;;Garantie de l'exercice du droit d'asile;asile
SSA;BG;303-02-01;;;Office français de protection des réfugiés et apatrides (OFPRA);OFPRA
SSA;BG;303-02-03;;;Hébergement d'urgence et accompagnement des demandeurs d'asile;Héberg & accompgt social
SSA;BG;303-02-05;;;Prise en charge financière des demandeurs d'asile;Allocations Asile
SSA;BG;303-02-15;;;Centres d'accueil des demandeurs d'asile;CADA
SSA;BG;303-02-16;;;Fonds européen pour les réfugiés - Dépenses à la charge du fonds;FER asile
SSA;BG;303-02-17;;;Fonds européen asile, migration et intégration - Dépenses à la charge du fonds;FAM asile
SSA;BG;303-02-18;;;Actions spécifiques en faveur des demandeurs d'asile;Actions spé. Asile
ACT;BG;303-03;;;Lutte contre l'immigration irrégulière;immigration
SSA;BG;303-03-02;;;Assistance sanitaire et sociale aux personnes maintenues en rétention administrative ou en zone d'attente : prise en charge sanitaire dans les centres de rétention administrative et zones d'attente aéroportuaires;assistance sanitaire CRA
SSA;BG;303-03-03;;;Assistance sanitaire et sociale aux personnes maintenues en rétention administrative ou en zone d'attente : accompagnement social aux personnes retenues en centre de rétention administrative;Accompgt social CRA
SSA;BG;303-03-04;;;Reconduite à la frontière - Dépenses d'éloignement sur crédits nationaux;reconduite crédits nat
SSA;BG;303-03-06;;;Reconduite à la frontière - Dépenses de fonctionnement des centres de rétention administrative sur crédits nationaux;reconduite fonct CRA nat
SSA;BG;303-03-09;;;Investissement immobilier des centres de rétention administrative - Dépenses sur crédits nationaux;immo CRA credits nat
SSA;BG;303-03-11;;;Mise en oeuvre des accords de coopération policière;coopération policière
SSA;BG;303-03-13;;;Fonds européen asile, migration et intégration   - Dépenses à la charge du fonds;FAM retour
ACT;BG;303-04;;;Soutien;Soutien
SSA;BG;303-04-01;;;Fonctionnement courant de la Direction générale des étrangers en France;fonct DGEF
SSA;BG;303-04-03;;;Soutien informatique de la Direction générale des étrangers en France;SI DGEF
SSA;BG;303-04-04;;;Système d'information concourant aux politiques d'immigration, d'asile et d'intégration;SI politiques DGEF
MSN;BG;AV; ;;;Inv.Avenir
PGM;BG;421;AV;12;Soutien des progrès de l'enseignement et de la recherche;PIA_SoutienProgr.Ens.Rech
ACT;BG;421-01;;;Nouveaux cursus à l'université;Nouveaux cursus à l'unive
ACT;BG;421-02;;;Programmes prioritaires de recherche;Programmes prioritaires d
ACT;BG;421-03;;;Équipements structurants de recherche;Équipements structurants 
ACT;BG;421-04;;;Soutien des grandes universités de recherche;Soutien des grandes unive
ACT;BG;421-05;;;Constitution d'écoles universitaires de recherche;Constitution d'écoles uni
ACT;BG;421-06;;;Créations expérimentales de sociétés universitaires et scientifiques;Créations expérimentales 
ACT;BG;421-07;;;Territoires d'innovation pédagogique;Territoires d'innovation 
PGM;BG;422;AV;12;Valorisation de la recherche;PIA_ValorisationRecherche
ACT;BG;422-01;;;Intégration des SATT, incubateurs et accélérateurs;Intégration des SATT, inc
ACT;BG;422-02;;;"Fonds national post-maturation ""Frontier venture""";Fonds national post-matur
ACT;BG;422-03;;;Démonstrateurs et territoires d'innovation de grande ambition;Démonstrateurs et territo
ACT;BG;422-04;;;Nouveaux écosystèmes d'innovation;Nouveaux écosystèmes d'in
ACT;BG;422-05;;;Accélération du développement des écosystèmes d'innovation performants;Accélération du développe
PGM;BG;423;AV;12;Accélération de la modernisation des entreprises;PIA_Modernis.Entreprises
ACT;BG;423-01;;;Soutien à l'innovation collaborative;Soutien à l'innovation co
ACT;BG;423-02;;;Accompagnement et transformation des filières;Accompagnement et transfo
ACT;BG;423-03;;;Industrie du futur;Industrie du futur
ACT;BG;423-04;;;Adaptation et qualification de la main d'oeuvre;Adaptation et qualificati
ACT;BG;423-05;;;Concours d'innovation;Concours d'innovation
ACT;BG;423-06;;;Fonds national d'amorçage n° 2;Fonds national d'amorçage
ACT;BG;423-07;;;Fonds à l'internationalisation des PME;Fonds à l'internationalis
ACT;BG;423-08;;;"Fonds de fonds ""Multicap Croissance"" n° 2";"Fonds de fonds ""Multicap "
ACT;BG;423-09;;;Grands défis;Grands défis
PGM;BG;424;AV;12;Financement des investissements stratégiques;Fin.inv.stratégiques
ACT;BG;424-01;;;Programmes et équipements prioritaires de recherche;Pgms et equip.prior.rech
ACT;BG;424-02;;;Maturation de technologies, R&D, valorisation de la recherche;Matur.R&D.val rech
ACT;BG;424-03;;;Démonstration en conditions réelles, amorçage et premières commerciales;Démo.amorçage.cond réel
ACT;BG;424-04;;;Soutien au déploiement;Soutien déploiement
ACT;BG;424-05;;;Accélération de la croissance (fonds propres);Accél.croissance
PGM;BG;425;AV;12;Financement structurel des écosystèmes d'innovation;Fin.écosyst.innov
ACT;BG;425-01;;;Financements de l'écosystème ESRI et valorisation;Fin.ecosyt.ESRI
ACT;BG;425-02;;;Aides à l'innovation « bottom-up »;Aides innov.bottum up
MSN;BG;JA; ;;;Justice
PGM;BG;101;JA;10;Accès au droit et à la justice;AccèsDroitJustice
ACT;BG;101-01;;;Aide juridictionnelle;Aide juridictionnelle
SSA;BG;101-01-03;;;Aide à l'intervention en matières juridictionnelle et non juridictionnelle;Aide à l'intervention en 
SSA;BG;101-01-10;;;Protocoles et conventions;Protocoles et conventions
ACT;BG;101-02;;;Développement de l'accès au droit et du réseau judiciaire de proximité;Accès au droit
ACT;BG;101-03;;;Aide aux victimes;Aide aux victimes
ACT;BG;101-04;;;Médiation familiale et espaces de rencontre;MFER
ACT;BG;101-05;;;Indemnisation des avoués;Indemnisation des avoués
PGM;BG;107;JA;10;Administration pénitentiaire;Adm.pénitentiaire
ACT;BG;107-01;;;Garde et contrôle des personnes placées sous main de justice;Garde et contrôle
ACT;BG;107-02;;;Accueil et accompagnement des personnes placées sous main de justice;Accueil et accompagnement
ACT;BG;107-04;;;Soutien et formation;Soutien et formation
ACT;BG;107-99;;;Dépenses de personnel du programme à reventiler;Dépenses de personnel du 
PGM;BG;166;JA;10;Justice judiciaire;Justice judiciaire
ACT;BG;166-01;;;Traitement et jugement des contentieux civils;Action civile
SSA;BG;166-01-01;;;Traitement et jugement des contentieux commerciaux;Affaires commerciales
SSA;BG;166-01-02;;;Traitement et jugement des contentieux sociaux;Affaires sociales
SSA;BG;166-01-03;;;Traitement et jugement des autres contentieux civils;Affaires civiles
SSA;BG;166-01-04;;;"Personnels concourant aux différentes sous-actions de l'action ""traitement et jugement des contentieux civils""";Personnels action civile
ACT;BG;166-02;;;Conduite de la politique pénale et jugement des affaires pénales;Action pénale
SSA;BG;166-02-05;;;"Personnels concourant aux différentes sous-actions de l'action ""conduite de la politique pénale et jugement des affaires pénales""";Personnels action pénale
SSA;BG;166-02-06;;;"Conduite politique pénale, orientation et mise en état des affaires ; exécution des peines";Politique pén exéc peines
SSA;BG;166-02-07;;;"Instruction ; jugement affaires pénales ; application des peines";Instruction-jugement-AP
SSA;BG;166-02-08;;;Frais de justice centraux;Frais de justice centraux
ACT;BG;166-03;;;Cassation;Cassation
ACT;BG;166-05;;;Enregistrement des décisions judiciaires;Casier judiciaire
ACT;BG;166-06;;;Soutien;Soutien
SSA;BG;166-06-01;;;Administration et gestion;Administration et gestion
SSA;BG;166-06-02;;;Gestion immobilière du propriétaire;Immobilier propriétaire
SSA;BG;166-06-06;;;Gestion immobilière de l'occupant;Immobilier occupant
ACT;BG;166-07;;;Formation;Formation
SSA;BG;166-07-01;;;Ecole nationale de la magistrature;ENM
SSA;BG;166-07-02;;;Ecole nationale des greffes;ENG
SSA;BG;166-07-03;;;Formation régionalisée;Formation régionalisée
ACT;BG;166-08;;;Support à l'accès au droit et à la justice;Action accès au droit
SSA;BG;166-08-01;;;Aide juridictionnelle - Personnel;Personnels aide juridict
SSA;BG;166-08-02;;;Accès au droit, réseau judiciaire de proximité et médiation familiale - Personnel;Personnels accès droit
SSA;BG;166-08-03;;;Aide aux victimes - Personnel;Personnels aide victime
ACT;BG;166-99;;;Dépenses de personnel concourant au programme à reventiler;Dépenses de personnel con
PGM;BG;182;JA;10;Protection judiciaire de la jeunesse;Protec.JudiciaireJeunesse
ACT;BG;182-01;;;Mise en oeuvre des décisions judiciaires;Décisions Judiciaires PJJ
SSA;BG;182-01-01;;;Centres éducatifs fermés (CEF) - Secteur public;CEF - SP
SSA;BG;182-01-02;;;Centres éducatifs renforcés (CER) - Secteur public;CER - SP
SSA;BG;182-01-03;;;Hébergement non spécialisé tarification exclusive - secteur associatif habilité;Héberg. exclusif - SAH
SSA;BG;182-01-04;;;Hébergement non spécialisé tarification conjointe - secteur associatif habilité;Héberg. conjoint - SAH
SSA;BG;182-01-05;;;Centres éducatifs fermés (CEF) - Secteur associatif habilité;CEF - SAH
SSA;BG;182-01-06;;;Centres éducatifs renforcés (CER) - Secteur associatif habilité;CER - SAH
SSA;BG;182-01-07;;;Hébergement collectif non spécialisé - Secteur public;Héberg. collectif - SP
SSA;BG;182-01-14;;;Réparations pénales - Secteur associatif habilité;Réparations pénales - SAH
SSA;BG;182-01-16;;;Milieu Fermé - Etablissements pénitentiaires pour mineurs - Secteur public;EPM - SP
SSA;BG;182-01-17;;;Mesures éducatives d'activité de jour - Secteur associatif habilité;Activité de Jour - SAH
SSA;BG;182-01-18;;;Milieu ouvert et investigation - Secteur public;MO et Investigation - SP
SSA;BG;182-01-19;;;Milieu Fermé - Quartiers pour mineurs - Secteur public;QM - SP
SSA;BG;182-01-20;;;Unités d'activité de jour - Secteur public;UEAJ - SP
SSA;BG;182-01-21;;;Hébergement : jeunes majeurs - Secteur associatif habilité;Hébergement PJM - SAH
SSA;BG;182-01-22;;;Action éducative en milieu ouvert jeunes majeurs - Secteur associatif habilité;AEMO Jeunes Majeurs - SAH
SSA;BG;182-01-23;;;Hébergement individualisé - Secteur public;Héb. Individualisé - SP
SSA;BG;182-01-24;;;Placement familial - Secteur public;Placement Familial - SP
SSA;BG;182-01-25;;;Actions éducatives nationales et régionales - Secteur public;Actions éduc AC DIR - SP
SSA;BG;182-01-26;;;Mesures d'investigation judiciaire pénales - Secteur associatif;MJIE pénales - SAH
SSA;BG;182-01-27;;;Mesures d'investigation judiciaire civiles - Secteur associatif;MJIE civiles - SAH
ACT;BG;182-03;;;Soutien;Soutien
SSA;BG;182-03-01;;;Administration centrale, directions inter-régionales et territoriales (hors CPER);AC DIR DT - SP
ACT;BG;182-04;;;Formation;Formation
SSA;BG;182-04-01;;;Ecole nationale de Protection judiciaire de la jeunesse - site central;ENPJJ - Site central
