;;;Dépense fiscale;;
Catégorie;Sous catégorie;Sous sous catégorie;Numéro;Libellé législatif;Information complémentaire
Impôts locaux;Taxe d'habitation;Exonérations compensées par l'Etat;070101;Exonération en faveur des personnes âgées, handicapées ou de condition modeste;Finalité : Aider les personnes âgées, modestes ou handicapées
Impôts locaux;Taxe d'habitation;Dégrèvements à la charge de l'Etat;070201;Dégrèvement d'office en faveur des gestionnaires de foyers et des organismes sans but lucratif agréés pour les logements loués à des personnes défavorisées;Finalité : Aider le secteur immobilier social
Impôts locaux;Taxe d'habitation;Dégrèvements à la charge de l'Etat;070203;Dégrèvement en faveur des personnes de condition modeste relogées dans le cadre d'un projet conventionné au titre du programme ANRU;Finalité : Favoriser l'accès des personnes modestes à la location d'un logement
Impôts locaux;Taxe d'habitation;Dégrèvements à la charge de l'Etat;070204;Dégrèvement de taxe d'habitation en cas de décès du fait d'actes de terrorisme,de la participation à une opération extérieure ou de sécurité intérieure ou dans des circonstances ayant entraîné une citation à l'ordre de la Nation;Finalité : Aider les personnes victimes d’actes terroristes
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;090101;Exonération en faveur de certaines opérations réalisées dans les ZRR;Finalité : Aider certains espaces géographiques (espaces ruraux)
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;090104;Réduction de 25 % des bases imposées en Corse au profit des communes et des EPCI. Suppression des parts départementales et régionales.;Finalité : Aider certains espaces géographiques (Corse)
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;090105;Exonération en faveur des établissements existants ou créés dans les ZFU créées en 1996;Finalité : Aider certains espaces géographiques (espaces urbains)
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;090106;Exonération en faveur des établissements existants ou créés dans les ZFU créées en 2003;Finalité : Aider certains espaces géographiques (espaces urbains)
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;090107;Exonération en faveur des établissements existants au 1er janvier 2006 dans les zones franches urbaines (ZFU) de troisième génération ou créés ou étendus entre le 1er janvier 2006 et le 31 décembre 2014 dans les trois générations de ZFU;Finalité : Aider certains espaces géographiques (espaces urbains)
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;090108;Abattement sur la base nette imposable des établissements situés dans les départements d'outre-mer;Finalité : Aider certains espaces géographiques (Outre-mer)
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;090109;Exonération en faveur des établissements existants au 1er janvier 2015 dans un quartier prioritaire de la politique de la ville (QPV) ou créés ou étendus entre le 1er janvier 2015 et le 31 décembre 2022 dans un QPV;Finalité : Aider certains espaces géographiques (espaces urbains)
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;090110;Exonération en faveur des entreprises dont les établissements vendent au public des écrits périodiques en qualité de mandataires inscrits à la commission du réseau de la diffusion de la presse et revêtent la qualité de diffuseurs de presse spécialistes;Finalité : Aider le secteur de la presse
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;090111;Exonération en faveur des établissements créés entre le 1er janvier 2018 et le 31 décembre 2020 dans un bassin urbain à dynamiser (BUD);Finalité : Aider certains espaces géographiques (urbains)
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;090112;Exonération de la cotisation minimum de CFE des redevables réalisant un très faible chiffre d'affaires;Finalité : Aider les entreprises
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;090113;Exonération de CFE en faveur des établissements créés entre le 1er janvier 2019 et le 31 décembre 2020 dans une zone de développement prioritaire;Finalité : Aider certains espaces géographiques
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;090114;Exonération en faveur des établissements exerçant une activité commerciale dans une zone de revitalisation des commerces en milieu rural (ZoRCoMiR);Finalité : Aider certains espaces géographiques (espaces ruraux)
Impôts locaux;Cotisation foncière des entreprises;Dégrèvements à la charge de l'Etat;090201;Crédit d'impôt pour les micro entreprises implantées en zone de restructuration de la défense;Finalité : Accompagner la politique de redéploiement des armées
Impôt sur le revenu;Déductions et abattements pratiqués sur le revenu global;Déductions;100101;Déduction des versements effectués en vue de la retraite mutualiste du combattant;Finalité : Aider les anciens combattants
Impôt sur le revenu;Déductions et abattements pratiqués sur le revenu global;Déductions;100102;Déduction du revenu global des charges foncières supportées par les propriétaires d’immeubles classés ou inscrits au titre des monuments historiques ou labellisés Fondation du patrimoine et non productifs de revenus;Finalité : Aider les propriétaires à protéger le patrimoine culturel privé
Impôt sur le revenu;Déductions et abattements pratiqués sur le revenu global;Déductions;100105;Déduction des avantages en nature consentis en l'absence d'obligation alimentaire à des personnes âgées de plus de 75 ans, de condition modeste, qui vivent sous le toit du contribuable;Finalité : Aider à la prise en charge familiale des personnes âgées
Impôt sur le revenu;Déductions et abattements pratiqués sur le revenu global;Déductions;100114;Déduction des travaux de grosses réparations supportés par les nus-propriétaires dans le cas de démembrements de propriété consécutifs à une succession ou une donation;Finalité : Aider à l'amélioration du logement
Impôt sur le revenu;Déductions et abattements pratiqués sur le revenu global;Abattements;100201;Abattement en faveur des personnes âgées ou invalides de condition modeste;Finalité : Aider les personnes modestes âgées ou invalides
Impôt sur le revenu;Déductions et abattements pratiqués sur le revenu global;Abattements;100202;Abattement en faveur des contribuables ayant des enfants mariés ou chargés de famille rattachés à leur foyer fiscal;Finalité : Aider les personnes ayant des enfants mariés à charge
Impôt sur le revenu;Calcul de l'impôt;Demi-parts supplémentaires;110102;Demi-part supplémentaire pour les contribuables vivant seuls ayant eu à titre exclusif ou principal, en vivant seuls, la charge d'enfants pendant au moins cinq ans;Finalité : Aider les personnes vivant seules et ayant eu des enfants à charge
Impôt sur le revenu;Calcul de l'impôt;Demi-parts supplémentaires;110103;Demi-part supplémentaire pour les contribuables (et leurs veuves) de plus de 74 ans titulaires de la carte du combattant et, à compter de 2021, pour les veuves de plus de 74 ans des personnes ayant bénéficié de la retraite du combattant;Finalité : Aider les anciens combattants
Impôt sur le revenu;Calcul de l'impôt;Demi-parts supplémentaires;110104;Demi-part supplémentaire pour les contribuables invalides;Finalité : Aider les personnes invalides
Impôt sur le revenu;Calcul de l'impôt;Demi-parts supplémentaires;110107;Maintien du quotient conjugal pour les contribuables veufs ayant des enfants à charge;Finalité : Aider les personnes ayant des enfants à charge et dont le conjoint est décédé
Impôt sur le revenu;Calcul de l'impôt;Demi-parts supplémentaires;110109;Demi-part supplémentaire ou quart de part supplémentaire en cas de résidence alternée, par enfant à charge titulaire de la carte d'invalidité ou part supplémentaire par personne rattachée au foyer fiscal titulaire de la carte d'invalidité;Finalité : Aider les personnes ayant des enfants invalides à charge
Impôt sur le revenu;Calcul de l'impôt;Demi-parts supplémentaires;110110;Demi-part supplémentaire, ou quart de part supplémentaire en cas de résidence alternée des enfants à charge, accordée aux parents isolés;Finalité : Aider les personnes vivant seules et ayant des enfants à charge
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110201;Réduction d'impôt au titre des dons;Finalité : Aider les associations d'intérêt général
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110202;Crédit d'impôt au titre des cotisations versées aux organisations syndicales représentatives de salariés et aux associations professionnelles nationales de militaires;Finalité : Aider les organisations syndicales
