Année;Type de recettes;Code Ligne Recettes;Libellé;Montant Recettes PLF;Montant Recettes LFI
2024.0;Recettes fiscales;1782.0;Taxes sur les stations et liaisons radioélectriques privées;28000000.0;28000000.0
2024.0;Recettes fiscales;1707.0;Contribution de sécurité immobilière;1022000000.0;1022000000.0
2024.0;Recettes non fiscales;2306.0;Produits de la vente de divers services;4788900.0;4788900.0
2024.0;Recettes fiscales;1704.0;Mutations à titre onéreux d'immeubles et droits immobiliers;118000000.0;118000000.0
2024.0;Recettes non fiscales;2611.0;Produits des chancelleries diplomatiques et consulaires;286348100.0;286348100.0
2024.0;Recettes non fiscales;2502.0;Produits des amendes prononcées par les autorités de la concurrence;700000000.0;700000000.0
2024.0;Recettes fiscales;1711.0;Autres conventions et actes civils;528000000.0;528000000.0
2024.0;Recettes non fiscales;2504.0;Recouvrements poursuivis à l'initiative de l'agence judiciaire de l'Etat;8150000.0;8150000.0
2024.0;Recettes fiscales;1787.0;Prélèvement sur le produit brut des paris hippiques;420768064.0;420768064.0
2024.0;Recettes fiscales;1761.0;Taxe et droits de consommation sur les tabacs;67000000.0;67000000.0
2024.0;Prélèvement sur les recettes de l'État au profit de l'Union européenne;3201.0;Prélèvement sur les recettes de l'État au profit du budget de l'Union européenne;21609624014.0;21609624014.0
2024.0;Recettes fiscales;1726.0;Produit de la taxe additionnelle à la taxe sur les certifications d'immatriculation des véhicules;607000000.0;607000000.0
2024.0;Prélèvements sur les recettes de l'État au profit des collectivités territoriales;3113.0;Dotation régionale d'équipement scolaire;661186000.0;661186000.0
2024.0;Recettes non fiscales;2697.0;Recettes accidentelles;347780000.0;347780000.0
2024.0;Recettes fiscales;1411.0;Cotisations perçues au titre de la participation des employeurs à l'effort de construction;34000000.0;34000000.0
2024.0;Recettes non fiscales;2626.0;Remboursement de certaines exonérations de taxe foncière sur les propriétés non bâties (art.109 de la loi de finances pour 1992);3373514.0;3373514.0
2024.0;Recettes non fiscales;2116.0;Produits des participations de l'État dans des entreprises non financières et bénéfices des établissements publics non financiers;1576000000.0;1576000000.0
2024.0;Recettes non fiscales;2625.0;Recettes diverses en provenance de l'étranger;9580000.0;9580000.0
2024.0;Prélèvements sur les recettes de l'État au profit des collectivités territoriales;3145.0;Prélèvement sur les recettes de l'Etat au titre de la compensation de la réduction de 50% des valeurs locatives de TFPB et de CFE des locaux industriels;4016619586.0;4016619586.0
2024.0;Prélèvements sur les recettes de l'État au profit des collectivités territoriales;3138.0;Prélèvement sur les recettes de l'État au titre de la dotation globale d'autonomie de la Polynésie française;90552000.0;90552000.0
2024.0;Recettes fiscales;1723.0;Actes et écrits assujettis au timbre de dimension;0.0;0.0
2024.0;Recettes fiscales;1302.0;Contribution sociale sur les bénéfices des sociétés;1741600000.0;1741600000.0
2024.0;Recettes fiscales;1753.0;Autres taxes intérieures;2159071000.0;2159071000.0
2024.0;Prélèvements sur les recettes de l'État au profit des collectivités territoriales;3103.0;Prélèvement sur les recettes de l'État au titre de la dotation spéciale pour le logement des instituteurs;4753232.0;4753232.0
2024.0;Prélèvements sur les recettes de l'État au profit des collectivités territoriales;3107.0;Prélèvement sur les recettes de l'État au titre de la compensation d'exonérations relatives à la fiscalité locale;664114745.0;664114745.0
2024.0;Recettes fiscales;1413.0;Taxe forfaitaire sur les métaux précieux, les bijoux, les objets d'art, de collection et d'antiquité;123000000.0;123000000.0
2024.0;Recettes fiscales;1431.0;Taxe d’habitation sur les résidences principales;180000000.0;180000000.0
2024.0;Recettes fiscales;1410.0;Cotisation minimale de taxe professionnelle;1000000.0;1000000.0
2024.0;Recettes non fiscales;2615.0;Commissions et frais de trésorerie perçus par l'État dans le cadre de son activité régalienne;0.0;0.0
2024.0;Recettes fiscales;1201.0;Autres impôts directs perçus par voie d'émission de rôles;2398000000.0;2398000000.0
2024.0;Recettes non fiscales;2512.0;Intérêts moratoires;0.0;0.0
2024.0;Recettes non fiscales;2505.0;Produit des autres amendes et condamnations pécuniaires;1229550000.0;1229550000.0
