Nature juridique du bénéficiaire;;;;Rattachement d'un operateur;;Bénéficiaire de la taxe;;Taxe affectée;;;;;;;;;;;Référence juridique;
Secteur;Catégorie d'opérateur ou répartition nature juridique;Catégorie d'opérateur ou nature juridique;Numéro SIREN;Mission;Programme;Code;Libellé;Code;Libellé;Exécution 2020;Plafond 2020;Reversement BG 2020;Exécution 2021;Plafond 2021;Reversement BG 2021;Exécution 2022;Plafond 2022;Reversement BG 2022;Début du plafonnement;Référence juridique
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public local à caractère industriel ou commercial;493901102;;;73;Etablissement public foncier local du Doubs;20;Taxes spéciales d'équipement;9 300 000;;;6 975 000;;;6 975 000;;;;Art. 1607 bis,1607 Ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F du CGI et art. L321-1 et L324-1 du Code de l'urbanisme
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Mutualité sociale agricole;302990445;;;101;CCMSA - non salariés branche vieillesse;109;Cotisation spéciale sur les boissons alcooliques;717 000 000;;;729 189 000;;;727 001 433;;;;Art. L. 245-7 du Code de la sécurité sociale et art. L. 731-3 du Code rural et de la pêche maritime
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime spécial de Sécurité Sociale;784275919;;;98;CNBF - Caisse nationale des barreaux français;98;Contribution équivalente aux droits de plaidoirie;104 000 000;;;119 000 000;;;137 000 000;;;;Art. L. 723-3 du Code de la sécurité sociale
Secteur local;Communes;Commune et commune nouvelle;;;;130;Communes concernées;166;Fraction du Prélèvement sur les mises de jeux de cercle en ligne affectée aux communes dans le ressort territorial desquelles sont ouverts au public un ou plusieurs casinos;10 000 000;;;11 000 000;;;0;;;;Art. 302 bis ZI du CGI et art. 47 de la loi n°2010-476 du 12 mai 2010 relative à l’ouverture à la concurrence et à la régulation du secteur des jeux d’argent et de hasard en ligne
Secteur local;Communes;Commune et commune nouvelle;;;;140;Communes ou EPCI (établissements publics de coopération intercommunale) à fiscalité propre et Départements - part communale;178;Redevances communale et départementale des mines;20 269 590;;;20 269 590;;;20 269 590;;;;Art. 1519 et 1587 du CGI
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public national à caractère industriel ou commercial doté d'un comptable public;510194186;;;77;Etablissement public foncier de Nouvelle-Aquitaine;20;Taxes spéciales d'équipement;35 000 000;35 000 000;0;24 322 000;24 322 000;0;24 322 000;22 161 000;2 161 000;LFR-I 2014 et de la LFI 2015;Art. 1607 bis,1607 Ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F du CGI et art. L321-1 et L324-1 du Code de l'urbanisme
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;130006372;Agriculture, alimentation, forêt et affaires rurales;149 Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;7;ASP - Agence de services et de paiement;10;Taxe sur la cession à titre onéreux des terrains nus ou des droits relatifs à des terrains nus rendus constructibles du fait de leur classement;23 000 000;12 000 000;11 000 000;23 000 000;12 000 000;11 000 000;24 000 000;12 000 000;12 000 000;LFI 2013 et de la LFR-III 2012;Art. 1605 nonies du CGI
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;180046039;Médias, livre et industries culturelles;334 Livre et industries culturelles;107;CNC - Centre national du cinéma et de l'image animée;149;Cotisations (normale et supplémentaire) des entreprises cinématographiques;9 224 857;;;9 150 000;;;9 150 000;;;;Art. L115-14 et L115-15 du Code du cinéma et de l'image animée
Autres bénéficiaires;Autres personnes morales de droit privé;Centre technique industriel ou comité professionnel du développement économique;775649726;;;29;CTC - Comité professionnel de développement Cuir, Chaussure, Maroquinerie;37;Taxe pour le développement des industries du cuir, de la maroquinerie, de la ganterie et de la chaussure;10 869 000;;;10 869 000;;;12 885 000;;;;Art. 71 B de la LFR 2003 modifié par l'art. 44 de la LFI 2005
Secteur local;Intercommunalité;Autre établissement public local de coopération non spécialisé ou entente;;;;159;EPCI concernés - Etablissements publics de coopération intercommunale à fiscalité propre (Communes concernées jusqu'en 2012);219;Fraction du Prélèvement sur les paris hippiques affectée aux EPCI sur le territoire desquelles sont ouverts au public un ou plusieurs hippodromes (affectée jusqu'aux mises 2012 versées en 2013 aux Communes concernées);11 000 000;;;11 000 000;;;0;;;;Art. 302 bis ZG du CGI
Secteur local;Départements;Département;;;;147;Départements (part départementale);194;Droit départemental de passage sur les ouvrages d'art reliant le continent aux îles maritimes;33 279 770;;;33 279 770;;;33 279 770;;;;Art. L.173-3 du Code de la voirie routière et art. L.321-11 du Code de l'environnement
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;180092553;Écologie, développement et mobilité durables;203 Infrastructures et services de transports;18;AFITF - Agence de financement des infrastructures de transport de France;27;Taxe due par les concessionnaires d'autoroutes;458 647 421;557 300 000;0;566 666 667;566 667 000;0;566 667 000;566 667 000;0;LFI 2012;Art 302 bis ZB du CGI
Secteur local;Intercommunalité;Autre établissement public local de coopération non spécialisé ou entente;;;;142;Communes ou EPCI (établissements publics de coopération intercommunale) à fiscalité propre et Départements - part départementale;185;Taxe sur les remontées mécaniques;16 132 358;;;16 132 358;;;16 132 359;;;;Art. L2333-49 à L2333-53 et L3333-4 à L3333-7 du Code général des collectivités territoriales
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;180035032;;;126;"CNAMTS, CNAVTS, CCMSA (non salariés-maladie) en 2016; CNAVTS dès 2017";145;Forfait social;5 428 062 190;;;5 388 000 000;;;5 348 000 000;;;;Art. L. 137-15 à L. 137-17 du Code de la sécurité sociale
Secteur local;Communes;Commune et commune nouvelle;;;;134;Communes de plus de 5.000 hbts;174;Taxe communale additionnelle à certains droits d'enregistrement;2 907 383 655;;;3 401 638 876;;;3 435 655 266;;;;Art. 1584 du CGI
Secteur local;Communes;Commune et commune nouvelle;;;;140;Communes ou EPCI (établissements publics de coopération intercommunale) à fiscalité propre et Départements - part communale;185;Taxe sur les remontées mécaniques;47 938 689;;;47 938 689;;;47 938 690;;;;Art. L2333-49 à L2333-53, L3333-4 à L3333-7 du Code général des collectivités territoriales
Autres bénéficiaires;Associations;Association déclarée;;;;108;FAF - Fonds d'assurance formation des professions concernées;207;PEFPC : Participation au financement de la formation des professions non salariées (à l'exception des artisans et des exploitants agricoles) correspondant à 0,25% du montant annuel du plafond de la sécurité sociale;176 892 756;;;176 892 756;;;176 892 756;;;;Art. L. 6331-48 du Code du travail
Autres bénéficiaires;Associations;Association déclarée;502464787;;;154;Fonds d'assurance formation (FAF) des chefs d'entreprise inscrits au répertoire des métiers, yc FAF régionaux (sauf Alsace);211;Contribution visée au II de l'article 8 de l'ordonnance n° 2003-1213 du 18 décembre 2003;32 507 371;;;32 507 371;;;32 507 371;;;;Art. 1601 B du CGI, modifié par la loi n°2006-1771 du 30 décembre 2006
Autres bénéficiaires;Associations;Association déclarée;;;;173;OPCO;232;"PEFPC : Participation des entreprises de moins de 10 salariés au développement de la formation professionnelle continue [0,55% des rémunérations] (contrats et périodes de professionnalisation - DIF; Plan de formation; hors CIF-CDD)";611 869 257;;;611 869 257;;;611 869 257;;;;Art. L. 6331-2 du Code du travail
Organismes d'administration centrale ;Autres personnes morales de droit public dépendant de l'Etat;Autorité administrative indépendante;130011257;;;39;ACPR - Autorité de contrôle prudentiel et de résolution;49;Contributions pour frais de contrôle;211 000 000;195 000 000;16 000 000;200 000 000;195 000 000;5 000 000;216 226 000;195 000 000;21 226 000;LFI 2014;Art. L612-20 du Code monétaire et financier (créé par l'art.1 de l'ordonnance n°2010-76 du 21 janvier 2010)
Autres bénéficiaires;Associations;Association déclarée;;;;54;Organismes de secours et de sauvetage en mer agréés (art. L742-9 code de la sécurité intérieure);245;Droit de passeport applicable aux grands navires de plaisance;419 487;4 000 000;0;419 487;4 000 000;0;100 000;4 000 000;0;LFR 2017 et LFI 2018;Art. 224 du code des douanes
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public national à caractère industriel ou commercial doté d'un comptable public;421198649;;;52;Etablissement public d'aménagement en Guyane;20;Taxes spéciales d'équipement;4 000 000;4 000 000;0;3 471 000;3 471 000;0;3 471 000;3 405 000;66 000;LFR 2016 et LFI 2017;Article 1609 B du code général des impôts
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;130012024;Agriculture, alimentation, forêt et affaires rurales;206 Sécurité et qualité sanitaires de l'alimentation;1;ANSéS - Agence nationale de sécurité sanitaire, de l'alimentation, de l'environnement et du travail;75;Taxe annuelle relative à l'évaluation et au contrôle de la mise sur le marché des produits phytopharmaceutiques et à leurs adjuvants;14 500 000;15 000 000;0;14 000 000;15 000 000;0;8 800 000;15 000 000;0;LFR 2016 et LFI 2017;Art. 130 de la LFI 2007
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;130003262;Administration générale et territoriale de l'État;354 Administration territoriale de l'État;41;ANTS - Agence nationale des titres sécurisés;53;Droit de timbre pour la délivrance du permis de conduire en cas de perte ou de vol;9 604 450;7 000 000;2 604 450;9 604 450;7 000 000;2 604 450;9 604 000;7 000 000;2 604 000;LFI 2012;Art. 1628 ter du CGI (art. 10 de la loi 2014-891, LFR 2014)
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public local à caractère industriel ou commercial;750412330;;;87;Etablissement public foncier local de Martinique;20;Taxes spéciales d'équipement;4 000 000;;;3 000 000;;;3 000 000;;;;Art. 1607 bis,1607 Ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F du CGI et art. L321-1 et L324-1 du Code de l'urbanisme
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public national à caractère industriel ou commercial doté d'un comptable public;439484593;;;50;"Agence pour la mise en valeur des espaces urbains de la zone dite des "" 50 pas géométriques "" en Guadeloupe";20;Taxes spéciales d'équipement;1 315 000;1 315 000;0;807 000;807 000;0;1 186 000;1 186 000;0;LFR 2015 et de la LFI 2016;Art. 1609 C du CGI
Autres bénéficiaires;Associations;Association déclarée;810158956;;;188;AGFPN - Association de Gestion du Fonds Paritaire National – AGFPN.;264;Contribution patronale au dialogue social (0,016%);98 045 343;;;98 045 343;;;98 045 343;;;;Art. L2135-9 à L2135-18 du code du travail
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public local à caractère industriel ou commercial;507679033;;;81;Etablissement public foncier local Alsace (ex du Bas Rhin);20;Taxes spéciales d'équipement;8 400 000;;;6 300 000;;;6 300 000;;;;Art. 1607 bis,1607 Ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F du CGI et art. L321-1 et L324-1 du Code de l'urbanisme
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;130006372;Agriculture, alimentation, forêt et affaires rurales;149 Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;7;ASP - Agence de services et de paiement;11;Indemnité de défrichement;4 000 000;2 000 000;2 000 000;4 000 000;2 000 000;2 000 000;3 000 000;2 000 000;1 000 000;LFR-I 2014 et de la LFI 2015;Art. L. 341-6 du Code forestier
Secteur local;Intercommunalité;Autre établissement public local de coopération non spécialisé ou entente;;;;132;Offices de l'eau (dans les DOM);171;Redevances pour prélèvement sur la ressource en eau, pour pollution de l'eau, pour modernisation des réseaux de collecte, pour pollutions diffuses, pour stockage d'eau en période d'étiage, pour obstacle sur les cours d'eau et pour protection du milieu aquatique dans les DOM;28 000 000;;;28 000 000;;;28 000 000;;;;Art L213-13 et L213-14 (§ II) du Code de l'environnement
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;180067027;Cohésion des territoires;135 Urbanisme, territoires et amélioration de l'habitat;47;ANAH - Agence nationale de l'habitat;251;"Recettes issues de la mise aux enchères des ""quotas carbone""";708 000 000;420 000 000;288 000 000;708 000 000;420 000 000;288 000 000;1 428 000 000;481 000 000;947 000 000;LFI 2019;Article L. 229-8 du code de l'environnement
Secteur local;Intercommunalité;Autre établissement public local de coopération non spécialisé ou entente;;;;137;Communes ou EPCI (établissements publics de coopération intercommunale à fiscalité propre) - part intercommunale;176;Prélèvement progressif sur le produit des jeux dans les casinos au profit des communes;1 000 000;;;1 500 000;;;1 500 000;;;;Art. L.2333-54 à L.2333-57 du Code général des collectivités territoriales
Secteur local;Intercommunalité;Autre établissement public local de coopération non spécialisé ou entente;;;;137;Communes ou EPCI (établissements publics de coopération intercommunale à fiscalité propre) - part intercommunale;183;Taxe de séjour, taxe de séjour forfaitaire;387 151 016;;;387 151 016;;;387 151 016;;;;Art. L2333-26 à L2333-46 du Code général des collectivités territoriales
Autres bénéficiaires;Autres personnes morales de droit privé;Centre technique industriel ou comité professionnel du développement économique;;;;33;Centres techniques industriels de la plasturgie et des composites;43;Taxe affectée au financement d’un nouveau Centre Technique Industriel de la plasturgie et des composites;4 800 000;;;5 200 000;;;6 400 000;;;;I de l'art. 71 de la LFR 2003
Organismes d'administration centrale ;Opérateurs État;Autre établissement public national administratif à compétence territoriale limitée;186901559;Écologie, développement et mobilité durables;113 Paysages, eau et biodiversité;24;Agences de l'eau;32;Redevance pour obstacle sur les cours d’eau, redevance pour stockage d’eau en période d’étiage, redevance pour la protection du milieu aquatique, redevance pour pollutions diffuses, redevances pour prélèvement sur la ressource en eau, redevances pour pollution de l’eau, redevances pour modernisation des réseaux de collecte, redevances cynégétiques, droit de validation du permis de chasse;2 149 107 365;2 156 620 000;0;2 215 620 000;2 197 620 000;18 000 000;2 197 620 000;2 197 620 000;0;LFR 2015 et de la LFI 2016;Art. L213-10, L213-10-8 et L213-10-10 à L213-10-12 du Code de l’environnement
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;180046039;Médias, livre et industries culturelles;334 Livre et industries culturelles;107;CNC - Centre national du cinéma et de l'image animée;150;TSA - Taxe sur le prix des entrées aux séances organisées par les exploitants d’établissements de spectacles cinématographiques;59 980 000;;;55 800 000;;;147 700 000;;;;Art. L115-1 à L115-5 du Code du cinéma et de l’image animée
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;180035065;;;111;CNAF;124;Contributions patronales et salariales sur les attributions d’options (stock-options) de souscription ou d’achat des actions et sur les attributions gratuites;764 000 000;;;810 000 000;;;810 000 000;;;;Art. L. 137-13 et L. 137-14 du Code de la sécurité sociale
Secteur local;Intercommunalité;Autre établissement public local de coopération non spécialisé ou entente;;;;143;Communes et EPCI (établissements publics de coopération intercommunale) situés dans un rayon maximal autour de l'accès principal aux installations de stockage;179;"TA-TINB - Taxe additionnelle à la taxe sur les installations nucléaires de base dite ""de stockage""";3 300 000;;;3 300 000;;;3 300 000;;;;Art. 2 de la LFI 2010
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère industriel ou commercial non doté d'un comptable public;390199669;Écologie, développement et mobilité durables;174 Énergie, climat et après-mines;21;ANDRA - Agence nationale pour la gestion des déchets radioactifs;86;Contribution spéciale pour la gestion des déchets radioactifs - Conception;148 660 000;;;148 660 000;;;80 700 000;;;;Art. 58 de la LFR 2013
Autres bénéficiaires;Associations;Association déclarée;401415500;;;191;France Galop et la société d’encouragement à l’élevage du cheval français (SECF);269;Redevances sur les paris hippiques;72 679 000;;;60 266 484;;;60 266 484;;;;Art. 1609 Tertricies du CGI
Secteur local;Départements;Département;;;;147;Départements (part départementale);193;Taxe additionnelle départementale à la taxe de séjour;23 507 233;;;23 507 233;;;23 507 234;;;;Art. L3333-1 du Code général des collectivités territoriales
Autres bénéficiaires;Autres personnes morales de droit privé;Autre personne morale de droit privé;377789060;;;151;FGTI - Fonds de garantie des victimes d'actes terroristes et autres infractions;209;Prélèvement sur les contrats d'assurance de biens;567 800 000;;;575 800 000;;;0;;;;Art. L. 422-1, R 422-4 et A. 422-1 du Code des assurances
Secteur local;Régions;Région;;;;156;Régions;213;Taxe sur les permis de conduire;2 829 740;;;2 829 740;;;2 829 740;;;;Art. 1599 terdecies du CGI
Autres bénéficiaires;Autres personnes morales de droit privé;Autre personne morale de droit privé;440656247;;;148;VIVEA - Fonds pour la formation des entrepreneurs du vivant;1;PEFPC : Participation au financement de la formation des professions non salariées (Entreprises du Vivant, agriculture) correspondant à 0,15% du montant annuel du plafond de la SS;62 442 299;;;62 442 299;;;62 442 299;;;;Art. L. 6331-53 du Code du travail (agrément conjoint travail et peche)
Secteur local;Intercommunalité;Autre établissement public local de coopération non spécialisé ou entente;;;;95;Autorités organisatrices des transports urbains;94;Versement transport dû par les entreprises de plus de 9 salariés implantées en province;Inexistant en 2020;;;Inexistant en 2021;;;Inexistant en 2022;;;;Art L2333-64 du Code général des collectivités territoriales
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Mutualité sociale agricole;302990445;;;102;CCMSA (non salariés-maladie);117;Taxe sur les boissons sucrées;395 000 000;;;406 850 000;;;409 291 100;;;;Art. 1613 ter du CGI
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;180092272;Cohésion des territoires;135 Urbanisme, territoires et amélioration de l'habitat;110;CGLLS - Caisse de garantie du logement locatif social;121;Cotisation versée par les organismes HLM et les SEM;384 000 000;;;384 000 000;;;384 000 000;;;;Art. L452-4 du Code de la construction et de l'habitation
Autres bénéficiaires;Autres personnes morales de droit privé;Safer anonyme à directoire;623820602;;;60;Etablissement public foncier de Normandie;20;Taxes spéciales d'équipement;11 750 000;11 750 000;0;10 479 000;10 479 000;0;10 479 000;9 823 000;656 000;LFR-I 2014 et de la LFI 2015;Art. 1607 bis,1607 Ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F du CGI et art. L321-1 et L324-1 du Code de l'urbanisme
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;130002702;Agriculture, alimentation, forêt et affaires rurales;149 Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;2;INAO - Institut national de l'origine et de la qualité;3;Droit sur les produits bénéficiant d'une appellation d'origine ou d'une indication géographique protégée (INAO);6 550 000;7 500 000;0;7 000 000;7 500 000;0;7 000 000;7 500 000;0;LFI 2012;Art. L642-13 du Code rural et de la pêche maritime
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;180046039;Médias, livre et industries culturelles;334 Livre et industries culturelles;107;CNC - Centre national du cinéma et de l'image animée;151;TST - Taxe sur les éditeurs et distributeurs de services de télévision - Fraction Editeurs;233 400 000;;;238 900 000;;;239 200 000;;;;Art. L115-6 à L115-13 du Code du cinéma et de l’image animée
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;180035024;;;99;CNAMTS;106;Taxe sur les premières ventes de dispositifs médicaux;42 127 916;;;Inexistant en 2021;;;Inexistant en 2022;;;;Art. L. 245-5-5-1 du Code de la sécurité sociale
Secteur local;Intercommunalité;Autre établissement public local de coopération non spécialisé ou entente;;;;149;Personnes publiques ou privées exploitant des aérodromes dont le trafic embarqué ou débarqué s'élève au cours de la dernière année civile connue à plus de 5000 unités de trafic (UDT);201;Taxe d'aéroport;385 416 737;;;453 000 000;;;725 000 000;;;;Art. 1609 quatervicies du CGI
Autres bénéficiaires;Associations;Association déclarée;;;;173;OPCO;257;PEFPC : Participation au financement de la formation des professions non salariées (Particuliers employeurs) correspondant au minimum à 0,15% au du montant annuel du plafond de la SS;15 273 593;;;15 273 593;;;15 273 593;;;;Art. L. 6331-57 du code du travail et suivant
Autres bénéficiaires;Associations;Association déclarée;;;;174;Personne publique assurant la gestion de l'espace naturel protégé concerné ou la commune d'implantation de l'espace naturel protégé;234;Taxe sur les passagers maritimes embarqués à destination d'espaces naturels protégés;3 600 000;;;3 600 000;;;3 600 000;;;;"Art. 285 quater du Code des douanes; décret n°96-25 du 1er janvier 1996 (modalités); art. D321-15 du Code de l'environnement (liste des sites); arrêtés du 20 août 1996 (tarif et modalités)"
Secteur local;Régions;Région;;;;177;Régions de la Guadeloupe, de la Martinique, de la Guyane et de la Réunion;238;Taxe spéciale de consommation sur les carburants;501 916 762;;;501 916 762;;;501 916 762;;;;Art. 266 quater du Code des douanes
Autres bénéficiaires;Associations;Association déclarée;;;;108;FAF - Fonds d'assurance formation des professions concernées;256;PEFPC : Participation au financement de la formation des professions non salariées (à l'exception des artisans et des exploitants agricoles et des contributions spéciales) correspondant à 0,15% du montant annuel du plafond de la sécurité sociale;176 892 756;;;176 892 756;;;176 892 756;;;;Art. L. 6331-48 du Code du travail
Secteur local;Communes;Commune et commune nouvelle;;;;129;Communes;164;Taxes dans le domaine funéraire;6 668 781;;;6 668 781;;;6 668 782;;;;Art. L.2223-22 du Code général des collectivités territoriales
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;130024565;Travail et emploi;103 Accompagnement des mutations économiques et développement de l'emploi;189;France Compétences;265;Contribution unique à la formation professionnelle et à l'alternance;7 985 500 422;9 475 409 000;0;8 480 601 448;9 475 409 000;0;8 997 918 137;9 475 409 000;0;LFI 2020;L.6131-2 du Code du travail
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;;;;116;"CCMSA (non salariés-maladie, non salariés-RCO et salariés), CNAMTS, CNAF, autres régimes de sécurité sociale, CNSA, FCAATA, Fonds CMU-C jusqu'en 2016; CNAMTS et RAVGDT en 2017";134;Droits de consommation sur les tabacs;14 443 879 015;;;14 175 000 000;;;13 678 875 000;;;;Art. L. 575 du CGI, art. L. 131-8 du Code de la sécurité sociale et art. 17 de la LFSS 2014
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;180035032;;;126;"CNAMTS, CNAVTS, CCMSA (non salariés-maladie) en 2016; CNAVTS dès 2017";140;Redevance due par les titulaires de titres d'exploitation de mines d'hydrocarbures liquides ou gazeux;2 972 658;;;2 972 658;;;2 972 658;;;;Art. L. 132-16 du Code minier
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public local à caractère industriel ou commercial;444704977;;;65;Etablissement public foncier local de la Réunion;20;Taxes spéciales d'équipement;12 600 000;;;9 450 000;;;9 450 000;;;;Art. 1607 bis,1607 Ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F du CGI et art. L321-1 et L324-1 du Code de l'urbanisme
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;130017791;Écologie, développement et mobilité durables;203 Infrastructures et services de transports;13;VNF - Voies navigables de France;268;Redevance hydraulique;127 500 000;127 500 000;0;127 500 000;127 500 000;0;127 500 000;127 500 000;0;LFI 2020;1° art. L.4316-1 du Code des transports
Autres bénéficiaires;Autres personnes morales de droit privé;Société à responsabilité limitée (sans autre indication);;;;190;Filière de responsabilité élargie du producteur (REP) relative aux navires de plaisance et de sport hors d’usage (NPSHU);31;Droit de francisation et de navigation (DAFN);900 000;;;900 000;;;900 000;;;;L.541-10-10 du Code de l'environnement
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public national à caractère industriel ou commercial doté d'un comptable public;514185792;;;79;Etablissement public foncier de Bretagne;20;Taxes spéciales d'équipement;17 300 000;17 300 000;0;10 893 000;10 893 000;0;10 893 000;7 751 000;3 142 000;LFR-I 2014 et de la LFI 2015;Art. 1607 bis,1607 Ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F du CGI et art. L321-1 et L324-1 du Code de l'urbanisme
Secteur local;Régions;Région;;;;177;Régions de la Guadeloupe, de la Martinique, de la Guyane et de la Réunion;240;Droits assimilés au droit d'octroi de mer sur les rhums et spiritueux à base d'alcool de cru;3 502 154;;;3 502 154;;;3 502 154;;;;Art. L 4434-1 du Code général des collectivités territoriales et lois n° 63-778 du 31/07/63 et n° 72-1147 du 23/12/72
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;180035024;;;99;CNAMTS;101;Contribution due par les laboratoires et les grossistes répartiteurs sur les ventes en gros aux officines pharmaceutiques;268 964 841;;;260 482 028;;;235 691 669;;;;Art. L. 138-1 à L. 138-9-1 du Code de la sécurité sociale
Autres bénéficiaires;Associations;Association déclarée;;;;173;OPCO;259;PEFPC : Participation au financement de la formation des intermittents correspondant au minimum à 2% des rémunérations versées;30 245 830;;;30 245 830;;;30 245 830;;;;Art. L. 6331-55 du code du travail et suivant
Secteur local;Départements;Département;;;;204;Départements et métropole de Lyon;181;Taxe départementale sur la consommation finale d'électricité (TCFE);676 945 214;;;676 945 214;;;676 945 215;;;;Art. L3333-2 et suivants du Code général des collectivités territoriales dans leur rédaction en vigueur à/c du 1er janvier 2011 (modifiés par le II de l'art. 23 de la loi n° 2010-1488 portant nouvelle organisation du marché de l'électricité)
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;;;;158;"CNAVTS, CNAF, FSV, CNAMTS en 2016; CNAVTS, CNAF, CNAMTS dès 2017";218;Taxe sur les salaires;14 465 061 341;;;15 400 000 000;;;15 692 600 000;;;;Art. 231 du CGI et art. L131-8 du Code de la sécurité sociale
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;180035024;;;99;CNAMTS;107;Taxe sur les premières ventes de médicaments et produits de santé;0;;;Inexistant en 2021;;;Inexistant en 2022;;;;Art. 1600-0 N du CGI
Secteur social ;Organisme mutualiste;Assurance mutuelle agricole;;;;45;CAAA - Caisses d'assurances d'accidents agricoles d'Alsace-Moselle;95;Cotisation au profit des caisses d’assurances d’accidents agricoles d’Alsace-Moselle;2 000 000;;;0;;;2 000 000;;;;-
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public local à caractère industriel ou commercial;498408392;;;183;Etablissement public foncier local du département de l'Oise;20;Taxes spéciales d'équipement;7 300 000;;;5 475 000;;;5 475 000;;;;Art. 1607 bis,1607 Ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F du CGI et art. L321-1 et L324-1 du Code de l'urbanisme
Secteur local;Régions;Région;;;;177;Régions de la Guadeloupe, de la Martinique, de la Guyane et de la Réunion;239;Taxe due par les entreprises de transport public aérien et maritime sur les passagers embarqués;25 045 483;;;25 045 483;;;25 045 483;;;;Art. 285 ter du Code des douanes
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;180035024;;;99;CNAMTS;133;Fraction de Taxe de solidarité additionnelle (TSA);2 654 000 000;;;5 502 794 754;;;5 667 878 597;;;;Art. L. 862-4 du Code de la sécurité sociale
Secteur local;Intercommunalité;Autre établissement public local de coopération non spécialisé ou entente;;;;135;Communes ou EPCI (établissements publics de coopération intercommunale) à fiscalité propre;175;Participation pour non réalisation d'aires de stationnement;283 570;;;283 570;;;283 571;;;;Art. L.123-1-2 et L.332-7-1 du Code de l'urbanisme
Secteur local;Communes;Commune et commune nouvelle;;;;141;Communes ou EPCI (établissements publics de coopération intercommunale) à fiscalité propre et Départements - part intercommunale;185;Taxe sur les remontées mécaniques;744 068;;;744 068;;;744 069;;;;Art. L2333-49 à L2333-53, L3333-4 à L3333-7 du Code général des collectivités territoriales
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;180035065;;;111;CNAF;136;Contribution sociale généralisée (CSG);11 646 000 000;;;12 337 000 000;;;12 724 000 000;;;;Art L136-1 à L136-8 du Code de la sécurité sociale et art. 1600-0-C et 1600-0-D du CGI
Autres bénéficiaires;Associations;Association déclarée;;;;173;OPCO;120;Contribution supplémentaire à l'apprentissage;275 772 000;;;292 869 864;;;310 734 926;;;;Article L.6242-1 CT (créé par l'ordonnance n°2021-797 du 23 juin 2021)
