Type ligne ;Type Budget;code;Mission;Ministere;Libelle;Libelle abrege;commentFP
ACT;BG;216-08;;;Immigration, asile et intégration;Immigration, asile et int;
SSA;BG;216-08-01;;;Direction générale des étrangers en France;Direction générale des ét;
ACT;BG;216-09;;;Sécurité et éducation routières;Sécurité et éducation rou;
SSA;BG;216-09-01;;;Délégation à la sécurité routière;DSR;
ACT;BG;216-10;;;Fonds interministériel de prévention de la délinquance;Fonds interministériel de;
SSA;BG;216-10-01;;;Actions en faveur des jeunes;Actions en faveur des jeu;
SSA;BG;216-10-02;;;Prévention des violences faites aux femmes, des violences intrafamiliales et l'aide aux victimes;Prévention des violences ;
SSA;BG;216-10-03;;;Actions pour améliorer la tranquillité publique;Actions pour améliorer la;
SSA;BG;216-10-04;;;Prévention de la radicalisation;Prévention de la radicali;
SSA;BG;216-10-05;;;Actions de sécurisation;Actions de sécurisation;
ACT;BG;216-99;;;Dépenses de personnel du programme à reventiler;Dépenses de personnel du ;
PGM;BG;232;AB;09;Vie politique;ViePol.Culte&Ass.;Le ministère de l’intérieur garantit l’exercice des droits des citoyens dans le domaine des élections. Les crédits nécessaires sont portés par le programme « Vie politique ». Le ministère qui s’attache à organiser les scrutins au meilleur coût, participe également à la transparence du financement de la vie politique. Il établit et verse l’aide publique aux partis politiques. La Commission nationale des comptes de campagne et des financements politiques, autorité administrative indépendante, contrôle le respect par les candidats aux élections et les partis politiques des dispositions relatives à la transparence financière de la vie politique.
ACT;BG;232-01;;;Financement des partis;Financement des partis;
ACT;BG;232-02;;;Organisation des élections;Organisation des élection;
SSA;BG;232-02-01;;;Elections présidentielles;Elections présidentielles;
SSA;BG;232-02-02;;;Elections législatives générales;Elections législatives gé;
SSA;BG;232-02-03;;;Elections des représentants au Parlement européen;Elections des représentan;
SSA;BG;232-02-04;;;Elections sénatoriales générales;Elections sénatoriales gé;
SSA;BG;232-02-05;;;Elections départementales générales;Elections départementales;
SSA;BG;232-02-06;;;Elections municipales générales;Elections municipales gén;
SSA;BG;232-02-07;;;Référendums;Référendums;
SSA;BG;232-02-09;;;Elections régionales générales et assemblée de Corse;Elections régionales géné;
SSA;BG;232-02-10;;;Elections partielles (législatives, sénatoriales, départementales, municipales, régionales, territoriales et provinciales);Elections partielles (lég;
SSA;BG;232-02-11;;;Elections : dépenses communes;Elections : dépenses comm;
SSA;BG;232-02-13;;;Elections territoriales en outre-mer;Elections territoriales e;
ACT;BG;232-03;;;Commission nationale des comptes de campagne et des financements politiques;Commission nationale des ;
ACT;BG;232-99;;;Dépenses de personnel du programme à reventiler;Dépenses de personnel du ;
PGM;BG;354;AB;09;Administration territoriale de l'État;Adm terr État;"Le programme 354 « Administration territoriale de l’État » regroupe l'ensemble des moyens permettant aux services déconcentrés de fonctionner. Ce programme vise à renforcer la mutualisation des moyens et le développement de la modularité des organisations et offre pour ce faire un cadre budgétaire unique pour l’État territorial. Pour l’exercice 2022, la stratégie du programme reposera sur trois priorités : mettre en œuvre les engagements du comité interministériel de la transformation publique, qui fait des services déconcentrés les garants de la cohérence de l’action de l’État au profit des territoires ; stabiliser la nouvelle organisation des services territoriaux dans une perspective de plus grande efficience de leur fonctionnement ; co-construire une vision stratégique de l’administration territoriale de l’État à l’horizon 2025. La démarche « missions prioritaires des préfectures 2022-2025 » se poursuivra en 2022 afin de poser le nouveau cadre d'action des préfectures pour les quatre prochaines années."
ACT;BG;354-01;;;Coordination de la sécurité des personnes et des biens;Coordination de la sécuri;
ACT;BG;354-02;;;Réglementation générale, garantie de l'identité et de la nationalité et délivrance des titres;Réglementation générale, ;
ACT;BG;354-03;;;Contrôle de légalité et conseil aux collectivités territoriales;Contrôle de légalité et c;
ACT;BG;354-04;;;Pilotage territorial des politiques gouvernementales;Pilotage territorial des ;
ACT;BG;354-05;;;Fonctionnement courant de l'administration territoriale;Fonctionnement courant de;
ACT;BG;354-06;;;Dépenses immobilières de l'administration territoriale;Dép immo ATE;
ACT;BG;354-99;;;Dépenses de personnel du programme à reventiler;Dépenses de personnel du ;
MSN;BG;AC; ;;Agriculture, alimentation, forêt et affaires rurales;Agriculture;Le budget de la mission « Agriculture, Agroalimentaire, Forêt et Affaires rurales » (AAFAR) est centré sur les missions essentielles de l’État au service de l’économie et du développement durable de l’agriculture, de la forêt et de la pêche d’une part, de la sécurité et de la qualité sanitaires de l’alimentation d’autre part. Il conforte l’ensemble des politiques du ministère et s’articulera avec les crédits du Plan de relance, répondant ainsi aux besoins de soutien et de relance des filières agricoles, agroalimentaires, forestière, de la pêche et de l’aquaculture et aux nouvelles aspirations de la société. Enfin, en raison des nombreux aléas qui pèsent sur la conjoncture agricole et agroalimentaire, le budget de la mission AAFAR comporte des dotations permettant de faire face à des crises de natures diverses (économiques, sanitaires ou climatiques).
PGM;BG;149;AC;03;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;AgricAgroalForetPecheAqua;Les politiques de soutien à la compétitivité et à la durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture portées par le programme 149 reposent principalement sur la Politique agricole commune (PAC) et sur la Politique commune des pêches (PCP), via les cofinancements nationaux de deux fonds européens, le FEADER et le FEAMP. Elles contribuent à améliorer la réponse de ses acteurs aux attentes du consommateur et du citoyen et de favoriser la création de valeur et sa répartition équilibrée tout en répondant aux enjeux environnementaux. Enfin, le programme 149 porte un grand nombre de dispositifs de crises en réponse aux aléas sanitaires, économiques et climatiques.
ACT;BG;149-21;;;Adaptation des filières à l'évolution des marchés;Adaptation des filières à;
SSA;BG;149-21-02;;;Emploi et innovation dans les industries agroalimentaires;Emploi et innovation dans;
SSA;BG;149-21-03;;;Soutien à la production de sucre dans les départements d'outre-mer;Soutien à la production d;
SSA;BG;149-21-04;;;Actions internationales;Actions internationales;
SSA;BG;149-21-06;;;Fonds avenir bio;Fonds avenir bio;
SSA;BG;149-21-08;;;Intervention en faveur des filières agroalimentaires;Intervention en faveur de;
SSA;BG;149-21-09;;;Autres actions d'adaptation des filières à l'évolution des marchés;Autres actions d'adaptati;
ACT;BG;149-22;;;Gestion des crises et des aléas de la production agricole;Gestion des crises et des;
SSA;BG;149-22-01;;;Aides conjoncturelle;Aides conjoncturelle;
SSA;BG;149-22-02;;;Prêts de crise;Prêts de crise;
SSA;BG;149-22-04;;;Aides en faveur du redressement des exploitations en difficulté (AGRIDIFF);Aides en faveur du redres;
SSA;BG;149-22-05;;;Fonds national de gestion des risques en agriculture;Fonds national de gestion;
ACT;BG;149-23;;;Appui au renouvellement et à la modernisation des exploitations agricoles;Appui au renouvellement e;
SSA;BG;149-23-01;;;Prêts à l'installation;Prêts à l'installation;
SSA;BG;149-23-02;;;Aides à la cessation d'activités;Aides à la cessation d'ac;
SSA;BG;149-23-03;;;Stages à l'installation;Stages à l'installation;
SSA;BG;149-23-04;;;Aides au départs (anciens dispositifs);Aides au départs (anciens;
SSA;BG;149-23-05;;;Aides aux Coopératives d'Utilisation de Matériel Agricole (CUMA);Aides aux Coopératives d';
SSA;BG;149-23-06;;;Dotation aux jeunes agriculteurs;Dotation aux jeunes agric;
SSA;BG;149-23-07;;;Fonds d'incitation et de communication pour l'installation en agriculture (FICIA);Fonds d'incitation et de ;
SSA;BG;149-23-08;;;Compétitivité et adaptation des exploitations agricoles;Compétitivité et adaptati;
SSA;BG;149-23-09;;;Plan de relance - Autres aides à la modernisation des exploitations agricole;Plan de relance - Autres ;
ACT;BG;149-24;;;Gestion équilibrée et durable des territoires;Gestion équilibrée et dur;
SSA;BG;149-24-01;;;Hydraulique agricole et ouvrages domaniaux;Hydraulique agricole et o;
SSA;BG;149-24-02;;;Formation et information des cadres syndicaux et professionnels de l'agriculture;Formation et information ;
SSA;BG;149-24-03;;;Animation et développement rural;Animation et développemen;
SSA;BG;149-24-04;;;Actions en faveur du cheval menées au niveau national;Actions en faveur du chev;
SSA;BG;149-24-05;;;foncier;foncier;
SSA;BG;149-24-06;;;Plan de maîtrise des pollutions d'origine agricole;Plan de maîtrise des poll;
SSA;BG;149-24-07;;;Indemnités compensatoires de handicaps naturels;Indemnités compensatoires;
SSA;BG;149-24-08;;;Mesures agro-environnementales et climatiques et agricultures biologiques;Mesures agro-environnemen;
SSA;BG;149-24-09;;;Prime herbagère agro-environnementale;Prime herbagère agro-envi;
SSA;BG;149-24-10;;;Aides à la diversification des cultures dans l'assolemen;Aides à la diversificatio;
SSA;BG;149-24-11;;;Autres actions environnementales et pastoralisme;Autres actions environnem;
SSA;BG;149-24-12;;;Boisement des terres agricoles;Boisement des terres agri;
SSA;BG;149-24-13;;;Actions d'expertise technique (eau et connaissance des sols);Actions d'expertise techn;
SSA;BG;149-24-14;;;Autres actions de soutien aux syndicats;Autres actions de soutien;
ACT;BG;149-25;;;Protection sociale;Protection sociale;
SSA;BG;149-25-16;;;Réglementation et sécurité au travail;Réglementation et sécurit;
SSA;BG;149-25-17;;;Incitation à l'emploi en agriculture et en milieu rural;Incitation à l'emploi en ;
ACT;BG;149-26;;;Gestion durable de la forêt et développement de la filière bois;Gestion durable de la for;
SSA;BG;149-26-01;;;ONF - Versement compensateur;ONF - Versement compensat;
SSA;BG;149-26-02;;;ONF - Missions d'intérêt général;ONF - Missions d'intérêt ;
SSA;BG;149-26-03;;;ONF - Autres subventions;ONF - Autres subventions;
SSA;BG;149-26-04;;;Défense des forêts contre les incendies (DFCI);Défense des forêts contre;
SSA;BG;149-26-05;;;Restauration des terrains en montagne (RTM);Restauration des terrains;
SSA;BG;149-26-06;;;Acquisition de forêt par l'Etat ou les collectivités territoriales;Acquisition de forêt par ;
SSA;BG;149-26-07;;;Classement et lutte phytosanitaire;Classement et lutte phyto;
SSA;BG;149-26-08;;;Chablis;Chablis;
SSA;BG;149-26-09;;;Centre national de la propriété forestière (CNPF);Centre national de la pro;
SSA;BG;149-26-10;;;Etudes et recherche;Etudes et recherche;
SSA;BG;149-26-11;;;Prêts bonifiés;Prêts bonifiés;
SSA;BG;149-26-12;;;Fonds stratégique de la forêt et du bois (FSFB);Fonds stratégique de la f;
ACT;BG;149-27;;;Moyens de mise en oeuvre des politiques publiques et gestion des interventions;Moyens de mise en oeuvre ;
SSA;BG;149-27-01;;;Institut français du cheval et de l'équitation (IFCE);Institut français du chev;
SSA;BG;149-27-02;;;Agence de services et de paiement (ASP);Agence de services et de ;
SSA;BG;149-27-03;;;Office du développement agricole et rural de Corse (ODARC);Office du développement a;
SSA;BG;149-27-04;;;Agence Bio;Agence Bio;
SSA;BG;149-27-05;;;Institut national des appellations d'origine (INAO);Institut national des app;
SSA;BG;149-27-06;;;France AgriMer;France AgriMer;
SSA;BG;149-27-07;;;Office de développement de l'économie agricole d'outre-mer (ODEADOM);Office de développement d;
SSA;BG;149-27-08;;;Provision pour aléas - Refus d'apurement communautaire;Provision pour aléas - Re;
SSA;BG;149-27-09;;;Autres moyens dédiés à la mise en oeuvre des politiques publiques et gestion des interventions;Autres moyens dédiés à la;
ACT;BG;149-28;;;Pêche et aquaculture;Pêche et aquaculture;
SSA;BG;149-28-01;;;Suivi scientifique et des données;Suivi scientifique et des;
SSA;BG;149-28-02;;;Contrôle des pêches;Contrôle des pêches;
SSA;BG;149-28-03;;;Appui technique;Appui technique;
SSA;BG;149-28-04;;;Interventions socio-économiques;Interventions socio-écono;
SSA;BG;149-28-05;;;Interventions économiques non cofinancées par l'UE;Interventions économiques;
SSA;BG;149-28-06;;;Interventions économiques cofinancées par l'UE;Interventions économiques;
PGM;BG;206;AC;03;Sécurité et qualité sanitaires de l'alimentation;Sécurité&QualSanAlim;"La DGAL est mobilisée pour développer la performance sanitaire à toutes les étapes de la production, de la transformation et de la distribution de l’alimentation en responsabilisant tous les acteurs et en privilégiant la prévention. Elle est ainsi pleinement engagée pour relever les importants défis auxquels est confronté le secteur de l'alimentation afin de répondre aux attentes fortes et diversifiées de la société française, en termes de bien-être animal, de réduction de l'usage des produits phytosanitaires et de valorisation des produits de qualité dans la restauration collective.
Dans le cadre de son plan stratégique 2021-2023, la DGAL se veut ainsi porteuse d’une ambition intégrative de la sécurité sanitaire s’appuyant sur la mise en œuvre concrète des principes de la stratégie « One health - Une seule santé », au niveau international, européen et national."
ACT;BG;206-01;;;Santé, qualité et protection des végétaux;San, qual et prot des vég;
SSA;BG;206-01-10;;;Gestion des risques pour la santé des végétaux;Gestion santé végétale;
SSA;BG;206-01-13;;;Contrôle des pratiques agricoles de la production des végétaux;Contrôle prod. des vég.;
SSA;BG;206-01-15;;;Promotion des modes de production respectueux de la santé et de l'environnement;Promotion des modes de pr;
SSA;BG;206-01-18;;;Surveillance de la santé des forêts;Surv. santé des forêts;
ACT;BG;206-02;;;Santé et protection des animaux;Santé et prot des animaux;
SSA;BG;206-02-20;;;Gestion des maladies animales (hors ESST);Gestion maladies animales;
SSA;BG;206-02-21;;;Gestion des encéphalopathies spongiformes subaigües transmissibles (ESST);Gestion des ESST;
SSA;BG;206-02-22;;;Identification et traçabilité des animaux vivants;Identificat. des animaux;
SSA;BG;206-02-24;;;Plans d'urgence contre les épizooties et visites sanitaires;Plans d'urgence et VS;
SSA;BG;206-02-27;;;Protection des animaux;Protection des animaux;
SSA;BG;206-02-29;;;Contrôle de l'alimentation animale et du médicament vétérinaire;Contrôle de l'alimentatio;
ACT;BG;206-03;;;Sécurité sanitaire de l'alimentation;Sécurité sani de l'ali;
SSA;BG;206-03-31;;;Inspection sanitaire dans les établissements du secteur alimentaire;Inspection SSA;
SSA;BG;206-03-33;;;Lutte contre les zoonoses dans la chaîne alimentaire;Lutte contre les zoonoses;
SSA;BG;206-03-35;;;Surveillance de la contamination des denrées et gestion des alertes;Surveillance de la contam;
