Type de recettes;Année;Libellé Mission;Code Section;Libellé Section;Code Ligne de recette;Libellé ligne de recette;Montant Recettes PLF 2024;Montant Recettes LFI 2024;Prévisions  Recettes 2025;Prévisions Recettes 2026
Recettes CAS;2024.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-32;Personnels civils : contributions des employeurs : agents propres de La Poste et agents détachés à La Poste;181692382.0;181692382.0;236467992.0;208075384.0
Recettes CCF;2024.0;Avances aux collectivités territoriales;ZC-3;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;ZC-3-10;Taxes foncières et taxes annexes;53200769920.0;53200769920.0;53200769920.0;53200769920.0
Recettes CAS;2024.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-42;Personnels militaires : retenues pour pensions : agents détachés dans une administration de l'État sur un emploi ne conduisant pas à pension;126530.0;126530.0;128105.0;128795.0
Recettes CCF;2024.0;Prêts et avances à des particuliers ou à des organismes privés;ZF-2;Prêts pour le développement économique et social;ZF-2-06;Prêts pour le développement économique et social;84635044.0;84635044.0;113585855.0;75683774.0
Recettes CAS;2024.0;Pensions;YD-3;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;YD-3-89;Financement des pensions d'Alsace-Lorraine : participation du budget général;16000000.0;16000000.0;16000000.0;16000000.0
Recettes CAS;2024.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-04;Personnels civils : retenues pour pensions : agents détachés dans les collectivités et établissements publics locaux sur un emploi conduisant à pension;26008455.0;26008455.0;26217067.0;26421782.0
Recettes CAS;2024.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-27;Personnels civils : contributions des employeurs : primes et indemnités ouvrant droit à pension;1192809378.0;1192809378.0;1203478137.0;1214359423.0
Recettes CCF;2024.0;Avances à l'audiovisuel public;ZD-1;Avances aux organismes de l'audiovisuel public;ZD-1-01;Recettes;4025228395.0;4025228395.0;4110689622.0;4167484835.0
Recettes CAS;2024.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-12;Personnels civils : retenues pour pensions : agents propres de La Poste et agents détachés à La Poste;152947118.0;152947118.0;135280407.0;117854157.0
Recettes CAS;2024.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-10;Personnels civils : retenues pour pensions : agents propres de l'État et agents détachés dans une administration de l'État : surcotisations salariales du temps partiel et des cessations progressives d'activité;14925867.0;14925867.0;15045587.0;15163069.0
Recettes CAS;2024.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-24;Personnels civils : contributions des employeurs : agents détachés dans les collectivités et établissements publics locaux sur un emploi conduisant à pension;113267259.0;113267259.0;113520724.0;113527947.0
Recettes CCF;2024.0;Avances aux collectivités territoriales;ZC-3;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;ZC-3-12;Cotisation foncière des entreprises et taxes annexes;10945314098.0;10945314098.0;10945314098.0;10945314098.0
Recettes CAS;2024.0;Pensions;YD-3;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;YD-3-81;Financement de la retraite du combattant : participation du budget général;536438630.0;536438630.0;496597039.0;459712315.0
Recettes CCF;2024.0;Avances aux collectivités territoriales;ZC-3;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;ZC-3-11;Cotisation sur la valeur ajoutée des entreprises;335764053.0;335764053.0;335764053.0;335764053.0
Recettes CAS;2024.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-49;Personnels militaires : retenues pour pensions : rachat des années d'études;1500000.0;1500000.0;1500000.0;1500000.0
